name,fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg,is_pro
Deandre Ayton,12.9,0.612,7.9,5.5,0.733,4,35,85,2.3,20.1,6.84,11.6,1
Trae Young,19.3,0.422,8.2,8.6,0.861,7.4,32,74,1.8,27.4,10.56,3.9,1
Collin Sexton,13.3,0.447,5.9,7.6,0.778,5.9,33,75,2.5,19.2,10.64,3.8,1
Kevin Knox,11.9,0.445,5.3,4.4,0.774,3.4,37,81,2.2,15.6,10.73,5.4,1
Mikal Bridges,7.5,0.525,3.9,2.3,0.845,1.9,116,79,2.2,11.3,9.74,4.3,1
Shai Gilgeous-Alexander,10.2,0.485,4.9,4.7,0.817,3.9,37,78,1.7,14.4,10.73,4.1,1
Miles Bridges,13.2,0.47,6.2,3.2,0.776,2.5,62,79,1.7,17,8.8,7.6,1
Jerome Robinson,6.2,0.44,2.7,2.8,0.741,2.1,113,76,1.8,8.4,3.22,3.2,0
Zhaire Smith,7.5,0.556,4.2,3.4,0.717,2.5,37,77,1.8,11.3,9.6,5,1
Donte DiVincenzo,7.6,0.469,3.6,2.2,0.705,1.6,85,77,1.8,10.2,9.74,4,1
Kevin Huerter,9,0.466,4.2,2,0.748,1.5,65,79,2.1,12,8.11,5,1
Josh Okogie,12.3,0.437,5.4,6.6,0.777,5.1,61,76,2.7,16.9,7.84,5.8,1
Grayson Allen,9.9,0.43,4.3,4.2,0.834,3.5,142,76,2.1,14.1,10.27,3.2,1
Chandler Hutchison,8.9,0.476,4.3,4.2,0.687,2.9,123,79,2.2,12,2.57,5.5,1
Aaron Holiday,10.5,0.45,4.7,3.9,0.795,3.1,101,73,2.7,14.3,7.65,3.2,1
Moritz Wagner,7.2,0.547,3.9,2.2,0.698,1.5,107,82,2.5,10.4,9.16,4.5,1
Landry Shamet,8.7,0.48,4.2,2.8,0.811,2.3,71,76,2.1,12.9,4.22,3,1
Robert Williams,5.6,0.487,2.7,2.1,0.551,1.2,122,80,2.9,6.6,-5.22,4.7,0
Jacob Evans,9.4,0.429,4,2.7,0.755,2,105,78,2,11.7,4.76,4.3,1
Omari Spellman,8.4,0.476,4,1.8,0.7,1.2,40,81,2.3,10.9,10.24,8,1
Jevon Carter,10,0.407,4.1,3,0.798,2.4,144,74,2.5,12.2,9.53,3.7,1
Jalen Brunson,9.8,0.51,5,3.5,0.82,2.9,116,75,1.8,14.4,9.74,2.5,1
Devonte' Graham,9.1,0.422,3.8,3.2,0.787,2.5,142,74,1.7,12.3,11.86,3.1,1
Melvin Frazier,7.9,0.481,3.8,3.2,0.653,2.1,94,77,2,10.6,3.37,4.4,1
Khyri Thomas,8.2,0.511,4.2,2.1,0.719,1.5,102,75,1.8,11.2,7.83,4.6,1
Jarred Vanderbilt,4.9,0.426,2.1,2.7,0.632,1.7,14,81,2.6,5.9,10.73,7.9,1
Bruce Brown,6.2,0.602,3.7,3.2,0.47,1.5,114,83,2.3,9,-10.69,5,0
Justin Jackson,0.3,0,0,0.3,0,0,6,71,0.2,0,8.12,0.5,0
Hamidou Diallo,8.5,0.428,3.6,3.4,0.616,2.1,37,77,2.6,10,10.73,3.6,1
De'Anthony Melton,6.4,0.437,2.8,3,0.706,2.1,36,76,2.3,8.3,6.4,4.7,1
Keita Bates-Diop,9.1,0.472,4.3,2.5,0.776,1.9,109,79,1.4,11.7,7.69,5.7,1
Chimezie Metu,8.9,0.533,4.8,3.9,0.692,2.7,104,83,2.5,12.3,6.78,6.3,1
Alize Johnson,11.3,0.457,5.2,4.6,0.716,3.3,66,81,2.3,14.9,0.82,11.1,1
Tony Carr,13.9,0.396,5.5,4.9,0.786,3.8,70,77,2,16.6,8.35,4.9,0
Vince Edwards,4.9,0.411,2,1.2,0.588,0.7,98,73,0.9,5.1,1.12,1.7,0
Devon Hall,5.7,0.419,2.4,1.5,0.807,1.2,128,77,1.4,6.9,9.73,3.2,1
Shake Milton,9.9,0.452,4.5,2.9,0.791,2.3,87,77,1.6,13.4,4.22,3.9,1
Kevin Hervey,12.5,0.44,5.5,3.6,0.768,2.8,115,79,1.9,15.5,-2.12,8,1
Thomas Welsh,7.5,0.537,4,1.3,0.798,1,132,84,2.5,9.5,7.8,7.8,1
George King,7.9,0.444,3.5,2.4,0.731,1.8,127,78,1.8,10.2,7.36,5.4,1
Kostas Antetokounmpo,3.5,0.574,2,2.2,0.516,1.1,29,82,2.3,5.2,2.7,2.9,1
