"name","fgapg","fgpct","fgpg","ftapg","ftpct","games","height","pfpg","ptspg","sospg","trbpg"
"A.C. Green",8.8,0.602,5.3,5.9,0.696,115,6.9,2.3,14.7,4.82,7.7
"A.J. Bramlett",6.5,0.525,3.4,3.3,0.548,127,6.1,2.7,8.6,9.02,6.4
"A.J. Guyton",12.8,0.455,5.8,3.2,0.79,128,6.1,1.3,16.4,10.42,3.4
"A.J. Hammons",8.6,0.539,4.6,4,0.69,132,7.1,2.5,12.1,7.64,7
"A.J. Price",10.5,0.413,4.3,3.7,0.722,99,6.2,1.4,13,7.14,3.4
"A.J. Wynder",8.3,0.498,4.1,3.3,0.832,118,6.2,2,11.1,-3.32,3.2
"Aaron Brooks",10.1,0.43,4.3,3.2,0.834,115,6.1,2.3,13.1,6.68,3.5
"Aaron Gordon",10.1,0.495,5,4.7,0.422,38,6.9,2.4,12.4,9.04,8
"Aaron Gray",7,0.55,3.8,3.6,0.595,113,7.1,2.1,9.8,6.94,7
"Aaron Harrison",9.9,0.41,4.1,3.5,0.787,79,6.6,1.8,12.4,9.28,2.8
"Aaron Henry",8.3,0.457,3.8,2.3,0.729,97,6.6,1.9,10,11.52,4.6
"Aaron Holiday",10.5,0.45,4.7,3.9,0.795,101,6.1,2.7,14.3,7.65,3.2
"Aaron Jackson",8.4,0.521,4.4,3,0.772,120,6.4,2.1,11.9,1.48,4.5
"Aaron McKie",14.5,0.421,6.1,4.8,0.79,92,6.5,2.1,17.9,8.98,6.4
"Aaron Miles",6.9,0.415,2.9,2.7,0.755,138,6.1,1.8,8.6,10.04,3.3
"Aaron Nesmith",10.8,0.442,4.8,3.1,0.825,46,6.6,3,14.7,7.1,5.3
"Aaron Swinson",11.5,0.609,7,4.6,0.625,82,6.5,NULL,16.9,7.86,7.8
"Aaron Wiggins",9.6,0.407,3.9,1.8,0.769,96,6.6,1.8,11,10.86,4.6
"Aaron Williams",6.6,0.556,3.7,2.6,0.707,117,6.9,2.9,9.2,1.84,6.1
"Abdel Nader",9.5,0.391,3.7,2.5,0.731,117,6.6,2.5,10.3,3.83,4.3
"Acie Earl",10.9,0.508,5.5,6.3,0.68,116,6.1,2.4,15.3,9.05,7
"Acie Law",10.6,0.466,5,3.7,0.76,122,6.3,2.6,13.7,4.53,3.1
"Adam Harrington",10.2,0.391,4,3.2,0.731,91,6.5,2.8,12.5,7.34,3.3
"Adam Keefe",11.1,0.6,6.6,7.1,0.736,125,6.9,2.1,18.6,8.24,9
"Adam Morrison",14,0.503,7,5.5,0.761,95,6.8,1.7,19.7,4.24,5.1
"Ade Murkey",8.2,0.469,3.8,3.5,0.731,118,6.5,2.1,10.6,-2.92,4
"Admiral Schofield",9.7,0.458,4.4,2.1,0.763,132,6.6,2.6,11.9,9.58,5.3
"Adonal Foyle",15,0.547,8.2,8.2,0.491,87,6.1,2.4,20.4,-5.01,12.7
"Adonis Jordan",7.2,0.463,3.3,2.7,0.755,137,5.1,1.5,10,10.09,2.5
"Adonis Thomas",9.5,0.426,4.1,2.5,0.745,55,6.7,1.4,10.7,3.98,4
"Adreian Payne",6.2,0.526,3.2,2.7,0.755,138,6.1,2.2,8.9,10.35,5.3
"Adrian Branch",12.8,0.486,6.2,4.9,0.748,123,6.7,3,16.2,6.99,4.4
"Adrian Caldwell",5.8,0.556,3.2,4.1,0.428,54,6.8,2,8.2,1.81,6.1
"Adrian Dantley",16.6,0.562,9.3,8.9,0.8,86,6.5,2.7,25.8,5.91,9.8
"Adrian Griffin",8.8,0.506,4.4,3.7,0.654,123,6.5,2.2,11.5,8.7,6.5
"Al-Farouq Aminu",10.6,0.476,5,5.7,0.687,62,6.9,2.8,14.4,8.1,9.4
"Al Horford",6.6,0.586,3.9,4.1,0.619,109,6.1,2.5,10.3,6.65,7.9
"Al McGuire",6.2,0.418,2.6,5.1,0.573,82,6.2,3.1,8.1,2.96,7.1
"Al Sanders",10.8,0.585,6.3,6.5,0.617,83,6.7,3.9,16.7,1.34,14.1
"Al Skinner",10.9,0.557,6.1,4.7,0.751,79,6.3,3.1,15.6,-7.09,9.5
"Al Smith",16.1,0.445,7.2,4.8,0.721,79,6.1,2.9,17.8,5.81,4.1
"Al Thornton",8.3,0.528,4.4,4.2,0.701,124,6.8,2.3,12.3,7.69,5.2
"Al Wood",11.7,0.56,6.5,3.8,0.764,126,6.6,2.6,16,8.06,5
"Alaa Abdelnaby",5.6,0.599,3.3,2.5,0.728,134,6.1,2.1,8.5,8.14,3.7
"Alan Anderson",6.1,0.503,3,3.6,0.831,126,6.6,2.6,9.5,8.78,4.2
"Alan Hardy",6.4,0.481,3.1,1.1,0.639,112,6.7,1.6,6.9,7.6,3.8
"Alan Henderson",11.4,0.54,6.2,5.6,0.646,124,6.9,2.8,16,11.15,8.8
"Alan Ogg",5,0.559,2.8,1.2,0.689,123,7.2,2.4,6.4,2.67,4.2
"Alan Williams",11.6,0.492,5.7,5.8,0.706,112,6.8,2.8,15.5,-0.03,10
"Alando Tucker",12.4,0.48,6,6.1,0.636,134,6.6,1.6,16.5,7.56,5.7
"Albert King",14.2,0.515,7.3,3.7,0.775,118,6.6,2.7,17.4,7.5,6.1
"Alec Burks",12.6,0.495,6.2,7.3,0.804,68,6.6,2.4,19,6.65,5.8
"Alec Kessler",10,0.499,5,5.9,0.763,123,6.1,2.7,14.5,6.91,7.3
"Alec Peters",12.1,0.487,5.9,4.2,0.846,134,6.9,2.1,17.5,-0.95,7.4
"Aleem Ford",5.7,0.403,2.3,0.9,0.763,126,6.8,1.8,6.5,10.85,3.3
"Alex Acker",11.2,0.457,5.1,3.5,0.823,88,6.5,1.9,14.5,1.8,5.6
"Alex Blackwell",13.9,0.553,7.7,6.3,0.78,86,6.6,NULL,20.3,-7.29,7.9
"Alex Bradley",11,0.505,5.6,4.5,0.803,111,6.6,NULL,14.7,2.15,7.2
"Alex Caruso",6.1,0.455,2.8,2.5,0.685,137,6.5,2.5,8,5.71,3.7
"Alex English",14.3,0.538,7.7,3.5,0.667,111,6.7,2.7,17.8,2.55,9.6
"Alex Groza",8.7,0.716,6.3,5.4,0.692,70,6.7,2.6,16.9,NULL,NULL
"Alex Hannum",NULL,NULL,2.1,1.9,0.459,63,6.7,1.1,9,NULL,NULL
"Alex Kirk",7.8,0.488,3.8,2.9,0.684,101,7.1,2.3,10,5.46,6.8
"Alex Len",7,0.538,3.8,3.3,0.663,60,7.1,2.6,9.7,5.32,7
"Alex Poythress",5.8,0.551,3.2,2.9,0.686,112,6.8,2.7,8.6,8.3,5.3
"Alex Scales",12.9,0.429,5.5,3.3,0.758,62,6.4,2.1,15.3,8.69,5.1
"Alex Stepheson",4.7,0.52,2.4,2.1,0.497,137,6.9,1.8,5.9,7.96,5.6
"Alex Stivrins",8.6,0.507,4.4,3.3,0.573,111,6.8,2.7,10.7,5.5,8
"Alexander Johnson",6.4,0.52,3.3,4.5,0.667,92,6.9,2.9,9.8,7.38,5.2
"Alfonzo McKinnie",5.6,0.506,2.8,2,0.622,96,6.8,2.8,7.2,-2.92,5.2
"Alfredrick Hughes",22.1,0.46,10.2,5.8,0.659,120,6.5,2.8,24.2,1.21,8.2
"Alize Johnson",11.3,0.457,5.2,4.6,0.716,66,6.9,2.3,14.9,0.82,11.1
"Allan Bristow",18.7,0.476,8.9,7.6,0.705,78,6.7,3,23.1,-0.69,12.7
"Allan Houston",15.3,0.46,7,6,0.849,128,6.6,2.1,21.9,8.28,4
"Allan Ray",12.4,0.407,5.1,3.7,0.82,130,6.2,2.5,15.6,8.37,3.2
"Allen Crabbe",12.2,0.446,5.4,3.3,0.819,98,6.6,1.7,15.7,7.16,5.7
"Allen Iverson",17.5,0.44,7.7,8.5,0.683,67,6.1,2.5,23,8.12,3.6
"Allen Leavell",12.3,0.48,5.9,2.5,0.762,90,6.1,2.4,13.7,-2,2.4
"Allie McGuire",9.7,0.385,3.7,2.1,0.797,85,6.3,1.9,9.1,0.89,2.2
"Allonzo Trier",10.6,0.479,5.1,5.7,0.827,78,6.4,1.8,16.8,7.23,3.7
"Alonzo Gee",10.4,0.447,4.7,4,0.632,128,6.6,2.1,12.7,6,5.7
"Alonzo Mourning",9,0.566,5.1,8.5,0.754,120,6.1,3.4,16.7,9.99,8.6
"Alphonso Ford",22.7,0.454,10.3,7.1,0.763,109,6.1,2.8,29,-6.59,5.4
"Alton Ford",8.5,0.432,3.7,5.1,0.609,26,6.9,3.7,10.8,4.91,5.9
"Alton Lister",9.2,0.523,4.8,3.8,0.611,82,7.1,3.4,12,5.7,8.2
"Alvan Adams",18,0.539,9.7,5.6,0.702,73,6.9,3.2,23.4,2.63,12.8
"Alvin Heggs",10.9,0.585,6.4,4.1,0.773,63,6.8,NULL,15.9,1.82,7.2
"Alvin Jones",7.4,0.489,3.6,5.8,0.574,124,6.1,2.8,10.6,9.22,8.7
"Alvin Robertson",9.4,0.522,4.9,4,0.656,88,6.3,3.4,12.5,3.7,4.3
"Alvin Scott",5.7,0.496,2.8,1.6,0.657,86,6.7,1.9,6.7,0.2,6.8
"Alvin Sims",6.4,0.48,3.1,2.8,0.623,127,6.4,2.6,8.3,8.19,3.9
"Alvin Williams",8.4,0.443,3.7,3.4,0.726,131,6.5,2.6,10.9,10.04,3.7
"Amal McCaskill",5.4,0.545,3,2.8,0.644,111,6.1,2.6,7.8,5.12,6.3
"Amida Brimah",4.1,0.637,2.6,2.3,0.644,133,7.1,2.9,6.7,6.43,4.5
"Amile Jefferson",4.6,0.62,2.8,2.6,0.575,150,6.9,2.3,7.2,9.88,6.3
"Amir Coffey",10.7,0.448,4.8,5.1,0.734,87,6.8,1.7,14.4,9,3.8
"Andrae Patterson",8.9,0.479,4.3,3.1,0.755,121,6.9,3,11.3,10.01,5.7
"Andre Barrett",12.4,0.415,5.1,3.9,0.773,122,5.1,1.9,15.3,7.16,3.7
"Andre Brown",8.3,0.502,4.2,4.5,0.523,107,6.9,2.3,10.7,6.77,8
"Andre Dawkins",5.4,0.433,2.3,1.1,0.769,142,6.5,1.4,7.1,8.6,1.6
"Andre Drummond",8.6,0.538,4.6,2.6,0.295,34,6.1,2.2,10,8.07,7.6
"Andre Emmett",13.8,0.5,6.9,4.9,0.703,128,6.5,1.3,17.6,7.3,6
"Andre Iguodala",7.8,0.424,3.3,3.3,0.738,62,6.6,2.2,9.6,7.79,6.6
"Andre Ingram",12.1,0.393,4.7,2.9,0.787,118,6.3,1.7,14,-5.01,4.5
"Andre McCarter",6.7,0.416,2.8,1.9,0.714,86,6.3,1.5,6.9,8.12,1.9
"Andre Miller",8.6,0.513,4.4,4.2,0.676,134,6.4,1.9,12.1,5.01,4.8
"Andre Moore",13.5,0.519,7,3.4,0.708,85,6.9,2.9,16.5,3.02,10.9
"Andre Owens",11.5,0.385,4.4,3.1,0.737,117,6.4,2.1,13.2,5.93,4.2
"Andre Roberson",7.1,0.516,3.6,3.2,0.582,105,6.7,2.6,9.6,6.43,10
"Andre Spencer",9.9,0.601,5.9,4.3,0.64,55,6.6,NULL,14.6,-0.28,5.4
"Andre Turner",9.1,0.487,4.4,2.7,0.757,132,5.1,2.1,10.9,5.28,1.7
"Andre Wakefield",13.6,0.452,6.2,4.1,0.704,48,6.3,2.2,15.2,2.17,3.6
"Andrew Bogut",10.9,0.603,6.6,4.7,0.674,68,7.1,2.3,16.6,4.53,11.1
"Andrew DeClercq",7.4,0.531,3.9,3.5,0.663,128,6.1,3.2,10.2,8.62,7.5
"Andrew Gaze",8.8,0.509,4.5,3,0.726,38,6.7,2.8,13.6,9.15,4.5
"Andrew Goudelock",14.9,0.457,6.8,2.2,0.838,140,6.2,1.5,18.4,-2.92,3.3
"Andrew Harrison",7.6,0.372,2.8,4.6,0.777,79,6.6,2.4,10.1,9.28,2.7
"Andrew Lang",5.9,0.489,2.9,2,0.575,121,6.1,2.9,6.9,3.74,5.7
"Andrew Nicholson",11.4,0.575,6.6,5.1,0.72,123,6.9,3,17.1,1.35,7.2
"Andrew Toney",17.6,0.529,9.3,6.4,0.774,107,6.3,3.4,23.6,-2.73,3.2
"Andrew White",8.5,0.452,3.8,2.5,0.786,111,6.7,1.7,11.6,8.24,3.7
"Andrew Wiggins",12.1,0.448,5.4,6.5,0.775,35,6.8,2.7,17.1,11.4,5.9
"Andy Rautins",7.1,0.396,2.8,1.2,0.763,127,6.5,1.9,8.8,7.83,2.6
"Andy Toolson",8.3,0.487,4,3.4,0.776,117,6.6,2.3,11.9,3.77,4.5
"Anfernee Hardaway",15.2,0.456,6.9,5.5,0.717,66,6.7,2.7,20,9.15,7.7
"Angel Delgado",9.1,0.538,4.9,4.3,0.539,132,6.9,2.5,12.1,8.8,11
"Ansu Sesay",10.4,0.428,4.4,4.9,0.724,110,6.9,2.8,13,5.83,6.4
"Antawn Jamison",13.1,0.577,7.6,6.1,0.617,104,6.9,2.5,19,11.3,9.9
"Anthony Avent",7.9,0.527,4.2,3.4,0.701,100,6.9,2.8,10.7,9.84,7.1
"Anthony Barber",11.2,0.428,4.8,5.2,0.793,104,6.2,1.9,14.5,8.73,3.3
"Anthony Bennett",10.8,0.533,5.8,5.1,0.701,35,6.8,2.3,16.1,5.71,8.1
"Anthony Bonner",10.8,0.539,5.8,5,0.634,133,6.8,2.5,14.8,0.52,10.7
"Anthony Bowie",11,0.509,5.6,2.7,0.787,72,6.6,2.8,13.4,7.05,5.2
"Anthony Brown",8.4,0.428,3.6,2.8,0.751,144,6.6,1.8,10.8,6.57,4.8
"Anthony Carter",14.6,0.474,6.9,4.8,0.714,58,6.1,NULL,18.4,3.52,4.5
"Anthony Cook",8.2,0.575,4.7,3.9,0.645,133,6.9,1.9,12,7.38,6.5
"Anthony Davis",8.4,0.623,5.3,5.1,0.709,40,6.1,2,14.2,7.93,10.4
"Anthony Edwards",15.8,0.402,6.3,5.3,0.772,32,6.5,2.2,19.1,8.06,5.2
"Anthony Frederick",8.5,0.522,4.4,3.1,0.559,62,6.7,3.2,10.6,-1.03,7
"Anthony Gill",6.8,0.556,3.8,4.1,0.68,139,6.8,2.3,10.5,8.26,5.3
"Anthony Goldwire",11.9,0.417,5,5.8,0.796,57,6.1,2.4,15.6,2.02,3.4
"Anthony Grundy",11.3,0.432,4.9,3.5,0.709,121,6.3,2,13.6,8.35,4.4
"Anthony Johnson",6.1,0.466,2.9,2.6,0.725,117,6.3,1.9,8.2,-6.87,2.6
"Anthony Jones",9.7,0.507,4.9,2.3,0.627,131,6.6,2,11.5,4.07,4.1
"Anthony Lamb",12.2,0.476,5.8,4.5,0.783,118,6.6,2.3,16.4,-3.86,6.5
"Anthony Mason",15.3,0.461,7.1,5.7,0.713,111,6.7,2.5,18.7,-5.22,8.1
"Anthony Miller",5.9,0.609,3.6,3,0.583,89,6.9,2.3,9,10.45,6.5
"Anthony Morrow",8.8,0.437,3.8,1.8,0.867,123,6.5,2,11.4,8.6,3.3
"Anthony Parker",10.5,0.447,4.7,5.2,0.75,112,6.6,2,15,2.23,5.7
"Anthony Peeler",12.2,0.466,5.7,5.7,0.779,117,6.4,2.4,16.8,9.96,5.1
"Anthony Pullard",11.8,0.54,6.4,3.2,0.739,113,6.1,NULL,15.2,-2.47,7.1
"Anthony Randolph",12.7,0.464,5.9,5.4,0.693,31,6.1,2.7,15.6,5.66,8.5
"Anthony Roberson",12.5,0.444,5.5,2.6,0.864,93,6.2,1.8,16.2,8.02,2.5
"Anthony Roberts",18.6,0.501,9.3,4,0.758,108,6.5,1.8,21.7,0.2,7.4
"Anthony Taylor",13.2,0.47,6.2,5,0.795,115,6.4,2.9,16.9,5.25,4
"Anthony Tolliver",5.8,0.491,2.9,3.3,0.671,124,6.8,2.3,8.1,4.21,4.9
"Anthony Tucker",8.8,0.486,4.3,2.8,0.655,113,6.8,1.7,10.5,8.07,4.7
"Antoine Carr",12.2,0.557,6.8,4.6,0.746,112,6.9,3.4,17,2.36,6.9
"Antoine Walker",10.4,0.449,4.7,2.9,0.66,69,6.8,2.1,11.7,9.85,6.5
"Antoine Wright",13,0.412,5.4,4,0.648,87,6.7,2.6,15.4,5.15,5.6
"Antonio Anderson",6.9,0.418,2.9,2.8,0.648,150,6.6,1.8,8.5,4.63,4
"Antonio Blakeney",11.7,0.444,5.2,3.8,0.736,64,6.4,1.5,14.8,7.85,4.1
"Antonio Burks",9.2,0.469,4.3,3,0.673,91,6.1,2.3,11.3,5.31,2.6
"Antonio Daniels",11.4,0.515,5.9,4.8,0.758,111,6.4,1.5,16.1,1.36,2.9
"Antonio Davis",6.1,0.538,3.3,4.3,0.6,122,6.9,2,9.2,3.61,6.1
"Antonio Harvey",6.5,0.46,3,2.1,0.496,63,6.1,3,7.1,5.11,4.8
"Antonio Lang",4.8,0.57,2.7,3.1,0.659,135,6.8,2.3,7.5,10.12,4.3
"Antonio McDyess",10.1,0.533,5.4,3.3,0.625,59,6.9,3.1,12.8,6.32,9.3
"Antonius Cleveland",9.8,0.494,4.8,4.4,0.612,121,6.6,2.6,12.9,-4.51,4.7
"Archie Clark",13.4,0.47,6.3,5.7,0.706,72,6.1,2.2,16.7,6.75,5.1
"Archie Dees",18.4,0.445,8.2,7.7,0.828,68,6.8,2.8,22.7,6.25,13.4
"Archie Goodwin",10.8,0.44,4.8,6.4,0.637,33,6.5,2.9,14.1,5.78,4.6
"Arinze Onuaku",6.2,0.648,4,2.9,0.395,134,6.9,2.3,9.2,8.2,6
"Armen Gilliam",11.5,0.58,6.7,5.6,0.722,107,6.9,2.5,17.3,3.54,8.3
"Armon Johnson",11.6,0.467,5.4,3.7,0.75,101,6.3,1.7,14.3,1.28,3.7
"Armond Hill",11.4,0.471,5.4,3.8,0.79,77,6.4,3.4,13.7,-2.91,4.2
"Armoni Brooks",7.9,0.415,3.3,0.8,0.711,100,6.3,1.3,9.4,4.06,4.3
"Arnett Moultrie",8.6,0.511,4.4,3.4,0.676,100,6.1,2.4,11.4,3.34,8.4
"Aron Baynes",5.9,0.546,3.2,3.2,0.698,122,6.1,2.4,8.7,6.91,5.4
"Arron Afflalo",10.9,0.457,5,3.6,0.781,104,6.5,2.1,14.8,8.4,3.5
"Art Becker",12.4,0.524,6.5,3.4,0.795,82,6.8,2.8,15.7,2.22,9
"Art Heyman",20,0.451,9,10.8,0.654,79,6.5,0.8,25.1,1.14,10.9
"Art Long",9.3,0.489,4.5,2.6,0.556,65,6.9,3.4,10.5,8.31,8.1
"Artis Gilmore",17.3,0.574,9.9,7.2,0.615,54,7.2,2.6,24.3,-0.17,22.7
"Ashraf Amaya",9.4,0.567,5.3,5.8,0.659,128,6.8,3.3,14.6,0.74,8.9
"Ashton Hagans",7.1,0.432,3.1,3.5,0.791,67,6.3,2.3,9.4,8.87,3.2
"Askia Jones",12,0.42,5.1,3.5,0.782,124,6.5,NULL,14.8,8.11,3.7
"Audie Norris",10.8,0.559,6,6.1,0.651,112,6.9,NULL,16,-9.76,10.6
"Austin Carr",26,0.528,13.7,8.7,0.814,74,6.4,1.7,34.6,4.43,7.3
"Austin Croshere",9.3,0.44,4.1,3.8,0.843,121,6.9,2,12.6,8.81,5.3
"Austin Daye",8.6,0.477,4.1,3.1,0.79,67,6.1,2.6,11.6,2.85,5.8
"Austin Reaves",7.8,0.421,3.3,3.5,0.844,122,6.5,1.5,10.8,6.98,3.8
"Austin Rivers",11.8,0.433,5.1,5.4,0.658,34,6.4,2.2,15.5,8.4,3.4
"Austin Robbins",11.4,0.479,5.4,4.5,0.688,48,6.9,2.6,14,0.77,10.9
"Avery Bradley",10.8,0.432,4.7,1.9,0.545,34,6.2,2.4,11.6,7.38,2.9
"Avery Johnson",7.4,0.494,3.7,2.1,0.651,61,5.1,NULL,9.2,-8.12,2.6
"Awvee Storey",8.1,0.459,3.7,2.5,0.613,102,6.6,2.7,9,8.38,6.2
"Ayo Dosunmu",13.4,0.47,6.3,3.8,0.75,90,6.5,1.9,16.7,10.9,4.8
"B.J. Armstrong",9.1,0.492,4.5,3.7,0.831,130,6.2,1.2,13.1,9.18,2
"B.J. Johnson",10.4,0.426,4.4,3.3,0.843,91,6.7,1.8,13.1,5.1,5.5
"B.J. Tyler",13,0.435,5.7,4.1,0.741,93,6.1,1.8,16.7,5.27,2.8
"Bailey Howell",17.1,0.525,9,11.9,0.765,75,6.7,3.1,27.1,0.03,17
"Bam Adebayo",7.5,0.599,4.5,6.2,0.653,38,6.1,2.6,13,10.49,8
"Baron Davis",9.7,0.503,4.9,4.5,0.631,59,6.3,3.5,13.6,9.93,3.8
"Barry Parkhill",16.3,0.428,6.9,5.4,0.796,79,6.4,3.4,18.4,4.56,4.1
"Barry Stevens",15.8,0.476,7.5,4.7,0.775,117,6.5,2.6,18.7,5.99,4.6
"Barry Sumpter",6.4,0.545,3.5,2.3,0.558,101,6.1,2.7,8.2,5.97,5.8
"Ben Bentil",10.2,0.455,4.7,4.8,0.761,69,6.8,2.7,13.8,8.98,6.3
"Ben Coleman",8.5,0.548,4.7,3.2,0.674,102,6.9,2.8,11.5,8.6,6.4
"Ben Davis",7.5,0.525,3.9,3.9,0.634,86,6.9,2.7,10.3,9.54,6.8
"Ben Gillery",1.5,0.557,0.8,0.9,0.467,52,7.1,1.3,2.1,8.22,2
"Ben Gordon",12.7,0.44,5.6,4.4,0.795,106,6.3,2.3,16.9,7.61,3.9
"Ben Handlogten",7.7,0.534,4.1,3.8,0.641,109,6.1,3,10.7,0.12,7.6
"Ben Hansbrough",8.2,0.451,3.7,3.4,0.782,134,6.3,2.2,12,6.83,3.6
"Ben McDonald",10.7,0.523,5.6,3,0.686,114,6.8,3,13.3,1.62,5.9
"Ben McLemore",10.8,0.495,5.4,3.7,0.87,37,6.5,1.9,15.9,7.54,5.2
"Ben Moore",6.3,0.539,3.4,3.3,0.663,135,6.8,2.3,9,4.39,5.8
"Ben Poquette",9.5,0.476,4.5,3.1,0.69,98,6.9,2.8,11.2,0.53,8.3
"Ben Simmons",11.7,0.56,6.5,9,0.67,33,6.1,2.8,19.2,7,11.8
"Ben Uzoh",10.3,0.454,4.7,4.2,0.782,141,6.3,1.7,13.8,2.63,5
"Benoit Benjamin",12.2,0.562,6.9,5.5,0.72,89,7.1,3,17.7,3.97,11.3
"Bernard James ",6.3,0.627,4,3.4,0.528,69,6.1,1.8,9.7,7.04,7
"Bernard King",18.1,0.59,10.7,6.2,0.719,76,6.7,3.7,25.8,6.03,13.2
"Bernard Robinson",10.4,0.44,4.6,3.4,0.814,120,6.6,2.5,12.5,8.4,5.3
"Bernard Thompson",7.7,0.577,4.4,4.1,0.754,121,6.6,2.7,12,2.4,4.6
"Bernard Toone",8.2,0.491,4,1.6,0.797,118,6.9,2.4,9.3,4.41,4.1
"Bernie Fryer",14.3,0.463,6.6,7.3,0.751,55,6.3,2.5,18.7,5.26,3.9
"Bernie Williams",15.5,0.46,7.1,3.1,0.767,74,6.3,2.3,16.6,-1.53,5
"Bevo Nordmann",7.7,0.557,4.3,4.8,0.512,62,1.0,2.3,11,6.16,9.8
"Bill Bradley",20.1,0.513,10.3,10.9,0.876,83,6.5,3.3,30.2,-4.97,12.1
"Bill Bridges",12,0.401,4.8,5.5,0.653,78,6.6,3.4,13.2,4.99,13.9
"Bill Cartwright",12.7,0.589,7.5,5.6,0.734,111,7.1,2.8,19.1,1.85,10.2
"Bill Crow",1.4,0.429,0.6,1.2,0.667,5,6.2,1.2,2,-0.06,0.4
