"player","class","pos","school","conf","drafted"
"Anthony Davis",1,"F","Kentucky","SEC",1
"Frank Kaminsky",4,"C","Wisconsin","Big Ten",1
"Kemba Walker",3,"G","Connecticut","Big East",1
"Brandon Clarke",3,"F","Gonzaga","WCC",1
"Thomas Walkup",4,"G","Stephen F. Austin","Southland",0
"Trey Burke",2,"G","Michigan","Big Ten",1
"Matt Rafferty",4,"F","Furman","Southern",0
"Jimmer Fredette",4,"G","Brigham Young","MWC",1
"Jock Landale",3,"C","Saint Mary's (CA)","WCC",0
"Nate Wolters",4,"G","South Dakota State","Summit",1
"Delon Wright",4,"G","Utah","Pac-12",1
"Norris Cole",4,"G","Cleveland State","Horizon",1
"Kenneth Faried",4,"F","Morehead State","OVC",1
"Mike Muscala",4,"F","Bucknell","Patriot",1
"Jared Sullinger",1,"F","Ohio State","Big Ten",1
"Jameel Warney",4,"F","Stony Brook","AEC",0
"Zion Williamson",1,"F","Duke","ACC",1
"Ja Morant",2,"G","Murray State","OVC",1
"Nigel Williams-Goss",3,"G","Gonzaga","WCC",1
"Damian Lillard",3,"G","Weber State","Big Sky",1
"Doug McDermott",3,"F","Creighton","MVC",1
"Shabazz Napier",4,"G","Connecticut","AAC",1
"Alec Peters",3,"F","Valparaiso","Horizon",1
"Derrick Williams",2,"F","Arizona","Pac-10",0
"Grant Williams",3,"F","Tennessee","SEC",1
"Gary Clark",4,"F","Cincinnati","AAC",0
"C.J. McCollum",3,"G","Lehigh","Patriot",0
"Pascal Siakam",2,"F","New Mexico State","WAC",1
"Jordan Taylor",3,"G","Wisconsin","Big Ten",0
"Mikal Bridges",3,"G","Villanova","Big East",1
"Jalen Brunson",3,"G","Villanova","Big East",1
"Jerian Grant",4,"G","Notre Dame","ACC",1
"Josh Hart",4,"G","Villanova","Big East",1
"Semi Ojeleye",3,"F","Southern Methodist","AAC",1
"Cassius Winston",3,"G","Michigan State","Big Ten",0
"Deandre Ayton",1,"F","Arizona","Pac-12",1
"Jae Crowder",4,"F","Marquette","Big East",1
"Mike Daum",4,"F","South Dakota State","Summit",0
"Kay Felder",3,"G","Oakland","Horizon",1
"Buddy Hield",4,"G","Oklahoma","Big 12",1
"Brice Johnson",4,"F","North Carolina","ACC",1
"Taylor Smith",4,"F","Stephen F. Austin","Southland",0
"Chris Clemons",4,"G","Campbell","Big South",0
"Ty Greene",4,"G","South Carolina Upstate","A-Sun",0
"Frank Mason",4,"G","Kansas","Big 12",1
"Sam Merrill",3,"G","Utah State","MWC",0
"Domantas Sabonis",2,"F","Gonzaga","WCC",1
"Xavier Thames",4,"G","San Diego State","MWC",1
"Kyle Wiltjer",3,"F","Gonzaga","WCC",0
"Rui Hachimura",3,"F","Gonzaga","WCC",1
"Nolan Smith",4,"G","Duke","ACC",0
"Seth Tuttle",4,"F","Northern Iowa","MVC",0
"Corey Walden",4,"G","Eastern Kentucky","OVC",0
"Justin Wright-Foreman",4,"G","Hofstra","CAA",1
"De'Andre Hunter",2,"G","Virginia","ACC",1
"Charles Jenkins",4,"G","Hofstra","CAA",0
"Cameron Payne",2,"G","Murray State","OVC",1
"Russ Smith",3,"G","Louisville","Big East",1
"Denzel Valentine",4,"G","Michigan State","Big Ten",1
"Cody Zeller",2,"F","Indiana","Big Ten",1
"Grayson Allen",2,"G","Duke","ACC",1
"Will Barton",2,"G","Memphis","CUSA",1
"Isaiah Canaan",3,"G","Murray State","OVC",1
"Ty Jerome",3,"G","Virginia","ACC",1
"JaJuan Johnson",4,"F","Purdue","Big Ten",0
"Kevin Jones",4,"F","West Virginia","Big East",0
"Sean Kilpatrick",4,"G","Cincinnati","AAC",0
"Marcus Morris",3,"F","Kansas","Big 12",0
"Thomas Robinson",3,"F","Kansas","Big 12",0
"Sindarius Thornwell",4,"G","South Carolina","SEC",1
"Fred VanVleet",2,"G","Wichita State","MVC",0
"Aaron White",4,"F","Iowa","Big Ten",1
"Dylan Windler",4,"G","Belmont","OVC",1
"Noah Dahlman",4,"F","Wofford","Southern",0
"Draymond Green",4,"F","Michigan State","Big Ten",1
"Reggie Hamilton",4,"G","Oakland","Summit",0
"Justin Harper",4,"F","Richmond","A-10",0
"Nigel Hayes",2,"F","Wisconsin","Big Ten",0
