url,name,fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
/cbb/players/oliver-caballero-1.html,Oliver Caballero,1.7,.388,0.7,0.9,.667,0.6,40,6-9,1.5,1.9,-0.61,1.3
/cbb/players/_-caballero-1.html,_ Caballero,,,2.6,,,0.9,34,,,6.1,7.22,
/cbb/players/dimitrije-cabarkapa-1.html,Dimitrije Cabarkapa,4.8,.453,2.2,0.7,.839,0.6,77,6-10,0.9,5.8,-1.27,2.5
/cbb/players/milos-cabarkapa-1.html,Milos Cabarkapa,0.7,.591,0.4,0.6,.632,0.4,30,7-0,0.6,1.3,-1.20,1.1
/cbb/players/curtis-cabbell-1.html,Curtis Cabbell,0.5,.778,0.4,0.2,.333,0.1,17,6-4,0.4,0.9,2.85,0.5
/cbb/players/lovell-cabbil-1.html,Lovell Cabbil,8.2,.423,3.5,2.7,.846,2.3,132,6-3,2.3,10.7,-5.00,3.7
/cbb/players/shamile-cabell-1.html,Shamile Cabell,6.5,.382,2.5,2.8,.706,2.0,61,5-10,2.4,7.7,-1.79,1.3
/cbb/players/bernie-cabey-1.html,Bernie Cabey,2.8,.481,1.3,1.8,.520,1.0,67,6-4,1.9,3.6,0.65,5.9
/cbb/players/jahir-cabeza-1.html,Jahir Cabeza,5.3,.391,2.1,1.3,.592,0.8,59,6-5,2.3,5.8,-6.75,3.6
/cbb/players/henry-cabiness-1.html,Henry Cabiness,11.0,.397,4.4,6.5,.647,4.2,74,6-5,3.4,12.9,-0.92,11.9
/cbb/players/barney-cable-1.html,Barney Cable,13.8,.451,6.2,5.7,.632,3.6,66,6-7,2.6,16.0,2.96,13.7
/cbb/players/dick-cable-1.html,Dick Cable,13.2,.399,5.3,5.2,.747,3.9,82,6-1,2.3,14.4,6.65,5.0
/cbb/players/don-cable-1.html,Don Cable,1.6,.233,0.4,0.4,.571,0.2,19,6-0,1.2,0.9,1.47,0.9
/cbb/players/jason-cable-1.html,Jason Cable,8.3,.409,3.4,1.8,.661,1.2,106,6-4,1.4,9.0,-11.23,2.4
/cbb/players/jeff-cable-1.html,Jeff Cable,4.6,.482,2.2,1.9,.543,1.0,61,6-5,2.3,5.4,-5.04,2.8
/cbb/players/randy-cable-1.html,Randy Cable,4.3,.460,2.0,1.8,.763,1.4,76,6-1,1.1,5.3,0.58,0.9
/cbb/players/frankie-cabrera-1.html,Frankie Cabrera,1.3,.300,0.4,0.2,.333,0.1,15,6-1,1.0,0.9,-7.12,0.2
/cbb/players/kris-cabrera-1.html,Kris Cabrera,0.7,.250,0.2,0.0,,0.0,6,6-3,0.0,0.3,-4.23,0.2
/cbb/players/rick-cabrera-1.html,Rick Cabrera,12.2,.457,5.6,4.6,.658,3.0,76,6-3,2.4,14.1,,5.6
/cbb/players/ricky-cabrera-1.html,Ricky Cabrera,7.1,.363,2.6,0.8,.718,0.6,49,6-4,,6.8,-7.12,1.5
/cbb/players/rico-cabrera-1.html,Rico Cabrera,2.5,.377,0.9,1.4,.763,1.0,28,6-4,1.0,3.1,-7.22,1.6
