url,name,fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
/cbb/players/bob-dagosta-1.html,Bob D'Agosta,3.8,.409,1.6,2.7,.554,1.5,62,6-4,1.4,4.6,-7.87,2.7
/cbb/players/mark-dagostino-1.html,Mark D'Agostino,0.9,.385,0.4,0.0,1.000,0.0,28,6-7,0.7,0.9,-6.73,0.6
/cbb/players/vince-dagostino-1.html,Vince D'Agostino,3.6,.333,1.2,1.0,.800,0.8,5,,,3.2,6.96,
/cbb/players/gene-dalesandro-1.html,Gene D'Alesandro,1.6,.455,0.7,1.6,.364,0.6,7,6-4,1.6,2.0,1.20,1.1
/cbb/players/jason-dalesio-1.html,Jason D'Alesio,1.9,.320,0.6,0.6,.610,0.4,67,6-3,0.8,1.8,6.97,0.7
/cbb/players/ben-dalessandro-1.html,Ben D'Alessandro,0.3,.000,0.0,0.0,,0.0,3,6-3,0.0,0.0,7.55,0.3
/cbb/players/mike-daloisio-1.html,Mike D'Aloisio,0.7,.583,0.4,0.4,.857,0.3,18,6-4,0.7,1.1,12.84,0.4
/cbb/players/mike-daloisio-2.html,Mike D'Aloisio,6.0,.457,2.7,0.7,.839,0.6,43,6-4,2.3,6.9,-0.39,2.2
/cbb/players/ralph-daltilia-1.html,Ralph D'Altilia,13.0,.442,5.8,4.5,.667,3.0,64,,2.3,14.5,-12.65,9.7
/cbb/players/brian-damico-1.html,Brian D'Amico,3.2,.524,1.7,1.0,.475,0.5,83,6-11,1.8,3.9,8.04,3.1
/cbb/players/rudy-damico-1.html,Rudy D'Amico,0.4,.000,0.0,0.0,,0.0,5,,0.4,0.0,-1.85,0.0
/cbb/players/troy-damico-1.html,Troy D'Amico,1.3,.375,0.5,0.8,.700,0.6,12,6-7,0.8,1.8,-4.43,1.2
/cbb/players/doug-damore-1.html,Doug D'Amore,5.6,.382,2.1,2.4,.701,1.6,57,6-5,2.2,6.9,-3.77,2.7
/cbb/players/dan-dantoni-1.html,Dan D'Antoni,14.1,.373,5.2,5.1,.774,3.9,77,5-11,2.9,14.4,1.18,3.5
/cbb/players/matt-dantoni-1.html,Matt D'Antoni,3.5,.325,1.1,0.8,.583,0.4,48,6-2,0.4,3.4,-4.94,1.0
/cbb/players/mike-dantoni-1.html,Mike D'Antoni,13.5,.454,6.1,3.9,.778,3.1,80,6-3,3.3,15.3,-1.72,4.5
/cbb/players/nick-dantoni-1.html,Nick D'Antoni,5.4,.327,1.8,1.9,.720,1.4,107,6-0,2.3,5.9,-2.28,2.1
/cbb/players/rich-dantonio-1.html,Rich D'Antonio,1.6,.403,0.6,1.6,.597,0.9,85,6-4,0.9,2.2,-2.87,1.2
/cbb/players/hank-dantonorio-1.html,Hank D'Antonorio,1.5,.167,0.3,0.3,1.000,0.3,4,,0.3,0.8,5.75,0.5
/cbb/players/anthony-davanzo-1.html,Anthony D'Avanzo,5.2,.476,2.5,1.3,.660,0.9,36,6-8,1.9,6.3,-1.85,3.3
/cbb/players/mike-delia-1.html,Mike D'Elia,0.4,.000,0.0,0.0,,0.0,10,6-0,0.4,0.0,-4.14,0.0
/cbb/players/tony-delia-1.html,Tony D'Elia,14.7,.382,5.6,3.8,.637,2.4,96,5-11,2.7,13.6,-2.11,2.9
/cbb/players/rudy-demilio-1.html,Rudy D'Emilio,14.1,.349,4.9,4.5,.667,3.0,80,5-11,2.7,12.9,-2.38,4.1
/cbb/players/eddie-dhaiti-1.html,Eddie D'Haiti,2.1,.407,0.9,1.4,.579,0.8,28,6-8,2.0,2.5,0.40,2.9
/cbb/players/anthony-dorazio-1.html,Anthony D'Orazio,4.0,.395,1.6,0.8,.526,0.4,127,6-2,1.5,4.1,-4.24,2.2
/cbb/players/gus-dorazio-1.html,Gus D'Orazio,5.7,.314,1.8,1.3,.417,0.6,9,,0.3,4.1,-3.06,4.7
/cbb/players/delano-doyen-1.html,Delano D'Oyen,4.7,.333,1.6,1.0,.719,0.7,88,6-0,,4.9,2.48,1.6
/cbb/players/marcelo-da-barrosa-1.html,Marcelo Da Barrosa,2.8,.425,1.2,0.7,.611,0.4,26,6-7,1.5,2.8,7.07,1.5
/cbb/players/mattia-dacampo-1.html,Mattia Da Campo,2.3,.483,1.1,1.3,.697,0.9,103,6-7,1.7,3.5,-3.70,3.1
/cbb/players/guilherme-da-luz-1.html,Guilherme Da Luz,9.6,.381,3.6,3.4,.742,2.5,117,6-3,2.4,10.7,-3.89,4.4
/cbb/players/bernardo-dasilva-1.html,Bernardo Da Silva,2.8,.565,1.6,2.9,.619,1.8,33,6-9,2.1,5.0,-1.28,3.7
/cbb/players/marcelo-da-silva-1.html,Marcelo da Silva,3.8,.488,1.9,2.4,.538,1.3,99,7-0,2.2,5.0,0.84,4.1
/cbb/players/oscar-dasilva-1.html,Oscar Da Silva,8.3,.537,4.4,3.2,.745,2.4,121,6-9,2.7,12.0,7.16,5.8
/cbb/players/tristan-dasilva-1.html,Tristan Da Silva,3.6,.462,1.7,0.9,.706,0.7,36,6-8,1.3,4.3,4.65,1.8
/cbb/players/tulio-dasilva-1.html,Tulio Da Silva,8.4,.499,4.2,3.2,.627,2.0,107,6-8,2.4,10.6,0.53,6.8
/cbb/players/bill-daake-1.html,Bill Daake,7.3,.373,2.7,2.1,.653,1.4,23,6-8,2.4,6.9,-2.75,5.2
/cbb/players/tim-daaleman-1.html,Tim Daaleman,9.3,.528,4.9,3.7,.727,2.7,100,6-8,2.8,12.5,-6.20,8.3
/cbb/players/amani-daanish-1.html,Amani Daanish,7.5,.475,3.6,3.9,.529,2.1,58,6-7,2.0,9.2,3.23,5.8
/cbb/players/joe-dabbert-1.html,Joe Dabbert,3.9,.517,2.0,1.9,.712,1.4,127,6-11,2.2,5.4,1.83,2.9
/cbb/players/brent-dabbs-1.html,Brent Dabbs,8.5,.477,4.1,3.8,.673,2.5,60,6-10,1.2,10.8,8.86,7.4
/cbb/players/jo-jo-dabbs-1.html,Jo-Jo Dabbs,0.9,.148,0.1,0.3,.778,0.2,30,6-3,0.1,0.6,2.05,0.5
/cbb/players/michael-dabbs-1.html,Michael Dabbs,1.8,.388,0.7,1.0,.603,0.6,67,6-5,1.2,1.9,-11.44,1.9
/cbb/players/don-dabich-1.html,Don Dabich,1.2,.414,0.5,1.3,.656,0.9,24,,1.3,1.9,1.74,2.5
/cbb/players/mike-dabich-1.html,Mike Dabich,14.5,.442,6.4,6.4,.537,3.5,52,,4.0,16.3,1.74,9.6
/cbb/players/eugene-dabney-1.html,Eugene Dabney,4.4,.477,2.1,1.8,.632,1.2,89,6-10,2.2,5.3,4.96,3.7
/cbb/players/jason-dabney-1.html,Jason Dabney,2.1,.325,0.7,1.0,.641,0.7,38,6-7,1.6,2.1,-12.10,2.3
/cbb/players/louis-dabney-1.html,Louis Dabney,9.4,.382,3.6,3.9,.757,3.0,131,6-3,2.1,11.2,0.14,2.8
/cbb/players/mike-dabney-1.html,Mike Dabney,1.8,.536,0.9,1.6,.577,0.9,16,6-8,1.9,2.8,-2.03,2.0
/cbb/players/mike-dabney-2.html,Mike Dabney,14.1,.450,6.4,3.9,.718,2.8,53,6-4,1.2,15.5,-4.89,7.7
/cbb/players/mike-dabney-3.html,Mike Dabney,15.0,.469,7.1,3.3,.774,2.6,114,6-4,2.2,16.7,-2.19,5.4
/cbb/players/ron-dabney-1.html,Ron Dabney,9.7,.448,4.3,3.0,.667,2.0,3,,3.0,10.7,4.97,4.7
/cbb/players/steve-dabney-1.html,Steve Dabney,5.4,.423,2.3,1.9,.719,1.4,73,5-11,1.6,6.0,-8.03,2.3
/cbb/players/whitney-dabney-1.html,Whitney Dabney,3.9,.486,1.9,1.3,.543,0.7,27,6-8,1.6,4.5,3.98,2.6
/cbb/players/daniel-daccarett-1.html,Daniel Daccarett,0.6,.450,0.3,0.7,.667,0.4,36,6-8,0.6,0.9,-5.74,0.4
/cbb/players/emmett-dacey-1.html,Emmett Dacey,0.5,.000,0.0,0.0,,0.0,2,6-9,0.0,0.0,10.55,0.0
/cbb/players/dion-dacons-1.html,Dion Dacons,1.9,.567,1.1,1.0,.526,0.5,111,6-6,2.0,2.9,4.14,3.5
/cbb/players/tony-dacosta-1.html,Tony DaCosta,6.5,.439,2.9,2.8,.788,2.2,119,5-11,,8.6,-5.38,3.0
/cbb/players/pence-dacus-1.html,Pence Dacus,6.5,.310,2.0,1.8,.589,1.1,31,,2.7,5.1,,
/cbb/players/ayo-dada-1.html,Ayo Dada,2.1,.242,0.5,0.3,1.000,0.3,16,6-2,0.9,1.5,,0.9
/cbb/players/dave-dada-1.html,Dave Dada,0.4,.500,0.2,0.6,.667,0.4,5,6-2,,0.8,-4.28,0.0
/cbb/players/anthony-dade-1.html,Anthony Dade,10.7,.551,5.9,6.4,.568,3.6,121,6-6,,15.4,0.69,7.0
/cbb/players/antoine-dade-1.html,Antoine Dade,2.4,.414,1.0,1.7,.458,0.8,29,6-8,1.6,2.8,-2.95,3.6
/cbb/players/brandon-dade-1.html,Brandon Dade,4.1,.448,1.8,2.0,.657,1.3,104,6-4,1.3,5.1,-1.52,2.0
/cbb/players/chris-dade-1.html,Chris Dade,10.6,.408,4.3,4.7,.747,3.5,107,6-2,2.7,14.0,0.13,2.9
/cbb/players/clay-dade-1.html,Clay Dade,3.7,.444,1.6,1.4,.817,1.1,90,5-10,0.9,4.6,-6.67,1.3
