url,name,fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
/cbb/players/tom-each-1.html,Tom Each,1.3,.059,0.1,1.2,.625,0.8,13,6-3,0.4,0.9,5.18,0.5
/cbb/players/ledell-eackles-1.html,Ledell Eackles,17.6,.482,8.5,5.9,.776,4.6,59,6-5,1.8,23.0,-0.96,4.5
/cbb/players/ledell-eackles-2.html,Ledell Eackles,7.2,.400,2.9,3.5,.623,2.2,59,5-10,2.1,9.2,-6.77,3.4
/cbb/players/ledrick-eackles-1.html,Ledrick Eackles,7.8,.361,2.8,3.7,.731,2.7,107,6-3,2.0,9.4,-2.88,3.1
/cbb/players/marvin-eackles-1.html,Marvin Eackles,5.9,.494,2.9,2.5,.779,1.9,53,6-5,,7.8,1.35,3.2
/cbb/players/tony-eackles-1.html,Tony Eackles,3.4,.385,1.3,2.5,.664,1.6,54,6-2,1.1,4.5,-8.51,1.1
/cbb/players/bill-eaddy-1.html,Bill Eaddy,3.5,.419,1.5,2.2,.717,1.6,112,6-5,1.0,4.8,3.37,1.8
/cbb/players/bill-eaddy-2.html,Bill Eaddy,0.6,.300,0.2,0.1,.500,0.1,18,6-2,0.1,0.6,7.16,0.3
/cbb/players/don-eaddy-1.html,Don Eaddy,14.7,.316,4.6,3.9,.603,2.4,88,5-11,2.8,11.6,6.35,3.5
/cbb/players/ephriam-eaddy-1.html,Ephriam Eaddy,6.6,.346,2.3,1.7,.771,1.3,41,5-10,0.6,6.5,0.41,3.4
/cbb/players/haywood-eaddy-1.html,Haywood Eaddy,11.5,.416,4.8,4.4,.863,3.8,45,5-4,2.5,15.0,1.71,2.7
/cbb/players/james-eaddy-1.html,James Eaddy,1.0,.091,0.1,0.4,.500,0.2,11,6-1,,0.4,1.05,0.4
/cbb/players/james-eaddy-2.html,James Eaddy,0.4,.000,0.0,0.0,,0.0,9,,0.1,0.0,-4.60,0.3
/cbb/players/tahj-eaddy-1.html,Tahj Eaddy,9.4,.412,3.9,2.2,.818,1.8,127,6-2,1.5,11.3,1.98,2.5
/cbb/players/_-eader-1.html,_ Eader,0.7,.000,0.0,0.3,.000,0.0,3,,0.0,0.0,-4.02,0.3
/cbb/players/clyde-eads-1.html,Clyde Eads,6.2,.523,3.3,1.5,.798,1.2,85,6-7,1.1,7.7,4.56,2.3
