url,name,fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
/cbb/players/jason-iacona-1.html,Jason Iacona,0.6,.250,0.2,0.3,.556,0.2,26,7-1,0.3,0.5,-9.00,0.2
/cbb/players/tony-iacovino-1.html,Tony Iacovino,3.2,.235,0.8,1.7,.571,1.0,21,6-0,0.9,2.5,,
/cbb/players/_-iacovino-1.html,_ Iacovino,,,1.0,1.5,.688,1.0,22,,,3.0,,
/cbb/players/tom-iane-1.html,Tom Iane,3.3,.333,1.1,1.4,.630,0.9,19,6-0,1.3,3.1,-16.65,1.6
/cbb/players/mike-iannarella-1.html,Mike Iannarella,0.3,.000,0.0,0.0,,0.0,3,,0.3,0.0,2.71,0.0
/cbb/players/anthony-ianni-1.html,Anthony Ianni,0.2,.400,0.1,0.1,.500,0.0,27,6-9,0.2,0.2,10.74,0.4
/cbb/players/andres-iarrazabel-1.html,Andres Iarrazabel,2.5,.504,1.3,1.2,.623,0.8,108,6-7,1.7,3.3,-4.58,3.0
/cbb/players/jacob-iati-1.html,Jacob Iati,4.5,.401,1.8,1.1,.806,0.9,112,5-10,1.2,5.8,-5.82,1.2
/cbb/players/jon-iati-1.html,Jon Iati,7.8,.368,2.9,1.7,.796,1.3,129,5-9,1.1,8.9,-5.54,1.6
/cbb/players/tony-iati-1.html,Tony Iati,2.5,.420,1.1,1.6,.656,1.1,113,5-9,,3.2,-0.80,1.0
/cbb/players/marc-iavaroni-1.html,Marc Iavaroni,8.5,.490,4.2,4.4,.682,3.0,110,6-8,3.3,11.3,7.62,6.5
/cbb/players/gene-iba-2.html,Gene Iba,0.2,.000,0.0,0.4,1.000,0.4,10,,0.3,0.4,4.45,0.4
/cbb/players/moe-iba-2.html,Moe Iba,9.6,.428,4.1,2.4,.840,2.0,63,6-1,2.3,10.3,4.16,2.1
/cbb/players/skip-iba-1.html,Skip Iba,2.9,.382,1.1,1.2,.558,0.7,69,6-3,1.7,2.9,3.42,2.1
/cbb/players/ervin-ibach-1.html,Ervin Ibach,3.5,.233,0.8,1.2,.524,0.6,17,5-11,1.2,2.3,,
/cbb/players/igor-ibaka-1.html,Igor Ibaka,0.3,.500,0.1,1.1,.500,0.6,7,6-9,0.3,0.9,8.81,1.1
/cbb/players/fernando-ibanez-1.html,Fernando Ibanez,1.9,.366,0.7,0.4,.714,0.3,37,6-7,0.8,1.8,-2.50,1.4
/cbb/players/james-ibanez-1.html,James Ibanez,0.8,.571,0.4,0.3,.333,0.1,9,6-3,0.4,1.0,-12.05,0.8
/cbb/players/andres-ibarguen-1.html,Andres Ibarguen,4.1,.616,2.6,2.5,.582,1.4,27,6-5,2.4,6.6,0.84,6.7
/cbb/players/wayne-ibarolle-1.html,Wayne Ibarolle,2.6,.581,1.5,1.5,.486,0.7,24,6-6,1.8,3.7,3.68,3.1
/cbb/players/josh-ibarra-1.html,Josh Ibarra,7.2,.604,4.3,2.7,.581,1.5,89,6-11,3.0,10.2,-4.82,7.1
/cbb/players/prince-ibeh-1.html,Prince Ibeh,2.1,.557,1.2,1.5,.432,0.6,135,6-10,2.5,3.0,9.12,3.4
/cbb/players/ekene-ibekwe-1.html,Ekene Ibekwe,6.7,.477,3.2,3.8,.595,2.3,127,6-9,3.0,8.7,8.47,6.1
/cbb/players/onye-ibekwe-1.html,Onye Ibekwe,3.6,.435,1.6,2.6,.485,1.3,51,6-8,2.0,4.4,2.22,4.6
/cbb/players/kris-ibezim-1.html,Kris Ibezim,2.2,.455,1.0,2.4,.500,1.2,5,6-7,1.8,3.2,-9.85,2.8
/cbb/players/sam-ibiezugbe-1.html,Sam Ibiezugbe,1.3,.432,0.6,0.5,.490,0.2,103,6-11,1.1,1.4,-3.47,1.7
/cbb/players/femi-ibikunle-1.html,Femi Ibikunle,3.5,.428,1.5,2.5,.434,1.1,125,6-9,2.5,4.0,3.53,4.3
/cbb/players/adedeji-ibitayo-1.html,Adedeji Ibitayo,4.4,.424,1.9,2.0,.660,1.4,102,6-4,1.5,5.9,-0.01,2.3
/cbb/players/idong-ibok-1.html,Idong Ibok,0.6,.583,0.3,0.5,.520,0.2,108,6-11,1.2,0.9,8.19,1.4
/cbb/players/ahmad-ibrahim-1.html,Ahmad Ibrahim,6.3,.370,2.3,1.0,.719,0.7,33,6-6,1.8,6.2,1.10,1.9
/cbb/players/mohammed-ibrahim-1.html,Mohammed Ibrahim,1.3,.462,0.6,0.0,,0.0,10,6-4,0.9,1.5,2.55,0.6
/cbb/players/d-ice-1.html,D. Ice,1.3,.250,0.3,0.5,.667,0.3,6,,2.0,1.0,1.33,1.3
/cbb/players/mike-ice-1.html,Mike Ice,3.2,.539,1.7,2.2,.618,1.4,55,6-10,,4.9,-0.47,3.8
/cbb/players/yassin-idbihi-1.html,Yassin Idbihi,9.5,.466,4.4,3.9,.775,3.0,122,6-10,2.9,12.4,-0.04,6.9
/cbb/players/robinson-idehen-1.html,Robinson Idehen,3.0,.677,2.0,1.9,.539,1.0,101,6-10,2.1,5.1,-4.44,3.5
/cbb/players/martin-ides-1.html,Martin Ides,5.6,.439,2.5,2.2,.664,1.5,103,7-2,1.9,6.4,-2.82,3.9
/cbb/players/chad-ideus-1.html,Chad Ideus,1.6,.563,0.9,0.4,1.000,0.4,10,6-7,0.8,2.7,5.58,1.5
/cbb/players/ken-idlebird-1.html,Ken Idlebird,5.0,.240,1.2,0.6,.333,0.2,5,5-11,0.6,2.6,-8.52,0.0
/cbb/players/james-idleburg-1.html,James Idleburg,5.9,.411,2.4,1.2,.661,0.8,50,6-3,1.8,6.0,-6.48,3.5
/cbb/players/steven-idlet-1.html,Steven Idlet,5.3,.517,2.8,3.4,.715,2.5,132,6-11,2.7,8.0,3.44,5.0
/cbb/players/rey-idowu-1.html,Rey Idowu,3.9,.527,2.1,1.6,.575,0.9,98,6-9,2.0,5.0,1.83,3.2
/cbb/players/samuel-idowu-1.html,Samuel Idowu,6.0,.503,3.0,1.5,.726,1.1,124,6-7,2.3,7.7,-4.66,4.0
/cbb/players/idris-ibn-idris-1.html,Idris Ibn Idris,0.0,,0.0,0.0,,0.0,1,6-3,0.0,0.0,-2.61,2.0
/cbb/players/teslim-idris-1.html,Teslim Idris,1.8,.481,0.9,0.6,.438,0.2,29,6-6,1.4,2.1,-8.59,1.4
/cbb/players/younes-idrissi-1.html,Younes Idrissi,5.0,.401,2.0,1.7,.625,1.1,57,6-8,2.6,5.1,6.05,3.0
/cbb/players/osahen-iduwe-1.html,Osahen Iduwe,0.3,.286,0.1,0.4,.500,0.2,28,6-10,0.7,0.3,8.53,0.3
/cbb/players/steve-idzik-1.html,Steve Idzik,1.8,.457,0.8,0.5,.750,0.3,26,6-4,1.0,2.0,-1.39,2.1
/cbb/players/charles-ieans-1.html,Charles Ieans,3.3,.387,1.3,0.9,.549,0.5,58,6-9,1.8,3.4,-4.59,2.1
/cbb/players/fred-iehle-1.html,Fred Iehle,14.7,.359,5.3,2.8,.656,1.9,77,6-3,2.4,12.4,1.63,4.8
/cbb/players/lou-iezzi-1.html,Lou Iezzi,4.0,.267,1.1,1.9,.660,1.2,52,6-0,1.6,3.3,4.45,1.5
/cbb/players/ude-ifeanyichukwa-1.html,Ude Ifeanyichukwu,0.4,.429,0.2,0.3,.600,0.2,17,6-10,0.6,0.5,-0.08,0.7
/cbb/players/elijah-ifejeh-1.html,Elijah Ifejeh,2.1,.478,1.0,1.3,.521,0.7,53,6-8,2.1,2.7,0.70,2.8
/cbb/players/martins-igbanu-1.html,Martins Igbanu,6.3,.570,3.6,4.7,.670,3.2,126,6-8,2.1,10.4,3.78,5.0
/cbb/players/ethan-igbanugo-1.html,Ethan Igbanugo,4.3,.367,1.6,1.1,.671,0.8,73,6-3,1.2,4.9,-3.08,1.3
/cbb/players/urule-igbavboa-1.html,Urule Igbavboa,6.6,.536,3.5,4.4,.625,2.7,119,6-8,2.5,9.9,-0.46,5.9
/cbb/players/emmanuel-igbinosa-1.html,Emmanuel Igbinosa,2.9,.456,1.3,0.7,.556,0.4,27,6-2,0.8,3.6,6.70,1.2
/cbb/players/oso-ighodaro-1.html,Oso Ighodaro,2.2,.769,1.7,0.8,.571,0.4,18,6-9,1.9,3.8,7.90,3.3
/cbb/players/timothy-ighoefe-1.html,Timothy Ighoefe,2.0,.488,1.0,1.0,.615,0.6,41,7-0,1.8,2.6,6.59,3.5
/cbb/players/aidan-igiehon-1.html,Aidan Igiehon,1.5,.571,0.9,1.3,.444,0.6,28,6-10,1.1,2.3,3.30,2.2
/cbb/players/mantas-ignatavicius-1.html,Mantas Ignatavicius,6.0,.392,2.3,2.8,.802,2.3,75,6-3,1.7,7.5,-6.78,4.1
/cbb/players/vince-ignatowicz-1.html,Vince Ignatowicz,8.0,.352,2.8,2.5,.705,1.8,24,6-0,3.0,7.5,-0.33,4.7
/cbb/players/_-ignatowicz-1.html,_ Ignatowicz,,,3.2,,,1.5,24,,,7.9,-3.07,
/cbb/players/michal-ignerski-1.html,Michal Ignerski,7.6,.456,3.5,1.5,.711,1.0,62,6-10,2.1,8.9,7.67,4.2
/cbb/players/jovan-ignjatovic-1.html,Jovan Ignjatovic,1.7,.398,0.7,0.5,.763,0.4,72,6-9,1.2,1.8,0.39,1.4
/cbb/players/obrad-ignjatovic-1.html,Obrad Ignjatovic,1.5,.378,0.6,0.6,.486,0.3,56,6-10,0.5,1.5,5.85,1.2
/cbb/players/shaun-igo-1.html,Shaun Igo,9.4,.509,4.8,3.9,.712,2.8,94,6-10,,12.3,1.93,6.3
/cbb/players/byron-igoe-1.html,Byron Igoe,3.9,.910,3.6,3.3,.623,2.0,56,6-4,2.2,9.2,2.54,
/cbb/players/andre-iguodala-1.html,Andre Iguodala,7.8,.424,3.3,3.3,.738,2.5,62,6-6,2.2,9.6,7.79,6.6
/cbb/players/frank-iguodala-1.html,Frank Iguodala,1.2,.508,0.6,0.5,.533,0.3,55,6-5,1.3,1.5,4.37,1.9
/cbb/players/josh-ihde-1.html,Josh Ihde,1.2,.429,0.5,0.5,.571,0.3,29,6-8,0.4,1.4,1.59,1.2
/cbb/players/ugo-ihekweazu-1.html,Ugo Ihekweazu,1.8,.523,0.9,0.9,.436,0.4,61,6-5,1.7,2.2,-4.17,2.1
/cbb/players/sam-ihekwoaba-1.html,Sam Ihekwoaba,2.9,.531,1.5,0.5,.500,0.3,11,6-5,0.5,3.5,-3.23,1.8
/cbb/players/tyree-ihenacho-1.html,Tyree Ihenacho,7.2,.415,3.0,2.4,.516,1.2,27,6-4,2.5,7.9,-1.40,5.2
/cbb/players/isaiah-ihnen-1.html,Isaiah Ihnen,2.9,.363,1.1,0.4,.810,0.3,50,6-9,1.2,3.1,11.64,3.1
/cbb/players/richard-ijeh-1.html,Richard Ijeh,3.4,.369,1.3,0.9,.673,0.6,52,6-1,0.5,3.8,-8.35,1.4
/cbb/players/todd-ikard-1.html,Todd Ikard,1.7,.367,0.6,0.6,.900,0.5,18,,1.1,1.7,3.26,0.7
/cbb/players/anthony-ike-1.html,Anthony Ike,5.8,.400,2.3,3.4,.627,2.2,32,6-5,2.7,7.4,-9.03,4.7
/cbb/players/earl-ike-1.html,Earl Ike,0.8,.250,0.2,0.4,1.000,0.4,5,6-8,0.4,0.8,2.06,0.8
/cbb/players/graham-ike-1.html,Graham Ike,10.4,.571,5.9,5.3,.669,3.6,25,6-9,3.3,15.5,-1.16,7.0
/cbb/players/jibrahn-ike-1.html,Jibrahn Ike,8.8,.443,3.9,3.6,.845,3.1,59,6-2,1.8,12.1,-1.71,3.2
/cbb/players/larry-ike-1.html,Larry Ike,0.7,.500,0.3,0.2,.000,0.0,6,,0.3,0.7,5.76,0.5
/cbb/players/andy-ikeakor-1.html,Andy Ikeakor,2.3,.313,0.7,0.9,.480,0.4,29,6-8,1.6,1.9,8.22,2.4
/cbb/players/obi-ikeakor-1.html,Obi Ikeakor,1.9,.500,0.9,0.7,.692,0.5,35,6-8,1.8,2.5,-1.89,1.4
/cbb/players/chukwu-ikediashi-1.html,Chukwu Ikediashi,1.2,.611,0.7,0.7,.455,0.3,15,6-8,0.9,1.8,-5.64,1.5
/cbb/players/chy-chy-ikenokwalu-1.html,Chy Chy Ikenokwalu,0.6,.571,0.3,0.4,.462,0.2,36,6-7,0.6,0.8,5.25,1.1
/cbb/players/larry-ikerd-1.html,Larry Ikerd,3.1,.397,1.2,1.0,.705,0.7,60,6-3,0.8,3.2,-2.32,1.5
/cbb/players/emeka-ikezu-1.html,Emeka Ikezu,0.4,.583,0.2,0.3,.300,0.1,29,6-9,1.4,0.6,-6.49,0.8
/cbb/players/joe-ikhinmwin-1.html,Joe Ikhinmwin,5.1,.485,2.5,1.5,.621,0.9,59,6-6,2.5,5.9,-7.34,3.1
/cbb/players/clement-ikomi-1.html,Clement Ikomi,4.3,.464,2.0,2.2,.825,1.8,26,6-10,,5.8,0.24,4.5
/cbb/players/adida-ikongshul-1.html,Adida Ikongshul,0.8,.344,0.3,0.4,.533,0.2,81,6-6,1.0,0.8,-0.33,1.4
/cbb/players/denis-ikovlev-1.html,Denis Ikovlev,3.5,.485,1.7,0.6,.765,0.5,57,6-7,1.4,4.8,1.68,2.7
/cbb/players/guy-ikpah-1.html,Guy Ikpah,1.0,.000,0.0,0.0,,0.0,7,6-0,0.0,0.0,7.01,0.0
/cbb/players/tristan-ikpe-1.html,Tristan Ikpe,5.3,.536,2.8,2.8,.569,1.6,42,6-6,2.8,7.3,-2.77,6.2
/cbb/players/amadi-ikpeze-1.html,Amadi Ikpeze,2.9,.464,1.3,1.0,.667,0.7,120,6-10,2.1,3.3,1.49,2.7
/cbb/players/christopher-ikuenobe-1.html,Christopher Ikuenobe,1.6,.523,0.9,0.8,.545,0.4,27,6-9,1.2,2.1,-4.25,1.1
/cbb/players/jack-ilcisin-1.html,Jack Ilcisin,7.3,.396,2.9,1.3,.531,0.7,63,6-3,2.0,6.4,2.49,2.8
/cbb/players/peace-ilegomah-1.html,Peace Ilegomah,0.4,.467,0.2,0.5,.476,0.3,40,6-9,1.4,0.6,5.26,0.9
/cbb/players/chris-iles-1.html,Chris Iles,5.2,.352,1.8,1.8,.796,1.4,61,5-11,1.9,5.9,-3.35,1.5
/cbb/players/john-iles-1.html,John Iles,1.6,.455,0.7,0.0,,0.0,7,5-8,0.4,1.4,6.02,0.4
/cbb/players/trian-iliadis-1.html,Trian Iliadis,4.8,.368,1.8,0.9,.714,0.6,122,6-3,0.9,5.1,0.42,1.5
/cbb/players/milos-ilic-1.html,Milos Ilic,5.3,.397,2.1,0.2,.500,0.1,11,6-9,2.6,5.3,-6.04,3.7
/cbb/players/miroslav-ilic-1.html,Miroslav Ilic,3.1,.324,1.0,1.4,.684,1.0,55,6-2,,3.8,-1.57,1.1
/cbb/players/veljko-ilic-1.html,Veljko Ilic,4.1,.644,2.6,2.1,.522,1.1,11,6-10,2.1,6.4,-6.04,4.0
/cbb/players/buck-illig-1.html,Buck Illig,0.7,.091,0.1,0.3,.250,0.1,16,,0.3,0.2,4.79,
/cbb/players/francis-illig-1.html,Francis Illig,,,,,.667,,,,,,,
/cbb/players/alex-illikainen-1.html,Alex Illikainen,1.4,.381,0.5,0.4,.533,0.2,85,6-9,0.8,1.5,9.44,1.3
/cbb/players/dave-ilnicki-1.html,Dave Ilnicki,0.3,.500,0.2,0.0,,0.0,6,6-5,0.2,0.3,-8.34,0.3
/cbb/players/chuka-iloegbu-1.html,Chuka Iloegbu,3.2,.342,1.1,1.1,.594,0.7,58,6-3,1.3,3.2,-5.39,1.8
/cbb/players/solomon-iluyomade-1.html,Solomon Iluyomade,2.3,.326,0.8,0.9,.778,0.7,20,6-7,1.8,2.3,-4.04,1.8
/cbb/players/markus-ilver-1.html,Markus Ilver,1.3,.125,0.2,0.7,.750,0.5,6,6-8,0.8,0.8,6.31,0.7
