url,name,fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
/cbb/players/ali-kaba-1.html,Ali Kaba,2.5,.493,1.2,1.7,.462,0.8,56,6-8,1.8,3.2,-2.75,5.4
/cbb/players/chris-kaba-1.html,Chris Kaba,5.3,.424,2.3,2.5,.757,1.9,93,6-8,2.1,7.4,-3.38,3.8
/cbb/players/daye-kaba-1.html,Daye Kaba,5.5,.392,2.1,1.4,.656,0.9,44,6-4,1.1,5.9,4.71,3.3
/cbb/players/jacky-kaba-1.html,Jacky Kaba,4.6,.435,2.0,2.2,.523,1.1,98,6-10,2.3,5.1,7.98,5.2
/cbb/players/lounceny-kaba-1.html,Lounceny Kaba,0.6,.600,0.4,0.7,.167,0.1,17,6-8,1.4,0.8,-1.47,1.8
/cbb/players/mahamadou-kaba-camara-1.html,Mahamadou Kaba-Camara,1.0,.556,0.5,0.4,.214,0.1,66,7-0,1.8,1.2,-3.69,1.7
/cbb/players/link-kabadyundi-1.html,Link Kabadyundi,1.1,.649,0.7,1.0,.413,0.4,72,7-1,1.4,1.8,1.00,1.8
/cbb/players/anthony-kabala-1.html,Anthony Kabala,0.0,,0.0,0.0,,0.0,1,6-8,1.0,0.0,-8.82,1.0
/cbb/players/mike-kabat-1.html,Mike Kabat,4.5,.479,2.1,1.5,.769,1.2,60,6-9,2.4,5.4,2.77,3.6
/cbb/players/abby-kabba-1.html,Abby Kabba,1.9,.412,0.8,2.1,.421,0.9,9,6-6,2.9,2.4,-5.57,2.0
/cbb/players/sheiku-kabba-1.html,Sheiku Kabba,6.1,.410,2.5,1.8,.762,1.4,122,6-3,2.0,7.6,6.50,2.3
/cbb/players/john-kabbes-1.html,John Kabbes,7.4,.418,3.1,2.2,.661,1.4,77,,3.1,7.6,-1.40,4.9
/cbb/players/khy-kabellis-1.html,Khy Kabellis,6.9,.380,2.6,2.1,.671,1.4,114,6-4,1.5,7.7,-1.96,2.8
/cbb/players/mfiondu-kabengele-1.html,Mfiondu Kabengele,7.0,.498,3.5,3.9,.724,2.8,71,6-10,2.4,10.3,9.38,5.3
/cbb/players/eugene-kaberline-1.html,Eugene Kaberline,1.9,.434,0.8,1.5,.484,0.7,44,6-5,2.0,2.3,-0.83,2.8
/cbb/players/nehemie-kabeya-1.html,Nehemie Kabeya,1.0,.444,0.4,0.6,.400,0.2,9,6-9,2.4,1.1,-8.76,2.1
/cbb/players/joel-kabimba-1.html,Joel Kabimba,4.0,.471,1.9,1.5,.581,0.9,48,6-8,2.2,4.9,-4.05,3.1
/cbb/players/christian-kabongo-1.html,Christian Kabongo,8.5,.378,3.2,4.7,.727,3.4,44,6-4,2.1,10.3,1.37,3.0
/cbb/players/jonathan-kabongo-1.html,Jonathan Kabongo,1.3,.393,0.5,0.2,.500,0.1,21,6-4,0.5,1.5,7.79,0.6
/cbb/players/kabeya-kabongo-1.html,Kabeya Kabongo,0.8,.200,0.2,0.3,.000,0.0,20,6-4,0.9,0.3,-4.00,0.5
/cbb/players/myck-kabongo-1.html,Myck Kabongo,7.7,.400,3.1,5.5,.715,4.0,45,6-1,2.2,10.8,7.33,3.5
/cbb/players/francis-kabore-1.html,Francis Kabore,3.2,.468,1.5,1.9,.479,0.9,63,6-7,2.0,3.9,-4.72,2.8
/cbb/players/yves-kabore-1.html,Yves Kabore,4.7,.354,1.7,1.7,.789,1.3,112,6-0,1.2,5.9,-8.99,1.6
/cbb/players/michael-kach-1.html,Michael Kach,3.2,.405,1.3,1.7,.758,1.3,53,6-4,1.2,4.2,-2.46,2.0
/cbb/players/edwin-kachan-1.html,Edwin Kachan,,,4.5,3.8,.699,2.6,30,,3.3,11.7,,
/cbb/players/kevin-kachan-1.html,Kevin Kachan,4.8,.386,1.8,1.8,.678,1.2,67,6-1,1.7,4.9,5.81,1.4
/cbb/players/david-kachelries-1.html,David Kachelries,5.8,.513,3.0,1.1,.718,0.8,77,6-1,1.4,7.6,-4.30,1.6
/cbb/players/greg-kachinski-1.html,Greg Kachinski,0.8,.286,0.2,0.0,,0.0,9,6-5,0.4,0.4,-2.31,1.2
/cbb/players/phil-kachinsky-1.html,Phil Kachinsky,0.0,,0.0,0.7,1.000,0.7,3,5-5,0.0,0.7,-8.19,0.7
/cbb/players/dennis-kachovec-1.html,Dennis Kachovec,1.0,1.000,1.0,0.5,.000,0.0,2,,0.0,2.0,0.15,1.0
/cbb/players/george-kachulis-1.html,George Kachulis,0.7,.000,0.0,0.0,,0.0,3,,0.3,0.0,-7.67,0.7
/cbb/players/mindaugas-kacinas-1.html,Mindaugas Kacinas,4.7,.531,2.5,2.1,.671,1.4,132,6-7,2.4,6.7,5.78,4.8
/cbb/players/jim-kaczmarek-1.html,Jim Kaczmarek,2.7,.438,1.2,0.8,.571,0.4,18,6-9,1.0,2.8,-0.91,2.2
/cbb/players/kevin-kaczmarek-1.html,Kevin Kaczmarek,0.1,1.000,0.1,0.0,,0.0,7,,1.0,0.3,-3.63,0.3
/cbb/players/walter-kaczmarek-1.html,Walter Kaczmarek,2.9,.505,1.4,1.3,.622,0.8,70,6-9,,3.7,-3.83,3.4
/cbb/players/tom-kaczor-1.html,Tom Kaczor,5.0,.400,2.0,0.0,,0.0,1,6-3,0.0,4.0,-5.07,3.0
/cbb/players/chim-kadima-1.html,Chim Kadima,3.3,.333,1.1,1.2,.629,0.7,53,6-4,1.2,3.4,-1.44,1.3
/cbb/players/kalombo-kadima-1.html,Kalombo Kadima,3.8,.439,1.7,1.8,.641,1.2,115,6-2,1.5,4.9,1.47,2.7
/cbb/players/chris-kading-1.html,Chris Kading,2.9,.520,1.5,1.0,.611,0.6,129,6-8,1.9,3.9,-2.66,3.2
/cbb/players/david-kadiri-1.html,David Kadiri,3.2,.577,1.9,1.4,.548,0.8,88,6-8,2.5,4.5,-2.22,2.9
/cbb/players/lenny-kadisha-1.html,Lenny Kadisha,0.9,.250,0.2,0.7,.333,0.2,9,6-4,0.4,0.7,-4.57,0.2
/cbb/players/steve-kadison-1.html,Steve Kadison,6.1,.336,2.0,1.3,.659,0.9,62,6-1,1.6,5.0,-4.09,2.2
