url,name,fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
/cbb/players/mitch-lheureux-1.html,Mitch L'Heureux,2.4,.143,0.3,1.0,.636,0.6,23,,2.3,1.3,6.28,
/cbb/players/mike-latulip-1.html,Mike La Tulip,2.6,.390,1.0,1.0,.853,0.8,76,6-1,0.9,3.7,5.72,1.4
/cbb/players/galen-laack-1.html,Galen Laack,1.3,.200,0.3,0.9,.571,0.5,8,,0.5,1.0,8.44,0.9
/cbb/players/terry-laaker-1.html,Terry Laaker,2.1,.479,1.0,0.9,.739,0.7,77,,1.5,2.7,2.70,1.5
/cbb/players/dan-laakso-1.html,Dan Laakso,4.6,.333,1.5,0.9,.667,0.6,30,,1.3,3.7,-12.96,3.0
/cbb/players/choul-laam-1.html,Choul Laam,0.0,,0.0,0.4,1.000,0.4,5,,0.2,0.4,5.35,0.2
/cbb/players/ed-laase-1.html,Ed Laase,0.7,.000,0.0,0.7,.500,0.3,3,,0.3,0.3,-7.51,
/cbb/players/justin-labagh-1.html,Justin Labagh,0.3,.400,0.1,0.0,,0.0,17,6-5,0.1,0.2,8.15,0.2
/cbb/players/ken-labanowski-1.html,Ken Labanowski,8.3,.555,4.6,3.8,.690,2.6,107,6-8,,11.8,-4.04,7.0
/cbb/players/paul-labanowski-1.html,Paul Labanowski,,,3.3,4.9,.571,2.8,33,,2.1,9.5,,
/cbb/players/_-labanowski-2.html,_ Labanowski,,,0.8,1.7,.548,0.9,25,,0.1,2.4,,
/cbb/players/darryl-labarrie-1.html,Darryl Labarrie,5.5,.431,2.4,1.5,.676,1.0,99,6-3,0.6,6.2,4.81,1.9
/cbb/players/mike-labat-1.html,Mike Labat,4.1,.444,1.8,2.5,.689,1.7,85,,2.0,5.4,3.32,2.4
/cbb/players/jack-labate-1.html,Jack Labate,6.2,.288,1.8,2.3,.628,1.4,19,,1.4,5.0,-0.72,4.4
/cbb/players/jake-labate-1.html,Jake Labate,,,0.9,1.2,.636,0.8,18,6-3,0.9,2.6,,
/cbb/players/_-labelle-1.html,_ LaBelle,,,0.2,,,0.3,10,,,0.7,,
/cbb/players/ron-labetich-1.html,Ron LaBetich,4.4,.388,1.7,2.5,.643,1.6,46,,2.3,5.0,-2.89,1.9
/cbb/players/artur-labinowicz-1.html,Artur Labinowicz,6.4,.388,2.5,2.8,.722,2.0,102,6-4,1.5,8.1,-1.09,3.8
/cbb/players/skal-labissiere-1.html,Skal Labissiere,5.3,.516,2.7,1.7,.661,1.1,36,6-11,3.0,6.6,8.84,3.1
/cbb/players/barney-laboe-1.html,Barney Laboe,0.8,.333,0.3,1.3,.400,0.5,4,,0.0,1.0,-0.12,
/cbb/players/gene-labonia-1.html,Gene Labonia,0.3,.000,0.0,0.7,.800,0.6,7,,0.7,0.6,0.49,0.4
/cbb/players/jael-laborn-1.html,Jael Laborn,0.6,.000,0.0,0.0,,0.0,8,6-5,0.1,0.0,-7.09,0.3
/cbb/players/matt-labove-1.html,Matt LaBove,2.7,.391,1.1,1.1,.637,0.7,107,6-9,1.6,2.8,-3.90,2.6
/cbb/players/etienne-labrecque-1.html,Etienne Labrecque,0.9,.333,0.3,1.6,.636,1.0,7,6-6,1.7,1.6,-7.62,1.0
/cbb/players/aj-labriola-1.html,A.J. Labriola,0.6,.235,0.1,0.1,.750,0.1,27,6-2,0.2,0.4,-5.68,0.3
/cbb/players/jerry-labriola-1.html,Jerry Labriola,11.4,.284,3.2,1.9,.653,1.3,77,5-9,2.3,7.8,-1.81,2.1
/cbb/players/paul-labrue-1.html,Paul LaBrue,2.3,.511,1.2,1.6,.716,1.1,60,6-1,1.2,3.5,3.79,1.7
/cbb/players/denny-labrum-1.html,Denny Labrum,2.5,.320,0.8,1.5,.600,0.9,10,6-4,1.4,2.5,,1.3
/cbb/players/jeff-labuz-1.html,Jeff LaBuz,0.4,.167,0.1,0.7,.500,0.3,15,,0.2,0.5,-4.69,0.6
/cbb/players/edil-lacayo-1.html,Edil Lacayo,4.2,.469,2.0,2.2,.721,1.6,100,6-5,0.8,5.6,-7.40,3.3
/cbb/players/reggie-lacefield-1.html,Reggie Lacefield,15.4,.474,7.3,6.4,.643,4.1,69,6-5,3.4,18.7,0.76,10.9
/cbb/players/everson-lacerda-1.html,Everson Lacerda,1.3,.111,0.1,0.3,.500,0.1,7,6-11,0.4,0.4,-1.19,0.6
/cbb/players/malik-lacewell-1.html,Malik Lacewell,0.3,.000,0.0,0.0,,0.0,3,6-2,0.0,0.0,1.62,0.0
/cbb/players/nate-lacewell-1.html,Nate Lacewell,2.3,.309,0.7,0.8,.708,0.6,29,6-9,0.6,2.3,0.53,2.1
/cbb/players/terry-lacewell-1.html,Terry Lacewell,3.4,.426,1.5,1.5,.554,0.8,49,6-2,2.4,3.8,-6.88,1.5
/cbb/players/adam-lacey-1.html,Adam Lacey,0.2,.333,0.1,0.0,,0.0,16,6-10,0.3,0.1,-0.64,0.3
/cbb/players/dominique-lacey-1.html,Dominique Lacey,5.8,.439,2.5,2.1,.633,1.3,93,6-7,3.2,6.9,-0.71,3.9
/cbb/players/edgar-lacey-1.html,Edgar Lacey,9.8,.490,4.8,4.2,.618,2.6,62,6-6,2.9,12.2,6.26,9.3
/cbb/players/homer-lacey-1.html,Homer Lacey,0.7,.500,0.3,0.0,,0.0,6,,0.0,0.7,-1.35,0.2
