url,name,fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
/cbb/players/abdoulaye-ndiaye-1.html,Abdoulaye N'Diaye,3.0,.565,1.7,1.3,.585,0.8,62,6-11,2.5,4.2,6.93,3.7
/cbb/players/adama-ndiaye-1.html,Adama N'Diaye,6.2,.477,2.9,3.1,.709,2.2,82,6-9,,8.0,-1.02,6.5
/cbb/players/alpha-ndiaye-1.html,Alpha N'Diaye,4.9,.447,2.2,2.8,.528,1.5,19,6-8,2.6,6.0,-4.05,6.6
/cbb/players/aziz-ndiaye-1.html,Aziz N'Diaye,5.3,.550,2.9,3.1,.413,1.3,102,7-0,2.7,7.1,6.75,7.3
/cbb/players/badara-ndiaye-1.html,Badara N'Diaye,3.6,.323,1.1,1.2,.469,0.6,27,6-11,2.0,2.9,0.22,3.1
/cbb/players/calix-ndiaye-1.html,Calix N'Diaye,3.0,.342,1.0,1.4,.794,1.1,49,6-3,1.4,3.5,-0.34,1.3
/cbb/players/cheikh-ndiaye-1.html,Cheikh N'diaye,0.9,.649,0.6,0.5,.526,0.3,80,7-0,1.2,1.5,6.50,1.2
/cbb/players/daouda-ndiaye-2.html,Daouda N'Diaye,1.9,.464,0.9,0.9,.548,0.5,80,7-0,1.8,2.3,1.63,3.3
/cbb/players/hamady-ndiaye-1.html,Hamady N'Diaye,4.0,.539,2.2,2.5,.592,1.5,124,7-0,2.7,5.8,6.36,5.5
/cbb/players/ishmael-ndiaye-1.html,Ishmael N'Diaye,6.3,.421,2.7,3.3,.664,2.2,80,6-6,2.1,8.0,1.73,3.2
/cbb/players/makhtar-ndiaye-1.html,Makhtar N'Diaye,3.5,.461,1.6,1.0,.581,0.6,121,6-8,2.8,3.8,10.85,3.4
/cbb/players/mamadou-ndiaye-1.html,Mamadou N'Diaye,4.9,.506,2.5,2.9,.641,1.9,128,7-0,3.0,6.8,6.11,6.2
/cbb/players/mohammad-ndiaye-1.html,Mohammad N'Diaye,1.6,.482,0.8,0.4,.357,0.1,34,6-8,2.3,1.7,-9.37,3.2
/cbb/players/ndongo-ndiaye-1.html,Ndongo N'Diaye,2.2,.431,0.9,0.9,.506,0.4,89,7-1,1.7,2.3,0.12,2.9
/cbb/players/suleiman-ndiaye-1.html,Suleiman N'Diaye,0.1,.000,0.0,0.0,,0.0,8,,0.1,0.0,8.38,0.3
/cbb/players/abdoulaye-ndoye-1.html,Abdoulaye N'doye,0.3,.500,0.1,0.4,.375,0.1,21,7-0,1.0,0.4,2.16,0.8
/cbb/players/jj-nganga-1.html,J.J. N'Ganga,1.7,.539,0.9,0.8,.543,0.4,59,6-10,1.5,2.3,0.05,1.7
/cbb/players/david-nguessan-1.html,David N'Guessan,2.4,.524,1.3,1.5,.442,0.7,34,6-9,1.6,3.3,4.57,2.6
/cbb/players/lucas-nguessan-1.html,Lucas N'Guessan,2.8,.653,1.8,1.9,.664,1.3,110,7-0,2.4,5.0,4.43,3.3
/cbb/players/joseph-nsima-1.html,Joseph N'Sima,2.2,.400,0.9,1.5,.526,0.8,63,6-8,2.0,2.6,8.01,4.9
/cbb/players/mor-naaman-1.html,Mor Naaman,0.7,.667,0.4,0.6,.800,0.4,9,6-8,0.2,1.3,1.91,1.0
/cbb/players/emmett-naar-1.html,Emmett Naar,7.4,.461,3.4,2.4,.847,2.0,135,6-1,1.2,9.9,1.89,2.6
/cbb/players/mike-nabena-1.html,Mike Nabena,2.3,.435,1.0,1.8,.646,1.2,101,6-8,1.2,3.2,-0.67,2.0
/cbb/players/bob-naber-1.html,Bob Naber,6.8,.338,2.3,3.2,.617,2.0,82,6-1,2.8,6.7,4.26,6.7
/cbb/players/tom-nabity-1.html,Tom Nabity,0.7,.304,0.2,0.3,.875,0.2,32,5-10,0.2,0.8,1.57,0.3
/cbb/players/booker-nabors-1.html,Booker Nabors,7.6,.415,3.1,1.9,.751,1.4,119,6-4,1.3,8.6,1.52,2.3
/cbb/players/gene-nabors-1.html,Gene Nabors,9.5,.408,3.9,2.9,.801,2.3,116,6-2,1.0,11.4,-0.79,4.2
/cbb/players/justin-nabors-1.html,Justin Nabors,9.4,.519,4.9,4.3,.693,3.0,60,6-6,2.4,13.0,-4.16,8.1
/cbb/players/montreal-nabors-1.html,Montreal Nabors,0.5,.200,0.1,0.0,,0.0,11,6-2,0.3,0.2,-11.55,0.6
/cbb/players/joel-naburgs-1.html,Joel Naburgs,6.6,.379,2.5,2.1,.765,1.6,118,6-4,1.5,8.2,-2.53,3.8
/cbb/players/joey-naccarato-1.html,Joey Naccarato,1.2,.333,0.4,1.5,.737,1.1,13,6-4,0.6,1.9,-5.78,0.8
/cbb/players/hank-nacey-1.html,Hank Nacey,0.4,.333,0.1,0.3,.000,0.0,7,6-5,0.3,0.3,10.14,0.6
/cbb/players/boris-nachamkin-1.html,Boris Nachamkin,16.8,.385,6.5,6.5,.628,4.1,64,6-6,2.6,17.0,2.55,13.2
/cbb/players/del-nachazel-1.html,Del Nachazel,1.9,.323,0.6,1.2,.643,0.8,34,6-1,1.1,1.9,3.16,1.2
/cbb/players/grega-nachbar-1.html,Grega Nachbar,0.0,,0.0,0.0,,0.0,4,6-3,0.0,0.0,3.80,0.3
/cbb/players/michael-nachreiner-1.html,Michael Nachreiner,0.6,.571,0.3,0.1,.500,0.0,24,6-11,1.0,0.7,-4.09,0.7
/cbb/players/john-nacincik-1.html,John Nacincik,7.9,.424,3.3,4.0,.711,2.9,77,6-3,2.1,9.5,1.30,5.4
/cbb/players/bob-nack-1.html,Bob Nack,10.4,.485,5.1,3.7,.708,2.6,74,6-1,2.3,12.8,-8.62,2.6
/cbb/players/leo-nadal-1.html,Leo Nadal,3.7,.470,1.7,1.5,.650,1.0,27,6-5,2.0,4.8,-9.09,2.4
/cbb/players/manuel-nadal-1.html,Manuel Nadal,1.0,.714,0.7,0.9,.833,0.7,7,,0.0,2.3,-1.42,1.6
/cbb/players/ken-nadaskay-1.html,Ken Nadaskay,3.4,.487,1.7,2.3,.691,1.6,65,6-7,2.4,4.9,4.57,3.4
/cbb/players/charlie-naddaff-1.html,Charlie Naddaff,6.6,.532,3.5,2.0,.689,1.4,77,6-10,2.8,8.3,-7.00,4.5
/cbb/players/ronnie-nadell-1.html,Ronnie Nadell,2.3,.386,0.9,1.1,.650,0.7,19,,,2.5,2.41,
/cbb/players/abdel-nader-1.html,Abdel Nader,9.5,.391,3.7,2.5,.731,1.8,117,6-6,2.5,10.3,3.83,4.3
/cbb/players/mike-naderer-1.html,Mike Naderer,5.1,.476,2.4,1.2,.820,1.0,113,6-0,1.9,5.8,5.26,1.1
/cbb/players/ferd-nadherny-1.html,Ferd Nadherny,5.8,.457,2.7,2.5,.539,1.4,81,6-0,2.0,6.7,-0.62,
/cbb/players/clarence-nadolny-1.html,Clarence Nadolny,1.3,.405,0.5,1.4,.628,0.9,57,6-3,1.2,2.0,3.95,1.0
/cbb/players/tyriq-nady-1.html,Tyriq Nady,0.6,.000,0.0,0.0,,0.0,8,5-10,0.5,0.0,-1.83,0.5
/cbb/players/fred-naedele-1.html,Fred Naedele,5.1,.297,1.5,2.0,.590,1.2,41,6-3,1.4,4.2,,3.6
/cbb/players/rich-naes-1.html,Rich Naes,10.6,.379,4.0,3.4,.605,2.1,79,6-5,2.7,10.1,7.57,7.0
/cbb/players/nolan-naess-1.html,Nolan Naess,2.8,.320,0.9,0.4,.750,0.3,9,6-8,0.3,2.4,-4.85,1.6
/cbb/players/andrew-naeve-1.html,Andrew Naeve,4.4,.477,2.1,2.1,.703,1.5,109,6-9,2.4,5.7,-5.43,5.3
/cbb/players/jaren-nafarrete-1.html,Jaren Nafarrete,1.3,.750,1.0,0.0,,0.0,3,5-7,0.3,2.3,-5.20,1.0
/cbb/players/jw-naftel-1.html,J.W. Naftel,2.0,.418,0.9,1.2,.515,0.6,27,6-4,1.2,2.4,-5.36,1.0
/cbb/players/jim-naftel-1.html,Jim Naftel,1.1,.348,0.4,0.5,.273,0.1,21,6-2,0.5,0.9,-1.25,0.4
/cbb/players/mike-nafziger-1.html,Mike Nafziger,2.8,.310,0.9,0.8,.375,0.3,21,,,2.3,-11.27,1.1
/cbb/players/dick-nagai-1.html,Dick Nagai,1.7,.577,1.0,1.1,1.014,1.1,62,6-0,0.8,3.1,5.81,0.9
/cbb/players/andy-nagel-1.html,Andy Nagel,1.1,.468,0.5,0.5,.522,0.3,43,6-9,1.4,1.3,-4.63,1.3
/cbb/players/clint-nagel-1.html,Clint Nagel,2.8,.412,1.1,1.4,.592,0.8,110,6-7,2.8,3.2,-7.32,4.0
/cbb/players/gerry-nagel-1.html,Gerry Nagel,2.6,.783,2.0,1.8,.532,0.9,62,6-1,2.2,5.0,,
/cbb/players/malik-nagel-1.html,Malik Nagel,1.0,.364,0.4,2.1,.391,0.8,11,6-6,1.0,1.5,-3.56,2.2
/cbb/players/jim-nageleisen-1.html,Jim Nageleisen,1.4,.311,0.4,0.7,.478,0.3,32,6-2,0.6,1.2,4.74,0.8
/cbb/players/barry-nagle-1.html,Barry Nagle,5.6,.438,2.4,1.3,.714,0.9,16,5-10,1.0,5.8,,1.2
/cbb/players/brian-nagle-1.html,Brian Nagle,1.3,.511,0.6,0.4,.571,0.2,37,6-11,0.5,1.5,-3.17,1.2
/cbb/players/chuck-nagle-1.html,Chuck Nagle,13.8,.442,6.1,3.5,.752,2.6,72,6-5,2.5,14.8,6.09,5.6
/cbb/players/cort-nagle-1.html,Cort Nagle,3.7,.404,1.5,1.7,.761,1.3,63,6-8,0.1,4.3,3.33,3.9
/cbb/players/darin-nagle-1.html,Darin Nagle,7.9,.393,3.1,2.4,.588,1.4,49,6-10,2.8,8.6,0.20,4.8
/cbb/players/fred-nagle-1.html,Fred Nagle,1.0,.500,0.5,0.0,,0.0,2,6-3,0.5,1.0,-2.62,0.5
/cbb/players/jay-nagle-1.html,Jay Nagle,1.0,.667,0.7,0.8,.200,0.2,6,6-3,,1.5,-1.56,2.0
/cbb/players/jay-nagle-2.html,Jay Nagle,1.9,.405,0.8,0.4,.727,0.3,90,6-8,0.4,2.4,-4.44,1.4
/cbb/players/ken-nagle-1.html,Ken Nagle,1.5,.267,0.4,1.0,.700,0.7,10,,0.6,1.5,-5.78,1.4
/cbb/players/zach-nagtzaam-1.html,Zach Nagtzaam,0.2,.500,0.1,0.0,,0.0,10,6-11,0.2,0.2,-1.40,0.2
/cbb/players/dick-nagy-1.html,Dick Nagy,9.2,.489,4.5,3.2,.704,2.3,77,6-5,3.0,11.3,-6.38,6.1
/cbb/players/tj-nagy-1.html,TJ Nagy,0.3,.400,0.1,0.3,.333,0.1,18,6-1,0.2,0.4,-5.11,0.2
/cbb/players/tomas-nagys-1.html,Tomas Nagys,2.8,.448,1.3,2.5,.691,1.7,103,6-10,2.4,4.3,6.55,3.7
/cbb/players/mike-nahar-1.html,Mike Nahar,6.4,.603,3.9,3.6,.808,2.9,102,7-0,1.1,10.6,-5.34,4.9
/cbb/players/nate-nahimy-1.html,Nate Nahimy,4.7,.340,1.6,0.8,.640,0.5,30,6-2,1.3,4.2,-8.13,1.4
/cbb/players/brad-nahra-1.html,Brad Nahra,1.4,.316,0.4,0.7,.627,0.5,69,6-4,0.6,1.5,8.20,0.8
/cbb/players/charles-naihe-1.html,Charles Naihe,5.3,.375,2.0,0.7,.500,0.3,6,,,5.7,-6.40,3.0
/cbb/players/charlie-naihe-1.html,Charlie Naihe,3.2,.388,1.2,0.3,.667,0.2,21,6-7,0.9,3.4,4.59,1.8
/cbb/players/jordan-naihe-1.html,Jordan Naihe,0.7,.167,0.1,0.1,1.000,0.1,18,6-5,0.7,0.4,-7.34,0.4
/cbb/players/lee-nailon-1.html,Lee Nailon,17.7,.532,9.4,6.7,.728,4.9,63,6-9,3.5,23.9,3.72,9.1
/cbb/players/jahlil-nails-1.html,Jahlil Nails,5.2,.393,2.0,1.7,.783,1.3,27,6-5,1.3,6.7,-9.24,2.0
/cbb/players/ralph-naimoli-1.html,Ralph Naimoli,10.0,.309,3.1,3.6,.723,2.6,39,5-10,2.5,8.8,2.10,3.5
/cbb/players/chandler-nairn-1.html,Chandler Nairn,6.7,.391,2.6,1.4,.783,1.1,51,6-8,2.2,7.2,7.58,2.6
/cbb/players/lourawls-tum-tum-nairn-1.html,Lourawls Nairn,2.5,.395,1.0,0.7,.500,0.4,137,5-10,1.6,2.5,8.63,1.5
/cbb/players/jim-nairus-1.html,Jim Nairus,8.2,.510,4.2,3.0,.797,2.4,104,6-10,2.6,11.9,-4.66,5.4
/cbb/players/zane-najdawi-1.html,Zane Najdawi,9.3,.485,4.5,4.1,.767,3.1,126,6-7,2.9,13.0,-2.65,5.8
/cbb/players/khufu-najee-1.html,Khufu Najee,7.8,.437,3.4,2.0,.809,1.6,54,6-4,1.9,8.9,-1.64,2.9
/cbb/players/eduardo-najera-1.html,Eduardo Najera,11.3,.430,4.9,4.0,.669,2.7,126,6-8,2.9,13.1,5.16,7.2
/cbb/players/stan-najeway-1.html,Stan Najeway,,,4.6,6.2,.721,4.5,84,6-3,4.3,13.8,-3.99,
/cbb/players/nick-nakic-1.html,Nick Nakic,2.6,.435,1.1,1.3,.625,0.8,18,6-8,1.4,3.1,4.23,2.2
/cbb/players/erik-nakken-1.html,Erik Nakken,1.9,.359,0.7,0.2,.588,0.1,106,6-3,0.7,2.2,-4.80,0.7
/cbb/players/robert-nakken-1.html,Robert Nakken,4.4,.492,2.1,2.8,.519,1.5,28,6-7,2.7,5.8,-0.42,4.1
/cbb/players/ben-nakwaasah-1.html,Ben Nakwaasah,5.7,.385,2.2,1.6,.736,1.2,69,6-2,1.7,6.7,-2.03,2.5
/cbb/players/maxx-nakwaasah-1.html,Maxx Nakwaasah,7.2,.383,2.8,2.6,.724,1.9,86,6-3,,8.2,-3.16,4.3
/cbb/players/charles-nalavanko-1.html,Charles Nalavanko,0.0,,0.0,0.0,,0.0,1,,,0.0,4.33,0.0
/cbb/players/george-naldjieff-1.html,George Naldjieff,1.0,.400,0.4,0.0,,0.0,5,6-6,0.6,0.8,-1.58,1.4
/cbb/players/kirk-naler-1.html,Kirk Naler,2.3,.407,1.0,0.4,.757,0.3,83,6-7,1.0,2.2,7.27,1.4
/cbb/players/john-naley-1.html,John Naley,5.5,.317,1.7,1.8,.630,1.1,41,6-3,1.5,4.6,-3.97,5.1
/cbb/players/rod-nall-1.html,Rod Nall,1.3,.538,0.7,0.6,.417,0.3,20,,0.9,1.7,3.65,1.5
/cbb/players/doug-nalley-1.html,Doug Nalley,1.9,.353,0.7,1.0,.889,0.9,9,6-4,0.7,2.2,-1.79,1.2
/cbb/players/mike-nalls-1.html,Mike Nalls,6.8,.481,3.2,2.4,.620,1.5,113,6-6,1.6,8.0,-6.77,5.5
/cbb/players/sentwali-nalls-1.html,Sentwali Nalls,1.0,.333,0.3,0.2,.000,0.0,6,6-1,0.3,1.0,-0.72,0.0
/cbb/players/kevin-nally-1.html,Kevin Nally,0.1,1.000,0.1,0.0,,0.0,8,,0.3,0.3,1.18,0.1
/cbb/players/jack-nalty-1.html,Jack Nalty,6.8,.372,2.5,2.1,.689,1.5,42,,2.5,6.5,0.76,
/cbb/players/len-nalty-1.html,Len Nalty,4.7,.400,1.9,1.0,.690,0.7,29,6-0,1.7,4.4,-0.96,2.1
/cbb/players/john-namciu-1.html,John Namciu,12.0,.439,5.3,6.2,.756,4.7,66,6-2,2.8,15.2,-7.08,6.3
/cbb/players/neema-namdar-1.html,Neema Namdar,1.0,.250,0.3,1.0,.500,0.5,4,6-1,0.3,1.3,-5.39,0.3
/cbb/players/clint-names-1.html,Clint Names,8.3,.459,3.8,3.0,.814,2.4,67,,1.9,10.1,4.93,3.6
/cbb/players/joe-nameth-1.html,Joe Nameth,1.0,.000,0.0,1.0,.000,0.0,1,,0.0,0.0,3.20,0.0
/cbb/players/mike-namian-1.html,Mike Namian,1.1,.333,0.4,0.2,.250,0.1,19,5-9,0.6,0.8,-5.73,0.3
/cbb/players/steve-namiotka-1.html,Steve Namiotka,1.1,.233,0.3,0.9,.640,0.6,27,,0.6,1.1,-1.78,0.6
/cbb/players/justin-namolik-1.html,Justin Namolik,7.9,.446,3.5,3.2,.640,2.1,104,6-6,2.0,10.1,-6.16,3.8
/cbb/players/jack-namvou-1.html,Jack Namvou,1.0,.453,0.5,0.5,.783,0.4,51,6-6,0.6,1.4,-6.24,1.0
/cbb/players/harding-nana-1.html,Harding Nana,12.9,.458,5.9,5.5,.680,3.7,80,6-8,2.7,16.9,-0.24,9.9
/cbb/players/alain-nana-sinkam-1.html,Alain Nana-Sinkam,1.0,.500,0.5,0.3,1.000,0.3,6,6-3,0.5,1.3,-8.00,0.5
/cbb/players/charles-nance-1.html,Charles Nance,8.0,.439,3.5,1.8,.724,1.3,100,6-6,2.4,8.3,2.87,6.2
/cbb/players/chris-nance-1.html,Chris Nance,3.8,.427,1.6,1.5,.655,1.0,60,6-8,2.6,4.2,2.97,4.1
/cbb/players/greg-nance-1.html,Greg Nance,7.4,.488,3.6,2.4,.633,1.5,105,6-8,3.0,8.8,0.47,5.7
/cbb/players/jamaine-nance-1.html,Jamaine Nance,1.2,.391,0.5,0.9,.833,0.8,19,6-1,0.9,1.9,-3.50,0.6
/cbb/players/james-nance-1.html,James Nance,7.5,.425,3.2,1.6,.691,1.1,118,6-2,0.2,7.9,0.52,1.8
/cbb/players/larry-nance-1.html,Larry Nance,8.9,.533,4.7,3.2,.628,2.0,117,6-10,2.7,11.5,5.19,6.7
/cbb/players/larry-nance-2.html,Larry Nance,8.0,.521,4.1,3.5,.771,2.7,123,6-8,2.3,11.3,2.08,6.6
/cbb/players/lynn-nance-2.html,Lynn Nance,12.6,.435,5.5,3.2,.708,2.2,51,6-6,2.5,13.2,5.53,7.1
/cbb/players/mike-nance-1.html,Mike Nance,6.5,.403,2.6,0.8,.667,0.5,38,6-2,0.6,7.1,-10.94,2.3
/cbb/players/pete-nance-1.html,Pete Nance,7.6,.449,3.4,1.3,.727,0.9,87,6-10,2.2,8.6,6.97,5.3
/cbb/players/stan-nance-1.html,Stan Nance,1.8,.407,0.8,0.7,.447,0.3,64,6-5,0.8,1.8,0.24,0.9
/cbb/players/tavaris-nance-1.html,Tavaris Nance,5.1,.514,2.6,2.7,.579,1.5,50,6-6,2.4,6.8,-5.75,3.2
/cbb/players/troy-nance-1.html,Troy Nance,3.6,.328,1.2,1.2,.730,0.9,113,5-9,1.5,4.1,-0.67,1.8
/cbb/players/willis-nance-1.html,Willis Nance,2.5,.300,0.8,0.5,1.000,0.5,4,6-2,1.0,2.0,4.22,0.3
/cbb/players/willis-nance-2.html,Willis Nance,4.5,.381,1.7,1.5,.619,0.9,14,6-2,1.5,4.4,3.56,1.1
/cbb/players/_-nance-3.html,_ Nance,,,,,,,,,,,-6.50,
/cbb/players/michael-nanez-1.html,Michael Nanez,0.0,.000,0.0,0.1,.000,0.0,30,5-10,,0.0,-0.63,0.3
/cbb/players/dave-nangle-1.html,Dave Nangle,3.3,.331,1.1,1.5,.560,0.9,49,6-6,1.5,3.0,-1.81,2.8
/cbb/players/david-nangle-1.html,David Nangle,4.9,.299,1.5,2.5,.680,1.7,20,6-6,2.2,4.6,-2.12,5.2
