url,name,fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
/cbb/players/jim-obanion-1.html,Jim O'Banion,7.5,.388,2.9,1.3,.500,0.7,30,,1.4,6.5,,
/cbb/players/kenny-obanner-1.html,Kenny O'Banner,13.5,.458,6.2,2.5,.642,1.6,77,6-2,1.0,14.0,-7.99,3.6
/cbb/players/samuel-obanner-1.html,Samuel O'Banner,0.5,1.000,0.5,1.0,1.000,1.0,2,6-3,0.5,2.0,-8.26,0.5
/cbb/players/_-obanner-2.html,_ O'Banner,2.2,.364,0.8,0.2,.000,0.0,5,,0.4,1.6,-7.20,1.8
/cbb/players/charles-obannon-1.html,Charles O'Bannon,10.3,.538,5.5,3.7,.751,2.8,124,6-5,2.4,14.4,8.60,6.4
/cbb/players/charles-obannonjr-1.html,Chuck O'Bannon,4.6,.399,1.8,1.3,.764,1.0,54,6-6,1.3,5.5,4.63,2.8
/cbb/players/ed-obannon-1.html,Ed O'Bannon,11.3,.513,5.8,4.3,.739,3.1,117,6-8,2.1,15.5,8.91,7.0
/cbb/players/jimmy-obannon-1.html,Jimmy O'Bannon,2.6,.697,1.8,1.4,1.404,2.0,63,6-1,1.3,5.6,0.36,2.1
/cbb/players/larry-obannon-1.html,Larry O'Bannon,6.4,.422,2.7,2.5,.825,2.1,130,6-4,1.9,8.8,6.84,2.4
/cbb/players/bob-obillovich-1.html,Bob O'Billovich,10.0,.371,3.7,2.8,.737,2.1,42,5-9,2.3,9.5,-0.84,1.7
/cbb/players/jim-obook-1.html,Jim O'Book,0.6,.077,0.0,0.2,.750,0.1,22,,,0.2,-5.02,0.4
/cbb/players/john-oboyle-1.html,John O'Boyle,9.4,.309,2.9,1.7,.571,1.0,62,,2.0,6.8,5.08,4.4
/cbb/players/leo-oboyle-1.html,Leo O'Boyle,6.7,.366,2.4,1.9,.826,1.6,57,6-7,1.9,8.0,-4.59,2.4
/cbb/players/matt-oboyle-1.html,Matt O'Boyle,2.3,.363,0.8,0.6,.469,0.3,53,6-5,1.1,2.5,-1.35,1.7
/cbb/players/_-oboyle-2.html,_ O'Boyle,0.4,.333,0.1,0.6,.600,0.4,8,,0.9,0.6,0.82,0.4
/cbb/players/john-obrian-1.html,John O'Brian,3.6,.561,2.0,1.0,.522,0.5,23,6-1,0.8,4.5,1.71,3.3
/cbb/players/charles-obriant-1.html,Charles O'Briant,1.5,.667,1.0,0.8,.333,0.3,4,6-8,1.0,2.5,0.98,1.5
/cbb/players/al-obrien-1.html,Al O'Brien,7.5,.342,2.6,4.3,.747,3.2,21,6-4,2.0,8.4,-0.80,7.0
/cbb/players/bill-obrien-1.html,Bill O'Brien,1.8,.412,0.8,0.5,.357,0.2,28,,0.6,1.7,-9.29,0.9
/cbb/players/bill-obrien-3.html,Bill O'Brien,1.6,.412,0.7,0.7,.643,0.4,21,,0.8,1.8,-3.11,0.6
/cbb/players/bill-obrien-4.html,Bill O'Brien,1.9,.319,0.6,1.1,.410,0.4,37,6-8,1.1,1.6,-2.18,2.6
