url,name,fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
/cbb/players/zaheem-qasim-1.html,Zaheem Qasim,0.5,.000,0.0,0.3,1.000,0.3,6,5-11,0.5,0.3,-2.97,0.0
/cbb/players/samad-qawi-1.html,Samad Qawi,0.1,.000,0.0,0.0,,0.0,7,6-6,0.3,0.0,10.95,0.1
/cbb/players/jeff-quackenbush-1.html,Jeff Quackenbush,6.7,.411,2.7,2.5,.753,1.9,113,6-8,2.8,7.8,3.84,5.0
/cbb/players/rasheed-quadri-1.html,Rasheed Quadri,4.3,.385,1.7,0.9,.554,0.5,100,6-3,1.7,4.4,3.37,2.6
/cbb/players/arnie-quaerna-1.html,Arnie Quaerna,0.9,.167,0.1,0.4,.667,0.3,7,5-10,0.3,0.6,7.16,0.1
/cbb/players/haminn-quaintance-1.html,Haminn Quaintance,8.1,.545,4.4,4.0,.614,2.5,119,6-8,2.6,11.4,-3.61,7.6
/cbb/players/robert-quaintance-1.html,Robert Quaintance,5.4,.423,2.3,1.0,.781,0.8,31,6-4,2.3,7.0,,2.7
/cbb/players/donald-qualls-1.html,Donald Qualls,9.3,.368,3.4,2.6,.794,2.0,102,5-7,1.6,10.8,-11.43,2.0
/cbb/players/doug-qualls-1.html,Doug Qualls,1.9,.479,0.9,1.2,.546,0.7,88,6-7,0.3,2.5,-8.78,2.2
/cbb/players/jeremy-qualls-1.html,Jeremy Qualls,0.4,.273,0.1,0.1,.500,0.1,27,6-2,0.2,0.4,-5.15,0.2
/cbb/players/lewis-qualls-1.html,Lewis Qualls,3.9,.408,1.6,1.1,.563,0.6,45,,1.8,3.8,0.07,3.9
/cbb/players/michael-qualls-1.html,Michael Qualls,8.5,.428,3.6,3.7,.723,2.7,100,6-6,1.4,11.0,5.78,4.5
/cbb/players/_-qualm-1.html,_ Qualm,0.0,,0.0,0.0,,0.0,1,6-0,0.0,0.0,-3.09,0.0
/cbb/players/erik-qualman-1.html,Erik Qualman,0.2,.750,0.2,0.2,.500,0.1,17,6-6,0.1,0.5,9.31,0.2
/cbb/players/_-qualter-2.html,_ Qualter,14.2,.465,6.6,5.4,.730,3.9,42,,2.8,17.2,-5.44,5.2
/cbb/players/_-quamme-1.html,_ Quamme,,,5.2,,,2.7,20,,,13.1,,
/cbb/players/brad-quanstrom-1.html,Brad Quanstrom,4.3,.398,1.7,1.2,.827,1.0,62,6-1,0.7,4.5,2.21,0.8
/cbb/players/larry-quant-1.html,Larry Quant,3.3,.441,1.4,1.7,.674,1.1,54,6-5,1.2,4.0,-5.73,3.6
/cbb/players/andre-quarles-1.html,Andre Quarles,7.5,.378,2.8,2.2,.690,1.5,97,5-11,,8.0,-4.21,2.0
/cbb/players/daryus-quarles-1.html,Daryus Quarles,4.1,.345,1.4,0.7,.609,0.5,117,6-6,1.2,3.7,4.21,1.9
/cbb/players/david-quarles-1.html,David Quarles,0.5,.000,0.0,0.3,.000,0.0,6,,0.3,0.0,5.69,0.2
/cbb/players/domnique-quarles-1.html,Domnique Quarles,2.3,.556,1.3,0.0,,0.0,4,6-0,0.5,2.8,-5.13,0.8
/cbb/players/sheldon-quarles-1.html,Sheldon Quarles,2.9,.391,1.2,0.9,.561,0.5,106,6-10,,2.8,5.73,2.9
/cbb/players/tracey-quarles-1.html,Tracey Quarles,0.8,.500,0.4,0.3,.500,0.1,8,6-4,0.3,0.9,-5.19,0.6
