url,name,fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
/cbb/players/jonathan-raab-1.html,Jonathan Raab,9.2,.596,5.5,3.7,.653,2.4,86,6-7,,13.4,-7.03,7.8
/cbb/players/brian-raabe-1.html,Brian Raabe,2.5,.498,1.2,1.3,.504,0.7,106,6-8,,3.1,-6.78,3.1
/cbb/players/daniel-raabe-1.html,Daniel Raabe,1.5,.346,0.5,0.7,.500,0.4,17,,,1.4,-7.71,0.6
/cbb/players/jonathan-raabe-1.html,Jonathan Raabe,1.5,.763,1.2,0.8,.550,0.4,25,6-7,,2.8,-7.33,2.0
/cbb/players/clayt-raaka-1.html,Clayt Raaka,6.9,.409,2.8,2.2,.683,1.5,73,6-5,2.7,7.2,5.01,8.2
/cbb/players/mike-rabago-1.html,Mike Rabago,2.3,.431,1.0,0.7,.684,0.5,28,,0.5,1.8,0.60,0.7
/cbb/players/dante-rabb-1.html,Dante Rabb,5.6,.411,2.3,1.2,.887,1.0,53,,,6.7,-3.62,1.3
/cbb/players/ivan-rabb-1.html,Ivan Rabb,8.8,.544,4.8,5.2,.666,3.5,65,6-11,3.1,13.2,7.10,9.4
/cbb/players/john-rabb-1.html,John Rabb,0.9,.525,0.4,0.6,.519,0.3,47,6-11,1.3,1.2,-0.43,1.4
/cbb/players/kevin-rabbitt-1.html,Kevin Rabbitt,1.6,.353,0.6,0.9,.648,0.6,81,6-1,1.2,2.1,1.50,1.1
/cbb/players/kevin-rabbitt-2.html,Kevin Rabbitt,0.1,.000,0.0,0.0,,0.0,11,6-1,0.0,0.0,-6.61,0.0
/cbb/players/brien-rabenhorst-1.html,Brien Rabenhorst,1.4,.523,0.8,0.6,.615,0.4,103,6-9,,1.9,-2.94,2.0
/cbb/players/scott-rabenold-1.html,Scott Rabenold,0.5,.421,0.2,0.6,.783,0.5,36,6-0,0.1,1.1,7.88,0.3
/cbb/players/ernie-raber-1.html,Ernie Raber,1.9,.425,0.8,0.7,.593,0.4,39,6-2,0.3,2.0,2.36,
/cbb/players/hank-raber-1.html,Hank Raber,7.4,.374,2.8,1.9,.704,1.3,96,6-3,,8.3,-8.42,3.3
/cbb/players/jeffrey-rabey-1.html,Jeffrey Rabey,3.7,.475,1.8,1.4,.646,0.9,58,6-11,2.4,4.4,2.81,5.0
/cbb/players/walt-rabhan-1.html,Walt Rabhan,4.9,.386,1.9,1.3,.605,0.8,60,6-3,1.6,4.6,-0.84,4.0
/cbb/players/ron-rabin-1.html,Ron Rabin,1.0,1.000,1.0,0.0,,0.0,1,,0.0,2.0,-2.82,0.0
/cbb/players/michael-rabinovich-1.html,Michael Rabinovich,2.1,.360,0.8,0.2,.500,0.1,12,6-10,1.2,1.6,-2.78,1.9
/cbb/players/mervin-rabinowitz-1.html,Mervin Rabinowitz,2.7,.278,0.8,2.0,.600,1.2,20,,1.4,2.7,-8.59,1.9
/cbb/players/zach-rabinowitz-1.html,Zach Rabinowitz,1.0,1.000,1.0,1.0,.500,0.5,2,6-2,0.5,3.5,-0.84,0.0
/cbb/players/jack-raboin-1.html,Jack Raboin,0.4,1.000,0.4,0.4,.500,0.2,5,6-6,0.0,1.2,2.65,0.4
/cbb/players/sean-raboin-1.html,Sean Raboin,1.6,.350,0.6,0.5,.811,0.4,72,6-6,0.9,1.7,-2.30,1.3
/cbb/players/tommy-raborn-1.html,Tommy Raborn,4.1,.432,1.8,2.6,.589,1.5,43,6-1,2.3,5.1,-1.15,2.9
/cbb/players/randall-raburn-1.html,Randall Raburn,4.2,.308,1.3,1.1,.588,0.6,31,6-4,1.8,3.2,3.11,3.4
/cbb/players/mike-raby-1.html,Mike Raby,0.6,.250,0.1,0.0,,0.0,7,,0.0,0.3,-2.21,0.7
/cbb/players/joey-racer-1.html,Joey Racer,0.7,.308,0.2,0.2,.333,0.1,19,6-1,0.2,0.5,6.24,0.3
/cbb/players/brandon-rachal-1.html,Brandon Rachal,8.1,.454,3.7,3.3,.732,2.4,80,6-6,2.4,10.4,5.68,5.4
/cbb/players/karl-racine-1.html,Karl Racine,8.4,.434,3.7,3.5,.749,2.6,98,6-1,2.4,10.0,-3.89,2.0
/cbb/players/pier-olivier-racine-1.html,Pier-Olivier Racine,3.7,.570,2.1,0.8,.692,0.6,31,6-8,1.6,4.9,-2.83,3.0
/cbb/players/tony-racka-1.html,Tony Racka,4.0,.188,0.8,1.0,.500,0.5,4,6-3,,2.5,-4.35,0.5
