url,name,fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
/cbb/players/jafar-taalib-1.html,Jafar Taalib,5.4,.516,2.8,1.8,.620,1.1,94,6-8,1.6,6.7,-10.01,4.0
/cbb/players/ken-tabaka-1.html,Ken Tabaka,4.4,.443,1.9,1.1,.720,0.8,44,6-5,1.7,4.7,-2.20,3.7
/cbb/players/emmanuel-taban-1.html,Emmanuel Taban,0.7,.000,0.0,0.0,,0.0,7,6-7,0.7,0.0,-1.38,0.1
/cbb/players/ed-tabash-1.html,Ed Tabash,3.6,.375,1.3,1.1,.623,0.7,72,6-0,1.6,3.3,5.33,1.1
/cbb/players/brandon-tabb-1.html,Brandon Tabb,14.9,.388,5.8,4.0,.875,3.5,62,6-5,3.0,18.4,-11.83,4.6
/cbb/players/colin-tabb-1.html,Colin Tabb,6.0,.397,2.4,2.6,.778,2.0,21,6-3,1.0,7.7,-7.36,3.1
/cbb/players/demarquelle-tabb-1.html,Demarquelle Tabb,8.2,.484,4.0,4.5,.583,2.6,112,6-5,3.0,10.5,-10.73,7.3
/cbb/players/josh-tabb-1.html,Josh Tabb,2.3,.500,1.2,0.4,.419,0.2,96,6-4,1.5,2.8,8.23,2.1
/cbb/players/ladarius-tabb-1.html,Ladarius Tabb,15.4,.445,6.9,5.0,.623,3.1,57,6-5,2.7,18.4,-10.18,7.3
/cbb/players/melvin-tabb-1.html,Melvin Tabb,2.4,.448,1.1,1.7,.596,1.0,69,6-9,1.9,3.1,0.91,2.5
/cbb/players/michael-tabb-1.html,Michael Tabb,1.0,.320,0.3,0.5,.615,0.3,24,6-9,0.6,1.0,8.10,1.0
/cbb/players/sean-tabb-1.html,Sean Tabb,3.6,.332,1.2,0.6,.844,0.5,53,6-3,,3.8,-5.07,1.5
/cbb/players/wynston-tabbs-1.html,Wynston Tabbs,10.9,.425,4.6,3.4,.813,2.7,27,6-2,2.2,13.7,8.37,3.4
/cbb/players/kyle-taber-1.html,Kyle Taber,2.1,.546,1.1,0.5,.688,0.4,62,6-7,1.3,2.7,7.69,3.5
/cbb/players/aaron-tabet-1.html,Aaron Tabet,4.4,.241,1.1,2.6,.673,1.7,19,5-9,0.9,3.8,4.21,0.5
/cbb/players/charles-tabet-1.html,Charles Tabet,1.4,.435,0.6,0.9,.559,0.5,66,6-9,1.5,1.7,-3.92,2.3
/cbb/players/philip-tabet-1.html,Philip Tabet,1.1,.491,0.5,0.7,.609,0.4,104,6-9,1.2,1.4,-3.24,2.0
/cbb/players/sam-tabet-1.html,Sam Tabet,5.1,.405,2.1,3.0,.515,1.5,34,5-10,1.8,5.6,0.69,0.9
/cbb/players/dennis-tabisz-1.html,Dennis Tabisz,2.8,.466,1.3,0.7,.545,0.4,101,6-9,2.2,3.0,-0.35,2.3
/cbb/players/troy-tabler-1.html,Troy Tabler,6.1,.384,2.3,1.7,.859,1.5,113,6-3,1.6,7.6,0.58,2.1
/cbb/players/clyde-tables-1.html,Clyde Tables,3.2,.425,1.4,0.8,.615,0.5,33,6-5,1.7,3.2,9.94,3.0
