url,name,fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
/cbb/players/erik-vaaler-1.html,Erik Vaaler,1.8,.524,0.9,0.9,.182,0.2,12,,0.9,2.0,5.50,2.2
/cbb/players/charlie-vacca-1.html,Charlie Vacca,1.3,.457,0.6,1.5,.714,1.1,28,6-3,1.0,2.2,2.08,1.8
/cbb/players/steve-vacendak-2.html,Steve Vacendak,10.4,.431,4.5,3.4,.682,2.3,84,6-1,,11.3,4.53,4.3
/cbb/players/charles-vachris-1.html,Charles Vachris,0.9,.188,0.2,0.6,.909,0.6,18,6-4,0.4,0.9,-6.12,0.5
/cbb/players/larry-vaculik-1.html,Larry Vaculik,8.7,.490,4.3,2.4,.719,1.7,106,6-8,2.8,10.3,5.10,6.7
/cbb/players/jerome-vaden-1.html,Jerome Vaden,7.5,.371,2.8,1.4,.785,1.1,57,6-0,1.3,8.1,8.65,1.4
/cbb/players/robert-vaden-1.html,Robert Vaden,13.2,.405,5.3,2.7,.808,2.2,127,6-5,2.3,15.8,5.78,4.6
/cbb/players/joe-vader-1.html,Joe Vader,1.3,.500,0.7,0.0,,0.0,3,,1.0,1.3,3.72,1.0
/cbb/players/byron-vadset-1.html,Byron Vadset,11.2,.365,4.1,4.0,.825,3.3,77,,2.0,11.5,3.29,2.5
/cbb/players/tony-vaglienti-1.html,Tony Vaglienti,2.0,.500,1.0,0.0,,0.0,2,6-6,1.0,2.0,-6.61,0.0
/cbb/players/jeremy-vague-1.html,Jeremy Vague,4.3,.552,2.4,1.7,.576,1.0,69,6-10,2.3,5.8,-0.44,3.8
/cbb/players/_-vahidiek-1.html,_ Vahidiek,,,1.1,1.3,.621,0.8,23,,1.4,3.0,,
/cbb/players/paul-vahldiek-1.html,Paul Vahldiek,,,0.8,1.1,.609,0.7,21,6-1,1.6,2.2,,
/cbb/players/robert-vaihola-1.html,Robert Vaihola,1.5,.833,1.3,0.5,.500,0.3,4,6-8,0.3,2.8,0.39,2.3
/cbb/players/britt-vail-1.html,Britt Vail,3.8,.382,1.4,1.9,.454,0.8,64,6-6,1.3,3.7,0.49,2.8
/cbb/players/dennis-vail-1.html,Dennis Vail,5.8,.507,3.0,1.4,.550,0.8,80,6-10,2.8,6.7,-2.05,4.4
/cbb/players/jack-vail-2.html,Jack Vail,,,,,,,,,,,3.14,
/cbb/players/john-vail-1.html,John Vail,12.5,.480,6.0,1.8,.739,1.3,51,6-6,3.1,13.4,-6.48,6.1
/cbb/players/marcellus-vail-1.html,Marcellus Vail,1.8,.317,0.6,0.2,.500,0.1,23,6-2,1.3,1.3,-1.75,1.0
/cbb/players/matt-vail-2.html,Matt Vail,0.2,.333,0.1,0.0,,0.0,15,6-5,0.2,0.1,-4.75,0.5
/cbb/players/_-vail-2.html,_ Vail,12.8,.359,4.6,3.4,.505,1.7,28,6-4,2.7,10.9,2.70,10.0
/cbb/players/jack-vaile-1.html,Jack Vaile,1.4,.324,0.5,0.7,.639,0.5,49,6-2,0.7,1.4,-5.81,1.1
/cbb/players/veikko-vainio-1.html,Veikko Vainio,1.1,.286,0.3,0.6,.579,0.4,31,,0.8,1.0,4.07,1.3
/cbb/players/laurynas-vaistaras-1.html,Laurynas Vaistaras,1.3,.571,0.8,0.6,.500,0.3,16,6-6,0.6,1.9,-4.41,0.9
/cbb/players/arvydas-vaitiekus-1.html,Arvydas Vaitiekus,1.4,.704,1.0,0.1,.000,0.0,19,6-11,0.6,2.0,1.19,1.4
/cbb/players/brian-vaka-1.html,Brian Vaka,3.8,.402,1.5,1.8,.682,1.2,116,6-2,1.7,4.7,2.09,2.5
/cbb/players/tim-vala-1.html,Tim Vala,10.7,.434,4.7,3.1,.671,2.1,27,6-6,3.4,11.4,1.85,7.1
/cbb/players/pete-valaika-1.html,Pete Valaika,7.5,.445,3.3,1.7,.689,1.2,98,6-4,2.0,7.8,1.00,2.6
/cbb/players/john-valainis-1.html,John Valainis,0.0,,0.0,0.0,,0.0,1,6-6,1.0,0.0,0.11,0.0
/cbb/players/rich-valavicius-1.html,Rich Valavicius,7.0,.523,3.7,2.5,.731,1.8,74,6-5,,9.1,7.57,3.1
