fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
3.8,.409,1.6,2.7,.554,1.5,62,6-4,1.4,4.6,-7.87,2.7
0.9,.385,0.4,0.0,1.000,0.0,28,6-7,0.7,0.9,-6.73,0.6
3.6,.333,1.2,1.0,.800,0.8,5,,,3.2,6.96,
1.6,.455,0.7,1.6,.364,0.6,7,6-4,1.6,2.0,1.20,1.1
1.9,.320,0.6,0.6,.610,0.4,67,6-3,0.8,1.8,6.97,0.7
0.3,.000,0.0,0.0,,0.0,3,6-3,0.0,0.0,7.55,0.3
0.7,.583,0.4,0.4,.857,0.3,18,6-4,0.7,1.1,12.84,0.4
6.0,.457,2.7,0.7,.839,0.6,43,6-4,2.3,6.9,-0.39,2.2
13.0,.442,5.8,4.5,.667,3.0,64,,2.3,14.5,-12.65,9.7
3.2,.524,1.7,1.0,.475,0.5,83,6-11,1.8,3.9,8.04,3.1
0.4,.000,0.0,0.0,,0.0,5,,0.4,0.0,-1.85,0.0
1.3,.375,0.5,0.8,.700,0.6,12,6-7,0.8,1.8,-4.43,1.2
5.6,.382,2.1,2.4,.701,1.6,57,6-5,2.2,6.9,-3.77,2.7
14.1,.373,5.2,5.1,.774,3.9,77,5-11,2.9,14.4,1.18,3.5
3.5,.325,1.1,0.8,.583,0.4,48,6-2,0.4,3.4,-4.94,1.0
13.5,.454,6.1,3.9,.778,3.1,80,6-3,3.3,15.3,-1.72,4.5
5.4,.327,1.8,1.9,.720,1.4,107,6-0,2.3,5.9,-2.28,2.1
1.6,.403,0.6,1.6,.597,0.9,85,6-4,0.9,2.2,-2.87,1.2
1.5,.167,0.3,0.3,1.000,0.3,4,,0.3,0.8,5.75,0.5
5.2,.476,2.5,1.3,.660,0.9,36,6-8,1.9,6.3,-1.85,3.3
0.4,.000,0.0,0.0,,0.0,10,6-0,0.4,0.0,-4.14,0.0
14.7,.382,5.6,3.8,.637,2.4,96,5-11,2.7,13.6,-2.11,2.9
14.1,.349,4.9,4.5,.667,3.0,80,5-11,2.7,12.9,-2.38,4.1
2.1,.407,0.9,1.4,.579,0.8,28,6-8,2.0,2.5,0.40,2.9
4.0,.395,1.6,0.8,.526,0.4,127,6-2,1.5,4.1,-4.24,2.2
5.7,.314,1.8,1.3,.417,0.6,9,,0.3,4.1,-3.06,4.7
4.7,.333,1.6,1.0,.719,0.7,88,6-0,,4.9,2.48,1.6
2.8,.425,1.2,0.7,.611,0.4,26,6-7,1.5,2.8,7.07,1.5
2.3,.483,1.1,1.3,.697,0.9,103,6-7,1.7,3.5,-3.70,3.1
9.6,.381,3.6,3.4,.742,2.5,117,6-3,2.4,10.7,-3.89,4.4
2.8,.565,1.6,2.9,.619,1.8,33,6-9,2.1,5.0,-1.28,3.7
3.8,.488,1.9,2.4,.538,1.3,99,7-0,2.2,5.0,0.84,4.1
8.3,.537,4.4,3.2,.745,2.4,121,6-9,2.7,12.0,7.16,5.8
3.6,.462,1.7,0.9,.706,0.7,36,6-8,1.3,4.3,4.65,1.8
8.4,.499,4.2,3.2,.627,2.0,107,6-8,2.4,10.6,0.53,6.8
7.3,.373,2.7,2.1,.653,1.4,23,6-8,2.4,6.9,-2.75,5.2
9.3,.528,4.9,3.7,.727,2.7,100,6-8,2.8,12.5,-6.20,8.3
7.5,.475,3.6,3.9,.529,2.1,58,6-7,2.0,9.2,3.23,5.8
3.9,.517,2.0,1.9,.712,1.4,127,6-11,2.2,5.4,1.83,2.9
8.5,.477,4.1,3.8,.673,2.5,60,6-10,1.2,10.8,8.86,7.4
0.9,.148,0.1,0.3,.778,0.2,30,6-3,0.1,0.6,2.05,0.5
1.8,.388,0.7,1.0,.603,0.6,67,6-5,1.2,1.9,-11.44,1.9
1.2,.414,0.5,1.3,.656,0.9,24,,1.3,1.9,1.74,2.5
14.5,.442,6.4,6.4,.537,3.5,52,,4.0,16.3,1.74,9.6
4.4,.477,2.1,1.8,.632,1.2,89,6-10,2.2,5.3,4.96,3.7
2.1,.325,0.7,1.0,.641,0.7,38,6-7,1.6,2.1,-12.10,2.3
9.4,.382,3.6,3.9,.757,3.0,131,6-3,2.1,11.2,0.14,2.8
1.8,.536,0.9,1.6,.577,0.9,16,6-8,1.9,2.8,-2.03,2.0
14.1,.450,6.4,3.9,.718,2.8,53,6-4,1.2,15.5,-4.89,7.7
15.0,.469,7.1,3.3,.774,2.6,114,6-4,2.2,16.7,-2.19,5.4
9.7,.448,4.3,3.0,.667,2.0,3,,3.0,10.7,4.97,4.7
5.4,.423,2.3,1.9,.719,1.4,73,5-11,1.6,6.0,-8.03,2.3
3.9,.486,1.9,1.3,.543,0.7,27,6-8,1.6,4.5,3.98,2.6
0.6,.450,0.3,0.7,.667,0.4,36,6-8,0.6,0.9,-5.74,0.4
0.5,.000,0.0,0.0,,0.0,2,6-9,0.0,0.0,10.55,0.0
1.9,.567,1.1,1.0,.526,0.5,111,6-6,2.0,2.9,4.14,3.5
6.5,.439,2.9,2.8,.788,2.2,119,5-11,,8.6,-5.38,3.0
6.5,.310,2.0,1.8,.589,1.1,31,,2.7,5.1,,
2.1,.242,0.5,0.3,1.000,0.3,16,6-2,0.9,1.5,,0.9
0.4,.500,0.2,0.6,.667,0.4,5,6-2,,0.8,-4.28,0.0
10.7,.551,5.9,6.4,.568,3.6,121,6-6,,15.4,0.69,7.0
2.4,.414,1.0,1.7,.458,0.8,29,6-8,1.6,2.8,-2.95,3.6
4.1,.448,1.8,2.0,.657,1.3,104,6-4,1.3,5.1,-1.52,2.0
10.6,.408,4.3,4.7,.747,3.5,107,6-2,2.7,14.0,0.13,2.9
3.7,.444,1.6,1.4,.817,1.1,90,5-10,0.9,4.6,-6.67,1.3
11.5,.412,4.7,1.7,.590,1.0,47,6-5,2.6,10.4,-7.04,6.4
0.7,.417,0.3,0.1,.500,0.1,17,6-0,0.3,0.6,-5.31,0.5
0.4,.385,0.2,0.0,.000,0.0,33,6-0,0.1,0.4,3.80,0.1
0.7,.265,0.2,0.3,.429,0.1,51,5-11,0.4,0.5,6.90,0.3
1.4,.438,0.6,0.3,.636,0.2,35,6-8,0.9,1.5,-6.17,0.8
7.7,.409,3.2,2.1,.726,1.6,109,6-2,1.6,9.4,1.39,2.4
2.6,.410,1.1,0.9,.700,0.6,47,6-2,1.1,2.8,2.48,1.5
11.3,.456,5.2,5.0,.719,3.6,23,6-5,2.4,13.9,,8.9
1.0,.154,0.2,0.5,.333,0.2,13,6-6,0.0,0.5,8.56,0.4
6.6,.443,2.9,2.4,.702,1.7,75,6-4,1.2,8.4,5.23,2.9
,,0.0,,,0.5,4,,,0.5,,
0.5,.444,0.2,0.5,.500,0.3,33,6-8,0.2,0.8,-0.54,0.3
5.2,.405,2.1,2.3,.699,1.6,53,6-3,1.0,6.4,0.62,2.3
4.2,.398,1.7,0.8,.647,0.5,45,5-10,1.7,3.9,-5.84,1.1
0.6,.538,0.3,0.5,.583,0.3,22,6-7,1.0,1.0,-4.94,0.8
1.2,.373,0.4,0.5,.818,0.4,43,5-9,1.0,1.5,-1.14,0.8
0.0,,0.0,0.0,,0.0,1,6-1,0.0,0.0,-5.42,0.0
0.4,.182,0.1,0.1,1.000,0.1,29,6-1,0.0,0.3,-2.42,0.1
,,2.3,2.0,.712,1.4,26,5-10,1.3,6.0,-4.77,
7.8,.507,4.0,3.7,.661,2.5,64,6-5,2.8,10.8,5.58,4.0
8.0,.467,3.7,2.9,.755,2.2,129,6-7,2.5,10.2,-0.07,5.5
1.7,.407,0.7,0.6,.778,0.4,16,5-10,,2.1,-6.00,0.4
1.3,.750,1.0,0.0,,0.0,3,6-4,,2.0,1.75,0.7
3.1,.347,1.1,1.6,.515,0.8,85,6-5,1.3,3.1,-0.11,3.5
0.5,.250,0.1,0.1,.500,0.1,16,,0.6,0.3,2.98,0.5
2.8,.482,1.4,0.9,.769,0.7,30,6-11,2.1,3.4,-8.17,3.2
0.4,.667,0.3,0.3,.625,0.2,23,6-8,0.6,0.7,0.34,0.8
2.0,.529,1.1,0.6,.524,0.3,69,7-0,1.0,2.5,2.79,2.1
0.6,.405,0.3,0.5,.667,0.4,68,,0.6,0.9,2.06,0.4
1.0,,,,,,2,6-6,0.5,,,
5.3,.383,2.0,3.5,.565,2.0,24,6-3,2.9,6.1,-2.09,3.8
,,,,,,,,,,,
1.0,.250,0.3,0.0,,0.0,4,6-0,,0.5,1.07,0.3
1.4,.323,0.5,0.9,.595,0.5,43,6-8,1.5,1.4,3.99,1.4
4.0,.474,1.9,1.7,.551,0.9,58,6-6,2.4,5.1,1.20,5.1
0.8,.500,0.4,0.6,.433,0.3,52,6-6,1.5,1.0,6.70,1.3
13.0,.487,6.3,6.6,.714,4.7,49,6-5,3.0,17.4,1.39,
0.6,.321,0.2,0.5,.522,0.2,49,6-8,0.5,0.6,3.41,0.6
5.3,.255,1.4,1.6,.594,1.0,40,6-5,2.0,3.7,4.42,6.3
5.0,.473,2.3,1.4,.709,1.0,86,6-6,2.0,5.8,4.97,3.2
1.3,.500,0.6,0.3,.500,0.1,8,6-2,0.3,1.5,-0.31,0.4
1.4,.458,0.7,0.6,.706,0.4,83,6-6,0.4,1.9,8.42,0.9
9.1,.364,3.3,5.1,.698,3.5,17,6-2,1.5,10.1,3.99,1.4
10.0,.599,6.0,5.4,.700,3.8,128,6-6,1.9,15.7,-2.66,6.1
5.1,.494,2.5,2.1,.549,1.1,102,6-9,1.9,6.2,5.28,4.0
7.6,.374,2.8,2.2,.480,1.0,23,6-11,3.1,6.7,-1.47,8.8
8.2,.370,3.0,1.1,.771,0.9,127,6-4,2.0,8.9,-3.23,2.7
4.7,.485,2.3,1.1,.766,0.8,105,,,5.3,-0.73,3.7
0.9,.483,0.4,0.4,.462,0.2,32,6-10,1.0,1.1,6.70,1.0
8.5,.396,3.4,1.4,.774,1.1,108,5-10,1.9,10.0,-3.31,2.5
6.6,.481,3.2,1.8,.692,1.2,52,5-10,2.0,7.6,-5.20,1.8
2.1,.437,0.9,0.8,.718,0.6,49,6-9,0.8,2.4,0.11,1.5
0.2,.333,0.1,0.0,,0.0,13,6-3,0.3,0.2,9.14,0.2
8.8,.557,4.9,3.6,.511,1.8,110,6-6,3.2,11.7,-1.45,8.7
7.9,.546,4.3,3.7,.647,2.4,51,6-6,1.9,11.1,-0.93,5.0
2.9,.538,1.6,1.2,.568,0.7,63,6-7,1.4,3.8,0.86,3.3
4.9,.407,2.0,2.4,.544,1.3,75,5-10,2.5,5.3,5.33,2.4
1.0,.286,0.3,0.9,.538,0.5,14,5-8,0.8,1.1,3.73,0.5
4.6,.520,2.4,2.1,.696,1.4,49,6-6,1.8,6.2,2.31,4.4
3.7,.386,1.4,0.8,.627,0.5,101,6-7,0.9,4.0,5.64,2.0
3.0,.379,1.2,0.6,.897,0.6,46,,0.8,2.9,-2.61,1.9
14.3,.551,7.9,6.4,.745,4.7,90,6-3,2.3,20.5,1.13,4.8
2.6,.368,0.9,0.5,.721,0.4,86,6-3,0.9,2.7,-2.79,1.5
2.7,.313,0.8,0.9,.529,0.5,18,6-5,1.3,2.2,-2.27,
0.9,.167,0.1,0.4,.000,0.0,7,6-6,1.3,0.3,-7.62,
1.0,.250,0.3,0.5,.500,0.3,4,6-2,0.3,0.8,-5.98,
2.3,.404,0.9,1.0,.438,0.4,94,6-8,2.4,2.3,-3.02,3.7
1.3,.500,0.7,1.0,.667,0.7,3,6-9,0.3,2.0,-0.82,1.0
,,1.5,3.0,.529,1.6,17,,2.6,4.5,,
12.0,.476,5.7,4.8,.728,3.5,82,6-5,3.2,14.9,5.30,6.3
1.1,.550,0.6,1.1,.474,0.5,18,6-7,0.7,1.7,5.75,1.4
2.4,.462,1.1,0.8,.444,0.4,22,6-6,1.6,2.5,-4.18,3.5
12.5,.458,5.7,5.3,.750,4.0,103,6-3,,16.7,2.36,3.5
1.2,.440,0.5,0.3,.810,0.2,83,6-2,0.8,1.5,9.05,1.0
2.6,.517,1.4,1.4,.662,0.9,98,6-5,1.5,3.6,7.77,1.6
,,1.1,,,0.8,18,,,2.9,,
5.5,.360,2.0,2.7,.663,1.8,36,5-11,1.9,5.8,-1.22,1.8
0.0,,0.0,0.0,,0.0,2,6-1,0.0,0.0,7.70,0.0
3.2,.288,0.9,2.0,.620,1.2,25,6-5,1.6,3.1,0.27,3.5
,,3.0,7.7,.522,4.0,3,6-1,2.7,10.0,0.43,
8.0,.350,2.8,1.2,.759,0.9,25,6-2,1.3,8.0,0.90,2.0
0.6,.111,0.1,0.5,.500,0.3,15,5-9,,0.4,-4.44,0.7
2.5,.172,0.4,0.6,.200,0.1,26,6-5,1.2,1.0,3.35,1.2
2.9,.393,1.1,1.1,.613,0.7,83,6-6,,3.0,3.97,1.8
1.1,.519,0.6,0.6,.286,0.2,25,5-11,,1.3,10.92,0.4
3.9,.385,1.5,1.3,.729,0.9,110,6-2,1.0,4.8,1.37,1.6
1.1,.250,0.3,0.0,,0.0,7,6-6,0.0,0.7,3.66,0.1
1.4,.333,0.5,0.8,.444,0.4,11,6-6,1.1,1.3,4.63,0.4
8.9,.418,3.7,1.7,.721,1.2,63,5-11,1.3,8.6,-3.49,1.8
2.5,.515,1.3,0.9,.833,0.8,13,6-8,1.2,3.4,7.64,1.5
4.9,.471,2.3,2.3,.703,1.6,32,6-3,,6.3,-0.19,1.6
5.4,.481,2.6,1.6,.585,1.0,57,6-3,,6.7,5.18,2.7
9.4,.461,4.3,3.6,.836,3.0,110,5-11,2.6,13.2,-3.76,3.9
6.2,.401,2.5,1.4,.385,0.6,27,6-5,2.7,5.5,7.32,5.3
2.6,.391,1.0,0.8,.675,0.6,99,5-10,1.8,2.6,7.68,1.0
4.2,.378,1.6,0.9,.618,0.6,37,6-5,0.8,4.5,4.87,1.9
0.3,.000,0.0,0.7,.500,0.3,3,6-4,0.3,0.3,-4.81,0.3
7.4,.523,3.9,1.5,.777,1.2,62,6-6,1.5,9.0,-4.66,5.5
