fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
1.3,.059,0.1,1.2,.625,0.8,13,6-3,0.4,0.9,5.18,0.5
17.6,.482,8.5,5.9,.776,4.6,59,6-5,1.8,23.0,-0.96,4.5
7.2,.400,2.9,3.5,.623,2.2,59,5-10,2.1,9.2,-6.77,3.4
7.8,.361,2.8,3.7,.731,2.7,107,6-3,2.0,9.4,-2.88,3.1
5.9,.494,2.9,2.5,.779,1.9,53,6-5,,7.8,1.35,3.2
3.4,.385,1.3,2.5,.664,1.6,54,6-2,1.1,4.5,-8.51,1.1
3.5,.419,1.5,2.2,.717,1.6,112,6-5,1.0,4.8,3.37,1.8
0.6,.300,0.2,0.1,.500,0.1,18,6-2,0.1,0.6,7.16,0.3
14.7,.316,4.6,3.9,.603,2.4,88,5-11,2.8,11.6,6.35,3.5
6.6,.346,2.3,1.7,.771,1.3,41,5-10,0.6,6.5,0.41,3.4
11.5,.416,4.8,4.4,.863,3.8,45,5-4,2.5,15.0,1.71,2.7
1.0,.091,0.1,0.4,.500,0.2,11,6-1,,0.4,1.05,0.4
0.4,.000,0.0,0.0,,0.0,9,,0.1,0.0,-4.60,0.3
9.4,.412,3.9,2.2,.818,1.8,127,6-2,1.5,11.3,1.98,2.5
0.7,.000,0.0,0.3,.000,0.0,3,,0.0,0.0,-4.02,0.3
6.2,.523,3.3,1.5,.798,1.2,85,6-7,1.1,7.7,4.56,2.3
3.1,.382,1.2,0.2,.100,0.0,42,6-4,0.9,3.0,-1.22,1.7
2.3,.468,1.1,1.4,.630,0.9,70,6-8,1.8,3.1,-5.58,1.4
4.4,.391,1.7,1.8,.623,1.1,38,6-7,2.3,4.6,-0.50,2.7
1.3,.258,0.3,0.1,.000,0.0,23,6-4,0.8,0.7,3.78,0.9
6.4,.474,3.0,1.3,.777,1.0,104,6-5,1.2,8.0,-2.40,4.0
1.1,.364,0.4,0.2,.667,0.1,31,6-1,0.3,1.0,9.41,0.4
6.1,.441,2.7,2.6,.809,2.1,58,6-6,1.8,8.6,-7.47,3.9
0.0,,0.0,0.0,,0.0,1,6-9,0.0,0.0,2.28,0.0
1.0,.250,0.3,0.8,.667,0.5,4,,,1.0,3.09,1.5
,,1.3,1.5,.563,0.9,21,,,3.4,,
0.8,.583,0.5,0.6,,,15,6-3,0.4,,,0.4
3.2,.413,1.3,3.7,.682,2.5,84,5-10,3.2,5.1,-1.89,3.6
0.0,,0.0,0.0,,0.0,6,6-3,0.0,0.0,3.86,0.0
2.9,.404,1.2,1.5,.778,1.1,49,6-5,0.4,3.5,0.27,0.8
1.1,.339,0.4,0.4,.667,0.2,49,5-10,1.0,1.2,-1.97,0.8
