fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
3.4,.386,1.3,0.7,.720,0.5,115,6-5,,3.9,-2.00,1.7
,,5.5,6.0,.639,3.8,6,,5.8,14.8,-6.74,
10.5,.459,4.8,3.8,.650,2.4,79,6-10,3.4,12.1,-5.77,10.3
0.2,4.750,1.1,0.2,.750,0.2,17,,0.4,2.4,3.13,
0.9,.000,0.0,0.2,.667,0.2,13,,0.0,0.2,2.59,0.2
3.0,.491,1.5,1.5,.642,0.9,119,6-10,2.4,3.9,6.64,3.7
3.4,.511,1.7,2.3,.781,1.8,28,6-6,2.2,5.2,-6.74,2.3
0.7,.500,0.3,0.8,.857,0.7,9,6-9,,1.3,-8.09,1.3
8.9,.525,4.7,2.4,.636,1.5,53,6-10,1.8,10.9,-7.82,5.4
4.8,.340,1.6,1.7,.471,0.8,30,,2.4,4.1,,
1.2,.455,0.6,0.6,.600,0.3,9,,0.4,1.4,-1.25,0.7
0.9,.333,0.3,0.7,.556,0.4,13,,0.3,1.0,4.09,0.4
1.8,.421,0.8,2.2,.535,1.2,32,6-7,1.1,2.7,2.19,2.1
0.9,.533,0.5,0.5,.667,0.4,17,6-3,0.4,1.3,-6.21,0.7
,,0.9,1.0,.640,0.7,24,5-8,0.5,2.5,,
,,3.3,2.4,.606,1.4,28,,1.5,8.1,,
0.3,.500,0.2,0.0,,0.0,6,5-10,0.0,0.3,-5.66,0.2
0.2,.500,0.1,0.0,,0.0,9,6-11,0.2,0.3,-1.32,0.0
4.2,.384,1.6,0.3,.613,0.2,116,6-9,1.2,4.7,3.72,1.5
3.5,.515,1.8,1.3,.698,0.9,123,6-9,2.1,4.6,6.43,4.6
1.7,.364,0.6,0.4,.800,0.3,13,6-2,0.5,1.8,-6.06,1.2
0.7,.323,0.2,0.2,.500,0.1,47,6-4,0.6,0.5,2.96,0.6
1.0,.222,0.2,0.4,.750,0.3,9,6-4,0.4,0.8,-1.07,0.6
6.9,.443,3.0,2.7,.570,1.5,66,,2.6,7.6,-11.63,6.5
3.7,.297,1.1,0.6,.625,0.4,27,6-4,1.2,2.9,-3.09,1.3
7.1,.354,2.5,2.0,.640,1.3,55,,2.2,6.3,-7.76,5.8
1.9,.321,0.6,1.3,.411,0.5,42,6-0,0.8,1.7,-5.85,1.4
1.9,.486,0.9,1.3,.500,0.6,93,6-10,2.2,2.5,1.87,2.8
1.9,.323,0.6,0.5,.600,0.3,33,6-0,1.2,1.5,2.00,0.7
7.8,.584,4.6,3.6,.686,2.4,77,6-5,3.3,11.6,5.97,8.4
7.7,.425,3.3,3.8,.752,2.9,55,6-5,2.4,10.1,-2.31,4.7
8.5,.525,4.4,3.9,.841,3.3,67,6-5,1.9,12.2,-6.35,5.7
1.6,.264,0.4,0.8,.520,0.4,33,6-10,1.6,1.2,1.97,1.6
0.0,,0.0,0.0,,0.0,5,6-4,0.0,0.0,6.64,0.2
2.7,.367,1.0,1.3,.676,0.9,29,,1.4,2.9,3.11,1.6
0.0,,0.0,0.0,,0.0,1,6-0,0.0,0.0,0.56,0.0
3.3,.419,1.4,0.4,.545,0.2,26,,2.4,3.1,-9.35,2.8
2.9,.333,1.0,1.5,.667,1.0,55,5-7,2.0,3.3,-9.25,1.3
2.2,.548,1.2,0.5,.654,0.3,57,6-8,0.8,3.0,0.98,2.5
4.0,.555,2.2,0.8,.610,0.5,101,6-3,0.7,5.2,5.38,2.6
1.6,.416,0.7,0.4,.417,0.2,55,6-9,1.8,1.5,-7.37,2.8
1.0,.200,0.2,0.1,1.000,0.1,10,6-3,0.7,0.5,7.25,0.0
10.4,.500,5.2,4.7,.670,3.2,108,6-8,3.6,13.6,-1.64,5.6
4.4,.424,1.9,2.2,.788,1.7,15,6-2,1.8,6.1,-8.63,2.4
10.1,.422,4.3,1.0,.652,0.7,23,6-6,2.9,9.2,-1.19,4.3
8.5,.492,4.2,2.1,.779,1.6,50,6-5,1.8,10.0,6.72,3.3
6.8,.398,2.7,4.4,.673,3.0,84,6-5,2.5,8.4,6.00,5.9
6.1,.432,2.6,1.3,.840,1.1,58,6-2,1.7,6.3,-2.51,1.8
1.0,.486,0.5,0.5,.688,0.3,35,,,1.4,-6.68,1.2
4.6,.437,2.0,1.5,.650,1.0,26,6-10,0.5,5.0,2.28,2.5
0.3,.500,0.1,0.2,.833,0.2,27,6-3,0.0,0.5,8.76,0.5
1.7,.364,0.6,0.8,.700,0.5,40,6-1,0.5,1.7,1.29,0.9
7.0,.433,3.0,4.8,.549,2.6,55,6-5,2.4,8.7,3.26,8.9
7.1,.224,1.6,3.3,.551,1.8,15,,3.3,5.0,,
6.1,.329,2.0,1.9,.590,1.1,42,6-0,1.7,5.1,-2.53,1.6
2.8,.352,1.0,1.1,.604,0.7,43,5-11,1.6,2.7,-2.28,1.1
3.2,.354,1.1,1.2,.771,0.9,30,6-5,0.8,3.2,-1.63,1.5
4.3,.514,2.2,1.5,.514,0.7,51,6-9,,5.2,-5.52,4.8
0.9,.553,0.5,0.1,.667,0.0,43,6-8,0.5,1.1,-1.91,0.9
0.4,.250,0.1,0.7,.667,0.4,9,6-0,1.1,0.7,3.65,0.2
1.7,.297,0.5,1.1,.718,0.8,37,5-11,1.0,1.8,5.99,1.0
0.8,.387,0.3,0.6,.600,0.4,40,6-6,,1.0,0.24,0.6
0.1,.000,0.0,0.8,.600,0.5,12,5-8,,0.5,-1.26,0.3
0.7,.250,0.2,0.0,,0.0,11,6-3,0.3,0.4,5.83,0.3
4.1,.375,1.5,0.7,.659,0.5,61,6-7,1.2,4.5,2.52,2.0
11.7,.383,4.5,2.7,.740,2.0,65,,2.2,10.9,5.73,2.9
2.6,.411,1.1,1.5,.736,1.1,48,6-5,1.6,3.2,-7.29,3.3
2.2,.458,1.0,1.5,.362,0.6,38,6-7,1.6,2.6,-5.39,3.8
,,4.9,3.0,.614,1.8,19,6-2,3.5,11.7,,
8.5,.507,4.3,2.8,.718,2.0,99,6-7,2.5,10.7,-2.11,5.7
13.6,.463,6.3,3.5,.836,2.9,91,6-5,0.5,15.5,-1.60,4.1
0.4,.500,0.2,0.4,.500,0.2,18,6-1,0.1,0.7,4.20,0.0
1.6,.438,0.7,0.6,.625,0.4,50,6-8,1.8,1.8,-0.05,1.9
0.3,.000,0.0,0.3,.500,0.2,6,6-7,0.3,0.2,-3.72,0.5
7.8,.422,3.3,1.4,.690,0.9,125,6-4,0.9,9.0,7.22,2.0
9.6,.462,4.4,3.3,.723,2.4,143,6-8,1.6,11.6,8.16,5.7
5.3,.422,2.2,2.5,.582,1.5,22,6-4,3.4,5.9,0.90,6.7
1.3,.258,0.3,0.4,.600,0.3,23,6-0,0.8,1.2,,0.9
3.2,.333,1.1,0.3,.625,0.2,27,6-1,0.9,3.3,-7.25,1.1
4.9,.431,2.1,0.6,.400,0.2,25,6-9,2.8,4.5,0.75,4.4
8.6,.510,4.4,2.9,.558,1.6,82,,3.1,10.6,0.01,6.5
8.8,.536,4.7,3.9,.682,2.7,123,6-7,3.0,12.1,7.94,7.5
,.313,,,.679,,,,,,,
1.0,.350,0.4,0.7,.714,0.5,20,6-1,0.5,1.1,-3.89,1.1
,,0.3,0.3,1.000,0.3,3,,0.0,1.0,,
1.2,.429,0.5,0.3,.000,0.0,6,5-11,0.2,1.0,-4.96,0.7
2.0,.361,0.7,1.2,.727,0.9,18,6-3,2.0,2.3,3.49,2.1
3.5,.445,1.5,0.9,.797,0.7,74,6-0,,3.8,-6.16,1.8
16.4,.472,7.7,7.0,.777,5.5,53,6-8,2.8,20.9,6.09,12.8
0.8,.231,0.2,0.1,.500,0.1,17,6-4,0.1,0.5,7.48,0.2
3.4,.453,1.5,1.1,.807,0.9,50,6-0,1.6,4.0,0.95,1.9
5.9,.395,2.3,0.6,.417,0.2,21,6-2,1.6,6.3,,2.4
4.1,.596,2.5,2.7,.440,1.2,69,6-7,3.3,6.1,-3.19,6.9
1.2,.353,0.4,0.9,.769,0.7,14,6-7,0.5,1.6,-3.80,0.8
1.3,.333,0.4,0.6,.733,0.5,24,6-4,0.6,1.4,-3.10,0.9
3.4,.478,1.6,1.0,.655,0.6,60,6-8,1.2,3.9,-8.04,2.4
11.9,.439,5.2,5.6,.757,4.3,73,6-3,2.6,14.7,-0.73,4.7
0.9,.625,0.6,0.7,.500,0.3,9,6-6,0.7,1.4,2.22,0.7
1.9,.328,0.6,0.7,.455,0.3,32,6-9,2.0,1.6,6.09,3.3
2.3,.578,1.3,0.9,.558,0.5,48,6-8,2.6,3.1,-9.85,3.8
6.3,.283,1.8,2.7,.516,1.4,35,,1.9,5.5,-2.37,8.7
1.5,.083,0.1,0.0,,0.0,8,6-2,1.1,0.4,-1.11,0.8
1.0,.333,0.3,0.0,,0.0,3,,0.3,0.7,3.39,0.3
11.5,.477,5.5,6.3,.623,4.0,69,6-7,3.6,14.9,-5.94,10.5
4.7,.514,2.4,2.6,.564,1.5,97,6-10,1.5,6.3,-6.66,3.5
8.5,.502,4.3,2.7,.541,1.5,55,6-9,3.2,10.0,-4.63,7.7
7.0,.534,3.8,3.3,.729,2.4,50,6-2,,10.2,-10.52,2.2
10.8,.488,5.3,6.3,.651,4.1,52,6-5,2.8,14.7,-2.44,9.0
7.4,.531,3.9,3.8,.646,2.5,26,6-5,2.3,10.4,2.04,8.8
1.0,.435,0.4,0.7,.588,0.4,23,6-3,0.6,1.3,-3.82,0.3
14.4,.466,6.7,2.7,.693,1.9,61,6-5,2.8,15.9,5.18,5.4
9.8,.349,3.4,2.4,.754,1.8,57,6-0,,10.7,-3.87,2.3
3.2,.477,1.5,1.8,.597,1.1,34,6-3,1.9,4.1,1.51,3.2
3.6,.430,1.5,0.6,.684,0.4,64,6-2,1.1,4.2,-2.99,1.0
3.1,.407,1.3,1.2,.484,0.6,26,6-4,,3.3,-8.62,1.8
1.5,.333,0.5,0.6,.571,0.3,12,6-7,1.3,1.3,-6.03,2.0
3.7,.308,1.1,1.1,.722,0.8,86,5-11,0.8,3.5,-5.16,1.2
11.8,.453,5.3,5.8,.590,3.4,28,,2.4,14.0,-3.67,8.0
