fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
3.4,.405,1.4,1.5,.593,0.9,39,5-10,1.1,3.6,3.35,1.3
0.8,.417,0.3,2.0,.750,1.5,16,5-11,0.6,2.1,,0.7
0.6,.214,0.1,0.4,.900,0.4,24,6-3,0.3,0.8,2.81,0.4
7.0,.404,2.8,3.0,.672,2.0,21,6-5,2.4,7.7,2.09,6.4
0.2,.500,0.1,0.2,.500,0.1,12,6-0,0.3,0.3,-3.15,0.0
2.3,.250,0.6,0.3,1.000,0.3,7,6-4,0.7,1.6,-5.18,1.0
1.1,.286,0.3,0.2,1.000,0.2,19,6-3,0.3,1.1,0.43,0.2
6.0,.273,1.6,3.2,.514,1.6,22,6-5,2.9,4.9,0.45,5.7
2.1,.250,0.5,0.6,.400,0.2,17,6-5,0.8,1.3,-0.95,2.3
4.3,.423,1.8,1.6,.763,1.2,61,6-5,2.3,5.6,-0.37,3.0
10.4,.408,4.2,4.8,.716,3.5,46,6-7,2.1,13.0,-3.56,6.2
0.0,,0.0,0.0,,0.0,2,,1.0,0.0,2.67,2.0
5.1,.419,2.1,1.0,.726,0.7,76,6-7,1.9,6.2,-4.85,2.5
5.3,.341,1.8,2.0,.718,1.4,62,6-1,1.7,5.1,-0.06,
2.3,.408,0.9,0.8,.558,0.4,56,6-9,1.9,2.4,-6.41,1.9
,,5.6,5.9,.652,3.8,23,,3.4,15.0,,
0.3,.250,0.1,0.1,.000,0.0,26,6-2,0.1,0.2,-1.74,0.2
4.7,.407,1.9,1.9,.472,0.9,122,6-6,2.7,4.7,-3.25,3.8
10.5,.525,5.5,4.1,.712,2.9,57,6-2,3.1,13.9,-6.96,2.4
3.8,.484,1.8,1.4,.650,0.9,57,6-11,2.4,4.6,1.73,2.9
3.9,.473,1.9,1.1,.647,0.7,48,6-2,1.7,4.4,1.64,1.1
,,,,,,,,,,0.86,
2.0,.426,0.9,0.6,.556,0.3,47,6-7,1.2,2.2,-6.41,0.8
4.4,.475,2.1,1.9,.684,1.3,90,6-9,1.2,5.5,3.68,3.2
