fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
5.1,.503,2.6,2.5,.649,1.6,62,6-4,2.7,6.8,2.21,3.3
21.9,.324,7.1,8.4,.699,5.8,25,6-1,2.0,20.0,-2.27,
0.5,.200,0.1,0.3,1.000,0.3,10,,0.6,0.5,3.66,1.0
8.4,.457,3.8,4.7,.574,2.7,80,6-4,2.0,10.4,2.51,9.7
,,2.4,2.4,.731,1.8,69,6-3,2.6,6.6,0.09,
1.9,.615,1.1,0.3,.500,0.1,7,,1.1,3.9,-1.08,0.3
0.8,.352,0.3,0.3,.737,0.2,65,6-0,0.6,1.0,4.04,0.6
2.3,.198,0.5,0.4,.529,0.2,39,6-2,0.9,1.2,2.07,1.1
6.6,.572,3.8,4.1,.596,2.4,56,6-8,3.1,10.0,-2.00,6.7
7.5,.437,3.3,2.7,.760,2.1,54,6-8,1.4,11.1,-0.01,3.4
6.9,.474,3.3,3.5,.672,2.3,97,6-4,0.5,9.0,-1.41,4.0
6.3,.436,2.7,2.3,.771,1.7,31,6-3,1.8,7.2,-5.89,6.0
8.3,.461,3.8,2.3,.633,1.5,103,6-2,2.4,9.1,-4.32,4.6
5.3,.244,1.3,1.8,.673,1.2,30,6-5,1.2,3.8,,
10.6,.489,5.2,3.0,.742,2.2,76,6-7,1.6,12.6,-1.50,7.3
11.3,.465,5.2,4.3,.749,3.2,54,6-6,2.3,13.7,2.41,6.1
0.0,,0.0,0.0,,0.0,1,6-7,1.0,0.0,9.81,2.0
5.7,.572,3.3,2.3,.674,1.5,127,7-3,2.3,8.2,9.68,4.5
6.2,.487,3.0,3.0,.706,2.1,118,6-7,2.8,8.6,0.98,5.3
2.5,.340,0.9,0.6,.846,0.5,21,6-1,0.5,3.0,-5.22,0.6
4.3,.383,1.6,1.3,.534,0.7,67,6-1,2.3,4.5,-3.21,2.4
1.3,.348,0.4,0.4,.571,0.2,18,,0.4,1.1,2.35,0.5
3.3,.368,1.2,1.0,.750,0.8,50,5-10,1.7,3.2,-5.61,1.1
6.9,.589,4.0,4.5,.689,3.1,139,7-2,2.1,11.2,8.15,4.6
1.6,.301,0.5,0.7,.879,0.7,122,6-2,0.9,1.7,7.26,0.8
1.2,.513,0.6,0.4,.640,0.3,63,6-7,0.5,1.6,8.57,0.5
2.0,.500,1.0,0.8,.556,0.4,12,,1.1,2.4,-7.96,1.0
0.5,.500,0.3,0.0,,0.0,4,6-0,0.8,0.5,6.54,0.8
,,,,,,,,,,4.11,
3.8,.352,1.3,0.8,.639,0.5,43,,1.9,3.2,3.71,2.4
9.1,.404,3.7,6.2,.585,3.6,82,6-5,3.4,11.0,3.69,11.5
6.8,.444,3.0,1.6,.763,1.2,107,6-9,2.2,8.7,4.09,5.1
8.3,.422,3.5,3.9,.736,2.9,131,6-3,1.5,11.3,8.12,3.3
7.9,.448,3.5,1.6,.701,1.1,80,6-4,0.8,9.2,-5.18,2.5
3.2,.384,1.2,1.8,.800,1.4,62,6-4,1.0,4.2,1.50,1.4
0.2,1.000,0.2,0.4,1.000,0.4,5,6-4,0.4,0.8,-5.26,0.2
3.2,.446,1.4,2.3,.691,1.6,58,6-3,1.8,4.6,-0.05,1.7
3.4,.401,1.4,0.9,.423,0.4,55,6-10,2.2,3.1,-3.09,2.8
3.4,.412,1.4,1.6,.683,1.1,79,6-7,2.5,3.8,4.14,3.5
4.4,.481,2.1,2.5,.595,1.5,62,6-6,2.8,5.7,6.42,5.9
7.9,.596,4.7,2.7,.526,1.4,29,6-10,2.2,10.9,3.90,6.2
1.4,.091,0.1,1.5,.583,0.9,8,,1.4,1.1,-1.36,1.8
1.9,.375,0.7,0.6,.591,0.4,37,6-7,0.6,2.2,-2.96,1.2
7.3,.443,3.2,2.2,.656,1.4,43,6-8,2.1,7.9,7.13,6.3
1.3,.200,0.3,0.1,.000,0.0,16,6-3,0.0,0.6,7.28,0.6
0.0,,0.0,0.0,,0.0,4,6-0,0.0,0.0,3.03,0.0
2.0,.208,0.4,1.9,.609,1.2,12,6-3,1.0,2.0,-5.32,3.0
2.3,.443,1.0,1.0,.357,0.4,27,,2.1,2.4,,
1.7,.229,0.4,0.7,.368,0.2,29,6-1,0.5,1.0,-2.76,1.2
3.3,.436,1.5,0.5,.632,0.3,70,6-6,1.6,4.1,-0.59,1.6
11.6,.521,6.0,4.3,.811,3.5,73,6-2,3.0,15.6,-0.01,3.7
4.8,.411,2.0,2.0,.727,1.5,123,6-6,1.8,6.2,-5.19,3.3
6.9,.471,3.2,2.2,.547,1.2,111,6-5,2.4,8.3,6.29,3.8
7.8,.579,4.5,3.7,.746,2.8,102,6-8,1.6,12.1,3.91,4.4
2.6,.423,1.1,0.7,.500,0.4,37,6-7,1.6,2.6,2.75,2.5
5.1,.294,1.5,2.3,.435,1.0,10,6-2,1.8,4.0,7.87,3.5
1.3,.207,0.3,0.2,.250,0.0,22,6-4,0.0,0.6,1.02,0.3
7.4,.530,3.9,2.7,.630,1.7,27,6-10,3.3,9.6,-4.52,5.2
2.0,.591,1.2,2.6,.986,2.6,56,6-1,1.1,4.9,2.30,3.2
8.1,.360,2.9,2.3,.703,1.6,122,6-3,2.0,9.0,2.20,1.8
5.9,.435,2.6,3.6,.775,2.8,101,6-5,2.4,8.7,8.54,3.6
1.7,.222,0.4,0.7,.667,0.5,21,6-2,0.9,1.4,-0.81,0.8
6.1,.372,2.3,1.2,.732,0.9,59,6-1,0.4,7.4,7.59,1.4
0.8,.000,0.0,0.0,,0.0,4,,0.0,0.0,2.89,0.0
6.7,.405,2.7,1.2,.770,0.9,50,6-1,1.3,6.3,2.46,2.4
10.8,.549,5.9,5.1,.603,3.0,101,6-5,2.5,14.9,0.12,8.5
5.4,.422,2.3,1.6,,,27,6-6,3.3,,,8.2
6.1,.400,2.5,2.2,.779,1.7,40,6-2,2.6,6.6,-2.36,3.0
12.4,.551,6.8,5.4,.654,3.5,87,6-9,2.8,17.2,-0.99,11.4
1.0,.000,0.0,3.0,1.000,3.0,1,,0.0,2.0,-12.24,0.0
9.8,.424,4.2,2.4,.794,1.9,119,5-10,1.2,12.5,0.48,1.4
0.5,.500,0.3,0.0,,0.0,4,6-4,0.5,0.8,-1.68,0.3
5.8,.499,2.9,1.1,.606,0.7,66,6-1,1.8,6.4,4.36,1.9
6.4,.356,2.3,1.9,.659,1.2,49,6-3,1.9,7.0,-8.32,1.9
1.4,.289,0.4,0.3,.545,0.2,32,6-3,0.4,1.2,-1.08,0.4
6.5,.320,2.1,2.3,.695,1.6,55,6-2,1.5,6.2,-8.47,3.0
1.5,.508,0.8,0.4,.600,0.2,79,6-6,1.0,1.8,-8.46,1.9
3.3,.303,1.0,0.9,.471,0.4,20,6-0,0.8,2.4,-4.05,1.6
5.4,.504,2.7,1.2,.773,0.9,74,6-0,1.4,6.4,-1.12,2.8
0.0,,0.0,0.0,,0.0,2,6-1,0.0,0.0,-1.45,0.0
0.3,.500,0.2,0.0,,0.0,6,6-3,0.5,0.5,-0.68,0.2
5.1,.407,2.1,2.2,.600,1.3,16,6-3,1.1,5.6,-4.59,1.3
4.0,.240,1.0,1.8,.698,1.3,24,,0.9,3.2,-2.10,1.4
1.9,.481,0.9,0.7,.658,0.5,109,6-10,1.1,2.5,-2.36,1.3
0.7,.500,0.3,0.0,,0.0,3,6-3,0.0,0.7,-4.72,0.3
11.5,.510,5.8,5.3,.654,3.5,105,6-7,2.8,15.2,-2.83,7.7
3.2,.376,1.2,1.0,.750,0.8,69,6-3,1.7,3.7,1.90,1.4
,,,,.800,,,,,,,
0.8,.000,0.0,1.7,.500,0.8,6,6-0,0.3,0.8,7.86,0.0
2.7,.369,1.0,0.4,.778,0.3,24,6-0,0.8,3.0,-5.69,0.5
5.0,.389,2.0,2.2,.648,1.4,50,6-5,1.9,5.3,5.32,3.7
8.1,.457,3.7,1.6,.638,1.0,51,6-5,1.8,8.6,-1.87,1.8
8.9,.480,4.3,3.4,.752,2.6,63,6-5,3.3,11.6,-3.06,5.5
0.8,.250,0.2,0.0,,0.0,5,,0.8,0.4,-6.34,0.8
,,,,.750,,,,,,,
1.8,.390,0.7,0.5,.800,0.4,33,,,1.8,-5.01,0.3
3.6,.211,0.8,2.8,.636,1.8,16,6-4,1.5,3.3,1.02,2.9
19.2,.469,9.0,6.8,.654,4.4,76,6-8,3.5,22.4,-1.58,15.3
3.9,.435,1.7,1.4,.605,0.9,90,6-7,2.7,4.3,0.35,4.9
1.1,.308,0.3,0.4,.455,0.2,49,6-5,0.8,0.9,1.97,0.7
0.0,,0.0,0.0,,0.0,2,,0.0,0.0,3.39,0.5
2.8,.364,1.0,2.0,.500,1.0,4,6-2,,3.0,-6.31,2.0
3.5,.416,1.5,0.8,.778,0.7,64,6-2,1.4,4.4,-0.58,0.9
0.0,,0.0,0.0,,0.0,2,6-5,0.0,0.0,-4.97,0.0
6.0,.477,2.9,0.6,.783,0.5,37,6-4,1.8,7.6,-4.36,3.5
2.1,.310,0.6,0.5,.722,0.4,34,6-6,1.1,1.7,-3.04,1.3
5.5,.365,2.0,2.7,.607,1.6,52,6-3,1.4,6.0,3.05,3.7
5.1,.457,2.3,0.7,.731,0.5,39,6-4,0.8,6.6,-0.06,1.9
0.9,.333,0.3,0.3,.500,0.2,13,6-3,0.8,0.8,0.47,0.8
1.3,.294,0.4,0.1,.000,0.0,13,6-6,0.5,0.8,0.02,1.0
2.7,.423,1.2,1.7,.515,0.9,19,6-4,1.7,3.2,-4.90,1.6
1.2,.304,0.4,0.3,.400,0.1,20,6-5,0.8,0.8,5.84,0.9
0.7,.500,0.3,0.0,,0.0,6,6-1,0.0,0.8,11.02,0.3
13.3,.519,6.9,5.9,.611,3.6,84,6-10,2.6,17.5,-1.41,15.5
0.8,.250,0.2,0.8,.750,0.6,5,6-4,0.6,1.0,-3.56,0.4
0.4,.400,0.2,0.0,,0.0,12,,0.4,0.3,-6.37,0.3
3.1,.387,1.2,0.8,.700,0.6,36,6-8,1.6,3.4,-2.14,1.7
0.6,.364,0.2,0.2,.250,0.1,17,6-9,0.8,0.5,-5.15,0.8
1.8,.188,0.3,0.4,.571,0.2,18,6-1,1.2,0.9,0.76,1.0
4.2,.404,1.7,1.5,.621,0.9,109,6-4,1.8,4.7,3.41,2.8
8.7,.373,3.3,3.8,.682,2.6,23,6-0,1.8,9.1,,2.7
1.6,.410,0.7,0.4,.700,0.3,49,,0.3,1.6,5.82,0.8
0.5,.000,0.0,0.5,.000,0.0,2,6-1,0.5,0.0,5.51,0.0
6.9,.421,2.9,1.9,.858,1.6,112,6-2,1.6,9.2,-5.01,2.3
0.4,.667,0.3,0.3,1.000,0.3,7,6-4,0.7,0.6,-2.81,1.1
2.0,.250,0.5,0.0,,0.0,2,6-6,1.5,1.0,-0.09,0.0
1.0,.214,0.2,0.1,.000,0.0,14,6-5,0.4,0.5,-3.62,0.6
9.0,.391,3.5,1.7,.556,0.9,64,6-4,2.3,7.9,2.02,4.6
5.0,.486,2.4,1.8,.660,1.2,112,6-5,2.6,6.3,6.82,3.6
1.4,.412,0.6,0.5,.667,0.3,12,5-11,,1.5,-3.03,0.3
3.7,.850,3.1,0.7,1.711,1.2,56,6-3,0.5,7.4,6.80,3.1
6.5,.460,3.0,1.3,.739,1.0,53,6-2,1.9,7.0,3.19,4.2
10.7,.475,5.1,3.0,.872,2.6,116,6-3,2.2,15.0,2.25,2.9
7.8,.377,2.9,1.7,.860,1.4,34,6-4,1.3,9.6,-2.89,3.1
1.6,.311,0.5,1.1,.750,0.8,39,6-0,0.6,1.8,3.51,0.7
7.4,.494,3.6,1.6,.678,1.1,87,6-7,2.7,8.4,-1.98,5.8
