fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
3.0,.565,1.7,1.3,.585,0.8,62,6-11,2.5,4.2,6.93,3.7
6.2,.477,2.9,3.1,.709,2.2,82,6-9,,8.0,-1.02,6.5
4.9,.447,2.2,2.8,.528,1.5,19,6-8,2.6,6.0,-4.05,6.6
5.3,.550,2.9,3.1,.413,1.3,102,7-0,2.7,7.1,6.75,7.3
3.6,.323,1.1,1.2,.469,0.6,27,6-11,2.0,2.9,0.22,3.1
3.0,.342,1.0,1.4,.794,1.1,49,6-3,1.4,3.5,-0.34,1.3
0.9,.649,0.6,0.5,.526,0.3,80,7-0,1.2,1.5,6.50,1.2
1.9,.464,0.9,0.9,.548,0.5,80,7-0,1.8,2.3,1.63,3.3
4.0,.539,2.2,2.5,.592,1.5,124,7-0,2.7,5.8,6.36,5.5
6.3,.421,2.7,3.3,.664,2.2,80,6-6,2.1,8.0,1.73,3.2
3.5,.461,1.6,1.0,.581,0.6,121,6-8,2.8,3.8,10.85,3.4
4.9,.506,2.5,2.9,.641,1.9,128,7-0,3.0,6.8,6.11,6.2
1.6,.482,0.8,0.4,.357,0.1,34,6-8,2.3,1.7,-9.37,3.2
2.2,.431,0.9,0.9,.506,0.4,89,7-1,1.7,2.3,0.12,2.9
0.1,.000,0.0,0.0,,0.0,8,,0.1,0.0,8.38,0.3
0.3,.500,0.1,0.4,.375,0.1,21,7-0,1.0,0.4,2.16,0.8
1.7,.539,0.9,0.8,.543,0.4,59,6-10,1.5,2.3,0.05,1.7
2.4,.524,1.3,1.5,.442,0.7,34,6-9,1.6,3.3,4.57,2.6
2.8,.653,1.8,1.9,.664,1.3,110,7-0,2.4,5.0,4.43,3.3
2.2,.400,0.9,1.5,.526,0.8,63,6-8,2.0,2.6,8.01,4.9
0.7,.667,0.4,0.6,.800,0.4,9,6-8,0.2,1.3,1.91,1.0
7.4,.461,3.4,2.4,.847,2.0,135,6-1,1.2,9.9,1.89,2.6
2.3,.435,1.0,1.8,.646,1.2,101,6-8,1.2,3.2,-0.67,2.0
