fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
7.5,.388,2.9,1.3,.500,0.7,30,,1.4,6.5,,
13.5,.458,6.2,2.5,.642,1.6,77,6-2,1.0,14.0,-7.99,3.6
0.5,1.000,0.5,1.0,1.000,1.0,2,6-3,0.5,2.0,-8.26,0.5
2.2,.364,0.8,0.2,.000,0.0,5,,0.4,1.6,-7.20,1.8
10.3,.538,5.5,3.7,.751,2.8,124,6-5,2.4,14.4,8.60,6.4
4.6,.399,1.8,1.3,.764,1.0,54,6-6,1.3,5.5,4.63,2.8
11.3,.513,5.8,4.3,.739,3.1,117,6-8,2.1,15.5,8.91,7.0
2.6,.697,1.8,1.4,1.404,2.0,63,6-1,1.3,5.6,0.36,2.1
6.4,.422,2.7,2.5,.825,2.1,130,6-4,1.9,8.8,6.84,2.4
10.0,.371,3.7,2.8,.737,2.1,42,5-9,2.3,9.5,-0.84,1.7
0.6,.077,0.0,0.2,.750,0.1,22,,,0.2,-5.02,0.4
9.4,.309,2.9,1.7,.571,1.0,62,,2.0,6.8,5.08,4.4
6.7,.366,2.4,1.9,.826,1.6,57,6-7,1.9,8.0,-4.59,2.4
2.3,.363,0.8,0.6,.469,0.3,53,6-5,1.1,2.5,-1.35,1.7
0.4,.333,0.1,0.6,.600,0.4,8,,0.9,0.6,0.82,0.4
3.6,.561,2.0,1.0,.522,0.5,23,6-1,0.8,4.5,1.71,3.3
1.5,.667,1.0,0.8,.333,0.3,4,6-8,1.0,2.5,0.98,1.5
7.5,.342,2.6,4.3,.747,3.2,21,6-4,2.0,8.4,-0.80,7.0
1.8,.412,0.8,0.5,.357,0.2,28,,0.6,1.7,-9.29,0.9
1.6,.412,0.7,0.7,.643,0.4,21,,0.8,1.8,-3.11,0.6
1.9,.319,0.6,1.1,.410,0.4,37,6-8,1.1,1.6,-2.18,2.6
2.8,.286,0.8,1.2,.517,0.6,25,,1.4,2.2,5.44,1.2
1.0,.750,0.8,0.0,,0.0,4,,0.3,1.5,-1.95,0.3
12.9,.406,5.3,3.7,.716,2.6,74,6-3,1.8,13.1,1.40,5.7
5.1,.410,2.1,1.1,.767,0.9,102,6-9,,5.7,-2.14,2.8
4.3,.378,1.6,1.6,.725,1.1,87,6-4,2.5,5.0,-0.90,2.9
6.1,.481,2.9,2.1,.760,1.6,105,5-11,,7.4,-7.36,1.4
1.5,.381,0.6,0.8,.727,0.6,43,6-4,0.9,1.7,-1.65,0.9
9.1,.464,4.2,3.5,.664,2.3,43,6-2,2.1,10.8,1.10,3.3
9.5,.401,3.8,3.4,.824,2.8,55,5-10,1.0,10.4,-0.40,2.2
8.4,.469,3.9,2.7,.835,2.2,105,6-1,2.8,10.1,1.49,2.5
8.7,.532,4.6,5.7,.729,4.1,69,5-9,3.2,13.4,-0.90,4.4
0.5,.333,0.2,0.0,,0.0,12,,0.2,0.3,-2.19,0.6
3.4,.470,1.6,1.2,.615,0.7,45,6-0,1.1,3.9,-3.18,1.5
0.5,1.000,0.5,2.0,.750,1.5,2,6-2,0.0,2.5,4.16,1.0
1.0,.250,0.3,0.8,.667,0.5,4,6-0,0.0,1.0,2.43,
,,0.5,0.5,.615,0.3,25,,0.9,1.3,,
0.6,.250,0.1,0.1,.667,0.1,29,6-7,0.2,0.4,7.77,0.3
6.9,.471,3.3,2.3,.601,1.4,127,6-7,1.8,8.1,5.46,4.9
9.7,.423,4.1,2.4,.752,1.8,114,6-9,2.8,11.7,-1.70,4.9
2.0,.000,0.0,0.7,1.000,0.7,3,6-3,0.0,0.7,2.21,0.3
3.2,.366,1.2,2.1,.659,1.4,64,,1.3,3.7,-3.70,2.0
