fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
5.4,.516,2.8,1.8,.620,1.1,94,6-8,1.6,6.7,-10.01,4.0
4.4,.443,1.9,1.1,.720,0.8,44,6-5,1.7,4.7,-2.20,3.7
0.7,.000,0.0,0.0,,0.0,7,6-7,0.7,0.0,-1.38,0.1
3.6,.375,1.3,1.1,.623,0.7,72,6-0,1.6,3.3,5.33,1.1
14.9,.388,5.8,4.0,.875,3.5,62,6-5,3.0,18.4,-11.83,4.6
6.0,.397,2.4,2.6,.778,2.0,21,6-3,1.0,7.7,-7.36,3.1
8.2,.484,4.0,4.5,.583,2.6,112,6-5,3.0,10.5,-10.73,7.3
2.3,.500,1.2,0.4,.419,0.2,96,6-4,1.5,2.8,8.23,2.1
15.4,.445,6.9,5.0,.623,3.1,57,6-5,2.7,18.4,-10.18,7.3
2.4,.448,1.1,1.7,.596,1.0,69,6-9,1.9,3.1,0.91,2.5
1.0,.320,0.3,0.5,.615,0.3,24,6-9,0.6,1.0,8.10,1.0
3.6,.332,1.2,0.6,.844,0.5,53,6-3,,3.8,-5.07,1.5
10.9,.425,4.6,3.4,.813,2.7,27,6-2,2.2,13.7,8.37,3.4
2.1,.546,1.1,0.5,.688,0.4,62,6-7,1.3,2.7,7.69,3.5
4.4,.241,1.1,2.6,.673,1.7,19,5-9,0.9,3.8,4.21,0.5
1.4,.435,0.6,0.9,.559,0.5,66,6-9,1.5,1.7,-3.92,2.3
1.1,.491,0.5,0.7,.609,0.4,104,6-9,1.2,1.4,-3.24,2.0
5.1,.405,2.1,3.0,.515,1.5,34,5-10,1.8,5.6,0.69,0.9
2.8,.466,1.3,0.7,.545,0.4,101,6-9,2.2,3.0,-0.35,2.3
6.1,.384,2.3,1.7,.859,1.5,113,6-3,1.6,7.6,0.58,2.1
3.2,.425,1.4,0.8,.615,0.5,33,6-5,1.7,3.2,9.94,3.0
0.2,.000,0.0,0.0,,0.0,6,6-2,0.0,0.0,-2.23,0.2
1.0,.333,0.3,0.2,.500,0.1,12,6-2,0.2,1.0,3.97,0.3
5.2,.373,1.9,2.6,.646,1.7,48,6-2,2.5,5.5,7.29,4.4
9.2,.445,4.1,3.9,.786,3.1,48,6-3,3.1,11.2,-1.32,5.4
2.8,.453,1.3,1.8,.794,1.4,19,6-4,1.2,3.9,-2.74,2.2
3.1,.521,1.6,1.7,.656,1.1,54,6-7,,4.3,3.29,3.0
4.5,.337,1.5,1.5,.621,0.9,20,6-5,1.2,3.9,-5.15,1.5
