fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
4.3,.358,1.5,1.9,.602,1.2,94,6-5,1.8,4.6,-2.43,2.9
1.4,.263,0.4,0.2,.778,0.2,40,6-4,0.6,1.2,1.29,1.0
0.2,.000,0.0,0.0,,0.0,5,6-6,0.0,0.0,-2.78,0.2
9.0,.395,3.6,2.9,.779,2.3,110,6-4,1.5,10.9,7.53,2.6
6.5,.435,2.8,3.4,.659,2.2,13,6-6,2.3,8.2,-5.65,4.7
5.2,.483,2.5,2.4,.803,1.9,125,6-10,2.4,7.1,7.29,4.4
12.1,.497,6.0,3.0,.672,2.0,131,6-7,1.2,14.8,-1.63,4.3
12.0,.424,5.1,4.2,.785,3.3,58,6-2,1.9,16.2,-5.90,4.6
5.6,.561,3.1,2.1,.560,1.2,63,6-10,1.3,7.4,4.40,6.8
1.2,.485,0.6,1.0,.654,0.6,27,6-11,0.9,1.8,8.89,1.0
9.3,.364,3.4,4.9,.657,3.2,72,6-3,2.0,10.0,2.88,6.3
,,5.5,3.8,.607,2.3,28,,3.0,13.3,,
1.0,.316,0.3,0.7,.600,0.4,37,,0.5,1.1,0.55,1.1
1.7,.395,0.7,0.2,.167,0.0,25,6-7,1.2,1.4,-7.67,1.9
4.2,.462,2.0,3.4,.574,2.0,47,6-7,1.9,5.9,-3.22,4.7
4.9,.323,1.6,1.7,.621,1.1,110,6-0,1.7,4.9,2.15,1.9
5.5,.603,3.3,1.5,.400,0.6,36,6-6,2.6,7.3,-5.20,7.0
0.5,.667,0.4,0.2,.000,0.0,11,6-1,0.5,0.7,-8.20,0.5
0.6,.462,0.3,0.4,.111,0.0,22,6-4,0.7,0.6,0.38,0.9
4.6,.594,2.7,2.5,.615,1.5,78,6-8,2.6,7.0,5.46,3.8
6.0,.439,2.6,4.0,.560,2.2,117,6-9,2.0,7.5,2.59,4.4
1.6,.385,0.6,0.6,.667,0.4,16,6-0,,1.9,-0.07,0.8
3.6,.240,0.9,0.7,.800,0.6,7,6-4,0.3,2.4,4.03,0.7
8.7,.513,4.4,4.2,.649,2.7,124,6-6,3.2,12.1,-1.28,4.9
2.0,.250,0.5,1.3,.375,0.5,6,6-2,0.7,2.0,-4.63,0.7
