fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
1.8,.524,0.9,0.9,.182,0.2,12,,0.9,2.0,5.50,2.2
1.3,.457,0.6,1.5,.714,1.1,28,6-3,1.0,2.2,2.08,1.8
10.4,.431,4.5,3.4,.682,2.3,84,6-1,,11.3,4.53,4.3
0.9,.188,0.2,0.6,.909,0.6,18,6-4,0.4,0.9,-6.12,0.5
8.7,.490,4.3,2.4,.719,1.7,106,6-8,2.8,10.3,5.10,6.7
7.5,.371,2.8,1.4,.785,1.1,57,6-0,1.3,8.1,8.65,1.4
13.2,.405,5.3,2.7,.808,2.2,127,6-5,2.3,15.8,5.78,4.6
1.3,.500,0.7,0.0,,0.0,3,,1.0,1.3,3.72,1.0
11.2,.365,4.1,4.0,.825,3.3,77,,2.0,11.5,3.29,2.5
2.0,.500,1.0,0.0,,0.0,2,6-6,1.0,2.0,-6.61,0.0
4.3,.552,2.4,1.7,.576,1.0,69,6-10,2.3,5.8,-0.44,3.8
,,1.1,1.3,.621,0.8,23,,1.4,3.0,,
,,0.8,1.1,.609,0.7,21,6-1,1.6,2.2,,
1.5,.833,1.3,0.5,.500,0.3,4,6-8,0.3,2.8,0.39,2.3
3.8,.382,1.4,1.9,.454,0.8,64,6-6,1.3,3.7,0.49,2.8
5.8,.507,3.0,1.4,.550,0.8,80,6-10,2.8,6.7,-2.05,4.4
,,,,,,,,,,3.14,
12.5,.480,6.0,1.8,.739,1.3,51,6-6,3.1,13.4,-6.48,6.1
1.8,.317,0.6,0.2,.500,0.1,23,6-2,1.3,1.3,-1.75,1.0
0.2,.333,0.1,0.0,,0.0,15,6-5,0.2,0.1,-4.75,0.5
12.8,.359,4.6,3.4,.505,1.7,28,6-4,2.7,10.9,2.70,10.0
1.4,.324,0.5,0.7,.639,0.5,49,6-2,0.7,1.4,-5.81,1.1
1.1,.286,0.3,0.6,.579,0.4,31,,0.8,1.0,4.07,1.3
1.3,.571,0.8,0.6,.500,0.3,16,6-6,0.6,1.9,-4.41,0.9
1.4,.704,1.0,0.1,.000,0.0,19,6-11,0.6,2.0,1.19,1.4
3.8,.402,1.5,1.8,.682,1.2,116,6-2,1.7,4.7,2.09,2.5
10.7,.434,4.7,3.1,.671,2.1,27,6-6,3.4,11.4,1.85,7.1
7.5,.445,3.3,1.7,.689,1.2,98,6-4,2.0,7.8,1.00,2.6
0.0,,0.0,0.0,,0.0,1,6-6,1.0,0.0,0.11,0.0
7.0,.523,3.7,2.5,.731,1.8,74,6-5,,9.1,7.57,3.1
4.7,.423,2.0,2.7,.696,1.8,26,6-5,,5.8,-7.02,2.7
,,,,,,,,,,0.71,
6.1,.456,2.8,2.6,.677,1.7,98,6-8,2.9,7.3,-1.10,4.1
7.7,.479,3.7,3.2,.655,2.1,94,6-5,1.9,10.4,-1.18,4.3
4.3,.398,1.7,2.0,.670,1.3,58,5-11,,5.5,-6.65,2.2
1.5,.222,0.3,0.2,1.000,0.2,6,6-3,0.5,0.8,-4.07,1.0
0.0,,0.0,0.0,,0.0,1,6-7,0.0,0.0,-5.83,0.0
6.3,.476,3.0,2.6,.852,2.2,103,6-2,1.1,9.2,-2.22,2.0
2.7,.366,1.0,0.5,.647,0.3,37,6-3,1.4,2.6,-2.43,1.6
3.8,.418,1.6,2.0,.490,1.0,49,6-11,2.7,4.1,-6.96,3.7
3.4,.438,1.5,2.0,.734,1.5,47,6-7,2.0,4.8,7.76,3.4
4.7,.426,2.0,1.6,.600,1.0,69,6-4,1.5,5.1,-5.33,2.9
5.7,.528,3.0,3.5,.687,2.4,62,6-9,2.9,8.9,-3.41,8.3
6.5,.622,4.1,3.6,.651,2.3,122,6-5,2.4,10.5,0.96,4.1
3.6,.400,1.4,1.4,.600,0.9,7,,1.1,3.7,-7.50,1.7
8.4,.479,4.0,2.7,.757,2.0,125,6-7,2.5,10.8,-3.00,5.1
0.8,.250,0.2,0.4,.667,0.3,15,5-4,0.3,0.7,1.61,0.2
4.8,.399,1.9,2.5,.552,1.4,42,6-4,1.8,5.5,3.55,3.8
5.4,.349,1.9,1.3,.650,0.8,16,6-1,2.6,5.1,-1.58,2.1
1.3,.339,0.4,0.4,.500,0.2,46,6-7,1.3,1.1,-9.60,1.2
8.7,.386,3.4,2.3,.703,1.6,77,5-7,2.3,9.7,1.15,1.9
6.0,.601,3.6,1.8,.672,1.2,107,6-5,1.8,8.4,8.21,4.1
1.5,.490,0.8,0.9,.667,0.6,95,6-1,0.2,2.1,-6.99,0.9
11.4,.476,5.4,6.4,.718,4.6,118,6-1,3.5,15.4,4.42,3.6
9.1,.442,4.0,2.0,.779,1.5,144,6-5,2.1,11.4,9.21,5.9
0.9,.588,0.6,0.2,.333,0.1,18,6-8,1.1,1.2,-2.83,0.7
3.1,.170,0.5,1.0,.647,0.6,17,6-1,0.8,1.7,2.81,0.9
5.7,.508,2.9,2.0,.667,1.4,136,6-5,2.1,7.9,-1.25,5.2
4.0,.564,2.2,1.7,.502,0.9,131,6-8,2.1,5.4,-3.99,5.2
1.0,.400,0.4,0.2,.500,0.1,10,6-0,0.4,0.9,7.17,0.2
1.1,.441,0.5,0.4,.360,0.2,56,6-6,0.6,1.1,8.91,0.8
18.5,.515,9.5,3.8,.726,2.8,101,6-7,,21.8,-4.19,9.4
3.5,.371,1.3,1.1,.652,0.7,128,6-7,2.0,3.8,-2.52,2.6
1.0,.444,0.4,0.3,.400,0.1,18,,0.3,1.0,-7.46,0.2
0.6,.333,0.2,0.0,,0.0,5,6-0,,0.4,-6.55,0.0
,,0.7,,,0.5,6,,,1.8,-3.25,
4.5,.390,1.8,0.9,.621,0.5,34,6-2,1.2,4.1,-4.12,1.4
3.6,.373,1.3,0.5,.756,0.3,90,6-3,,3.7,4.90,0.7
0.6,.345,0.2,0.1,.750,0.1,51,6-4,0.4,0.6,8.06,0.3
5.5,.509,2.8,3.0,.652,1.9,60,6-7,2.8,7.5,-3.74,4.3
3.4,.335,1.1,1.0,.631,0.7,62,6-2,1.9,3.0,-2.98,0.8
2.9,.250,0.7,0.6,.750,0.4,7,,1.4,1.9,4.01,1.4
1.2,.400,0.5,0.3,.250,0.1,13,6-1,0.2,1.0,4.47,0.5
2.3,.333,0.8,0.5,.500,0.3,4,,0.3,1.8,2.54,
11.3,.294,3.3,3.5,.667,2.3,6,6-2,3.8,9.0,5.69,2.0
1.1,.532,0.6,0.6,.565,0.3,41,6-8,0.6,1.6,-4.70,1.0
4.1,.316,1.3,1.3,.639,0.8,57,6-1,1.6,3.8,-4.28,1.6
8.1,.390,3.1,1.3,.740,0.9,83,6-4,1.5,9.4,-4.70,1.8
0.7,.300,0.2,0.3,.750,0.2,15,6-2,1.0,0.7,1.35,0.2
2.0,.350,0.7,0.3,.571,0.2,92,6-9,1.5,1.8,-6.07,1.4
10.8,.490,5.3,4.3,.735,3.2,58,6-2,2.1,13.8,6.13,3.5
