fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
4.7,.510,2.4,2.7,.431,1.2,76,6-8,3.0,5.9,2.53,5.7
1.0,.268,0.3,0.4,.762,0.3,56,5-10,0.4,1.0,8.74,0.5
13.9,.459,6.4,3.2,.585,1.8,26,6-7,3.5,14.6,,11.6
6.7,.373,2.5,3.2,.660,2.1,78,6-5,2.6,7.1,2.10,11.1
2.8,.463,1.3,0.8,.652,0.5,29,6-5,1.5,3.7,,2.9
6.1,.355,2.2,2.5,.736,1.8,91,6-0,1.6,7.3,-5.45,1.3
6.0,.409,2.5,1.6,.594,0.9,121,6-4,1.8,6.5,5.52,3.6
1.2,.234,0.3,0.1,.400,0.0,52,6-3,0.8,0.8,-4.75,0.4
0.3,.500,0.2,0.0,,0.0,6,6-4,0.0,0.3,2.77,0.2
0.3,.000,0.0,0.0,,0.0,3,6-7,0.3,0.0,7.76,1.0
2.0,.435,0.9,0.0,1.000,0.0,34,6-3,0.1,1.8,-5.61,0.3
2.1,.378,0.8,0.8,.643,0.5,18,6-0,1.6,2.1,-7.11,0.8
4.0,.370,1.5,0.8,.750,0.6,34,6-5,1.2,4.4,-4.04,1.4
4.0,.344,1.4,2.4,.368,0.9,8,6-5,1.5,3.6,5.08,3.9
6.4,.481,3.1,2.9,.747,2.1,29,,1.4,8.3,-3.78,3.2
0.0,,0.0,0.0,,0.0,1,6-7,,0.0,-4.44,0.0
1.6,.357,0.6,0.7,.500,0.4,17,6-8,,1.5,-2.99,1.0
0.9,.429,0.4,0.5,.000,0.0,8,6-6,0.4,0.8,-3.42,0.5
4.1,.363,1.5,0.8,.625,0.5,39,6-9,0.3,4.3,-5.92,1.9
0.7,.643,0.5,0.4,.286,0.1,19,6-7,2.3,1.1,-8.48,2.1
3.4,.447,1.5,2.1,.558,1.1,96,6-7,2.6,4.1,7.84,3.4
0.9,.333,0.3,0.1,.000,0.0,7,,0.6,0.6,-4.02,1.6
1.0,.000,0.0,0.0,,0.0,1,6-6,1.0,0.0,3.73,1.0
0.0,,0.0,4.0,.500,2.0,1,5-9,0.0,2.0,-2.44,0.0
0.4,.273,0.1,0.4,.727,0.3,28,6-9,0.4,0.5,1.44,0.4
,,,,,,,,,,7.27,
1.3,.368,0.5,0.7,.455,0.3,15,6-3,,1.3,-8.07,0.9
3.7,.575,2.2,2.7,.554,1.5,71,6-10,2.9,5.8,-2.35,4.4
9.0,.491,4.4,3.0,.659,2.0,56,6-3,2.8,11.9,-3.82,2.1
0.4,.667,0.3,0.0,,0.0,7,6-5,0.1,0.6,1.52,0.3
1.2,.667,0.8,1.6,.375,0.6,5,6-11,0.6,2.2,-3.84,1.2
1.5,.396,0.6,0.9,.636,0.6,35,,2.2,1.8,-7.03,0.9
5.2,.429,2.2,2.2,.561,1.2,64,6-4,2.4,5.7,-2.22,5.8
0.0,,0.0,0.0,,0.0,2,,0.5,0.0,-4.82,0.0
3.8,.421,1.6,1.4,.626,0.9,127,6-3,1.2,4.5,10.67,2.3
1.5,.389,0.6,0.4,1.000,0.4,24,6-8,1.3,1.6,-5.66,1.6
4.0,.442,1.8,1.0,.700,0.7,51,,0.6,4.4,-2.17,2.0
8.2,.418,3.4,2.8,.835,2.3,59,5-11,1.8,10.4,1.10,2.8
7.5,.581,4.4,4.7,.693,3.2,63,6-9,2.2,12.0,1.05,6.6
4.3,.444,1.9,0.9,.646,0.6,103,6-5,1.0,4.9,-6.68,1.9
2.8,.474,1.3,0.9,.625,0.6,90,6-11,1.8,3.2,7.89,2.3
7.4,.430,3.2,3.7,.625,2.3,100,6-10,2.1,8.7,-7.44,5.9
6.1,.416,2.6,1.9,.769,1.5,27,6-0,1.3,6.6,1.32,1.7
3.1,.498,1.5,1.5,.708,1.1,71,6-8,1.8,4.2,0.94,4.1
9.8,.351,3.4,6.5,.811,5.3,98,6-4,2.5,12.7,-3.78,4.2
3.1,.500,1.5,1.4,.708,1.0,96,6-6,1.9,4.0,-2.78,2.6
10.3,.348,3.6,2.3,.679,1.6,56,6-2,2.7,8.8,-1.02,5.5
0.6,.278,0.2,0.1,.500,0.1,32,6-4,0.2,0.4,7.12,0.5
2.6,.293,0.8,0.4,.333,0.1,16,6-3,0.7,1.8,0.70,0.9
18.3,.378,6.9,5.9,.748,4.4,85,6-0,3.0,18.3,-2.92,3.0
0.3,1.000,0.3,0.5,.500,0.3,4,6-3,0.0,0.8,-2.97,0.5
1.2,.714,0.8,0.7,.750,0.5,6,6-5,0.3,2.5,-1.97,0.8
0.0,,0.0,0.3,.000,0.0,3,6-7,0.3,0.0,-9.25,0.7
5.8,.447,2.6,3.2,.658,2.1,111,6-0,1.6,7.3,-11.32,2.4
1.0,.500,0.5,0.0,,0.0,2,6-0,0.0,1.0,-1.85,1.0
6.9,.404,2.8,4.3,.690,2.9,68,6-3,3.1,8.5,1.85,6.9
1.8,.444,0.8,0.7,.643,0.4,41,6-7,1.0,2.0,-4.33,1.5
0.8,.333,0.3,1.1,.500,0.5,11,5-8,1.1,1.1,-1.38,1.0
10.9,.416,4.5,1.6,.632,1.0,36,6-2,,10.1,-5.31,
8.3,.533,4.5,2.4,.778,1.8,111,6-8,2.9,10.7,0.60,6.8
4.0,.167,0.7,0.7,.500,0.3,3,,1.7,1.7,3.13,2.0
6.4,.330,2.1,1.3,.803,1.1,53,6-0,,6.9,-5.73,1.7
1.2,.308,0.4,0.5,1.000,0.5,11,,0.5,1.2,-4.57,0.1
0.7,.667,0.4,0.2,.500,0.1,9,6-1,0.9,1.0,-2.78,0.4
10.3,.451,4.7,4.2,.720,3.0,124,6-6,2.3,13.0,2.46,5.8
3.4,.531,1.8,2.5,.728,1.8,51,6-5,1.4,5.4,5.81,2.3
0.5,.429,0.2,0.1,.000,0.0,14,6-6,0.6,0.4,-2.73,0.7
11.0,.440,4.8,3.8,.687,2.6,127,6-7,1.9,13.7,8.94,6.8
9.5,.499,4.8,3.7,.484,1.8,41,6-6,3.1,11.3,-1.84,6.1
1.5,.417,0.6,0.5,.750,0.4,8,5-11,0.5,1.9,-1.17,1.0
1.5,.350,0.5,0.6,.438,0.3,27,6-4,,1.3,-1.20,1.3
0.4,.000,0.0,0.6,.333,0.2,5,6-7,,0.2,9.13,0.6
5.1,.215,1.1,2.8,.626,1.8,32,6-3,1.9,4.0,4.10,2.6
11.7,.376,4.4,4.0,.698,2.8,71,6-5,1.7,11.5,0.44,
5.2,.446,2.3,1.7,.690,1.2,91,,1.0,5.8,-8.22,3.5
0.5,.167,0.1,0.2,.000,0.0,12,,0.2,0.2,4.69,0.6
,1.000,,,.000,,,,,,,
0.8,.357,0.3,0.5,.333,0.2,17,6-8,0.8,0.8,-3.83,1.2
0.7,.250,0.2,0.7,.750,0.5,12,6-5,0.3,0.8,2.39,1.1
6.5,.490,3.2,3.5,.710,2.5,120,6-10,2.4,8.9,8.04,7.0
,,0.5,,,0.7,6,,,1.7,,
2.5,.393,1.0,0.9,.465,0.4,97,6-2,1.1,2.5,-6.16,2.1
5.4,.533,2.9,0.9,.692,0.6,14,6-5,0.8,6.7,2.67,3.2
0.0,,0.0,0.0,,0.0,1,,0.0,0.0,-10.88,1.0
3.0,.491,1.5,0.8,.875,0.7,19,6-4,1.1,3.7,0.16,1.8
1.0,.000,0.0,1.0,1.000,1.0,2,,0.0,1.0,,0.5
5.5,.376,2.1,1.3,.612,0.8,91,6-2,2.2,5.5,1.49,1.5
,,,,,,,,,,4.11,
12.2,.443,5.4,3.2,.723,2.3,26,6-7,3.0,13.2,2.66,8.6
2.7,.271,0.7,0.5,.611,0.3,36,5-11,1.0,1.8,1.82,1.1
4.4,.393,1.7,2.6,.610,1.6,59,6-0,3.1,5.0,-1.13,3.9
16.2,.490,7.9,8.4,.749,6.3,109,6-5,,22.2,-3.13,4.8
3.8,.414,1.6,2.1,.576,1.2,56,6-9,2.8,4.4,-7.42,3.4
3.1,.424,1.3,0.9,.575,0.5,81,6-5,1.2,3.2,-2.01,1.0
0.3,.000,0.0,0.0,,0.0,9,6-2,0.0,0.0,5.60,0.1
3.7,.313,1.2,0.7,.615,0.4,40,6-2,1.1,3.5,1.49,1.5
