fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
0.4,.167,0.1,0.1,.500,0.1,15,6-8,0.2,0.3,-2.23,0.3
,,,,,,,,,,,
7.0,.398,2.8,2.0,.754,1.5,86,6-2,2.3,7.9,0.29,2.0
0.3,.500,0.2,0.0,,0.0,6,6-0,0.2,0.3,3.57,0.2
5.1,.446,2.3,2.5,.797,2.0,53,,3.1,6.5,0.83,2.2
0.3,.333,0.1,0.6,.500,0.3,10,5-11,0.4,0.5,9.97,0.3
0.6,.364,0.2,0.0,,0.0,17,6-3,0.2,0.5,-8.57,0.4
5.9,.412,2.4,2.0,.749,1.5,115,5-10,1.6,7.8,1.33,1.7
1.0,1.000,1.0,0.0,,0.0,1,6-4,0.0,2.0,-0.22,1.0
11.1,.418,4.6,2.3,.772,1.8,83,6-3,1.9,13.9,-2.76,2.7
0.0,,0.0,0.0,,0.0,8,,0.4,0.0,-4.72,0.9
0.8,.444,0.4,0.4,.750,0.3,11,6-7,1.4,1.0,6.46,1.3
5.3,.470,2.5,2.0,.679,1.3,123,6-11,2.4,6.3,3.74,6.9
7.8,.488,3.8,2.5,.630,1.5,11,6-2,2.1,10.5,-1.90,2.5
2.9,.400,1.2,0.8,.500,0.4,19,6-4,1.6,2.7,-4.07,3.7
2.0,.250,0.5,0.3,.250,0.1,16,6-1,0.3,1.1,,
0.7,.250,0.2,0.0,,0.0,6,5-11,0.0,0.3,7.14,0.0
1.8,.271,0.5,0.2,.200,0.0,27,6-8,1.3,1.2,-5.36,0.6
0.4,.286,0.1,0.2,.250,0.1,20,6-9,0.3,0.3,8.68,0.3
0.8,.167,0.1,0.5,.500,0.3,8,,0.1,0.5,6.96,0.5
8.7,.590,5.1,4.4,.751,3.3,105,6-10,2.5,13.5,-0.82,7.8
8.3,.402,3.3,3.1,.675,2.1,38,,2.0,8.8,5.76,2.1
0.9,.429,0.4,0.6,.429,0.3,24,6-2,0.6,1.0,3.52,0.5
2.6,.448,1.2,1.2,.511,0.6,81,6-9,2.4,2.9,-7.72,3.2
1.0,.459,0.5,0.8,.816,0.7,61,6-7,0.9,1.6,-1.58,1.0
2.2,.444,1.0,0.9,.575,0.5,101,6-8,1.7,2.5,6.68,2.0
4.6,.455,2.1,1.8,.728,1.3,101,6-7,2.2,5.5,2.01,3.7
0.6,.667,0.4,0.3,.500,0.1,16,6-9,0.7,0.9,12.49,0.9
,,1.6,,,2.1,7,,,5.3,,
1.0,.000,0.0,0.0,,0.0,3,6-7,0.3,0.0,-4.04,0.3
1.5,.318,0.5,0.8,.515,0.4,43,6-2,0.2,1.4,-5.02,1.0
0.0,,0.0,0.0,,0.0,3,6-7,0.3,0.0,3.46,0.0
2.5,.463,1.2,1.2,.588,0.7,43,6-10,2.4,3.0,-7.82,3.5
5.7,.453,2.6,1.8,.537,0.9,117,6-7,,6.2,0.11,4.7
2.1,.409,0.9,1.5,.667,1.0,31,6-4,0.1,2.8,-7.01,1.1
3.1,.558,1.7,0.6,.625,0.4,14,6-6,1.1,3.8,-7.89,1.6
1.2,.227,0.3,1.1,.429,0.5,19,6-2,1.2,1.1,2.02,1.6
2.1,.333,0.7,0.9,.595,0.5,41,6-4,1.1,2.0,1.63,2.0
5.4,.340,1.9,1.8,.633,1.1,27,,,5.7,-8.90,1.4
2.6,.469,1.2,2.1,.513,1.1,19,,1.9,3.5,-1.32,5.0
0.0,,0.0,1.0,.000,0.0,1,,0.0,0.0,3.25,1.0
1.1,.459,0.5,0.7,.591,0.4,33,7-0,0.7,1.5,2.04,0.8
1.0,.333,0.3,0.7,.500,0.3,3,5-11,0.0,1.3,-1.72,1.0
3.4,.421,1.4,1.7,.730,1.2,59,,1.8,4.1,-2.97,1.9
3.9,.395,1.5,0.8,.556,0.5,11,,0.6,3.5,-7.69,1.4
1.1,.368,0.4,1.2,.667,0.8,17,6-2,,1.6,-1.44,0.9
1.9,.390,0.7,1.3,.414,0.5,22,6-9,0.8,2.0,-5.61,1.4
5.4,.418,2.3,1.6,.662,1.0,97,6-7,,5.5,-1.73,3.1
6.7,.396,2.7,0.7,.632,0.5,94,6-1,1.3,6.9,-5.72,1.7
1.4,.435,0.6,0.6,.600,0.4,16,6-1,1.2,1.6,2.02,0.9
3.4,.447,1.5,1.5,.569,0.9,48,6-7,,3.9,7.47,2.6
0.1,.000,0.0,0.2,.000,0.0,9,6-0,0.1,0.0,11.13,0.2
4.0,.487,1.9,1.4,.587,0.8,100,6-5,1.4,4.7,8.04,1.3
4.1,.472,1.9,1.4,.516,0.7,44,6-6,2.5,4.6,-2.01,6.0
7.1,.474,3.4,2.0,.689,1.4,120,6-7,2.3,8.7,-5.12,4.5
9.9,.447,4.4,2.0,.760,1.5,38,6-3,2.2,10.3,-5.25,3.2
7.8,.455,3.5,3.0,.606,1.8,52,6-5,2.8,8.9,0.74,4.7
0.1,.000,0.0,0.3,.000,0.0,8,6-3,0.1,0.0,-3.91,0.4
12.4,.437,5.4,3.2,.725,2.3,16,,3.1,13.2,-7.08,2.6
2.3,.143,0.3,0.7,1.000,0.7,3,6-1,1.3,1.3,-2.89,0.3
6.1,.474,2.9,2.3,.645,1.5,55,6-5,1.9,7.4,-3.53,2.7
2.6,.424,1.1,1.1,.576,0.6,60,6-9,2.1,2.9,-4.54,3.2
5.9,.433,2.6,1.2,.769,0.9,67,6-2,1.3,7.2,0.97,1.5
1.0,.600,0.6,1.0,.600,0.6,5,6-3,1.0,1.8,0.35,1.0
0.6,.333,0.2,0.0,,0.0,14,6-3,0.4,0.6,0.00,0.0
1.1,.333,0.4,1.0,.505,0.5,103,6-8,1.7,1.2,-8.74,2.0
8.6,.397,3.4,3.1,.816,2.5,108,6-3,1.9,10.6,-4.58,2.3
0.1,3.000,0.4,0.0,,0.6,38,6-0,0.1,1.4,0.73,1.1
3.0,.338,1.0,0.9,.625,0.6,27,,1.0,2.7,-1.60,2.2
0.5,.667,0.3,0.6,.429,0.3,12,6-9,0.9,0.9,-4.64,1.0
0.0,,0.0,0.0,,0.0,3,6-4,,0.0,-2.16,0.3
13.2,.420,5.6,2.7,.778,2.1,72,6-6,3.0,13.2,-4.22,6.8
2.2,.500,1.1,0.4,.500,0.2,9,6-2,0.8,2.4,,
1.0,.500,0.5,0.2,.500,0.1,12,,0.5,1.1,4.73,1.3
1.7,.400,0.7,0.3,.000,0.0,3,,1.0,1.3,-6.48,1.0
0.3,.500,0.1,0.5,.250,0.1,8,6-6,0.3,0.4,-3.01,0.6
3.4,.059,0.2,0.0,,0.0,5,5-9,0.6,0.4,,
3.8,.454,1.7,1.7,.675,1.2,123,6-9,2.1,4.7,0.66,3.4
1.8,.355,0.6,0.4,.500,0.2,17,6-3,0.4,1.8,-5.38,0.6
4.6,.337,1.6,2.5,.570,1.4,56,6-2,2.4,4.6,5.01,3.4
4.7,.543,2.5,3.0,.505,1.5,128,6-7,3.4,6.6,-5.17,6.1
5.5,.553,3.0,3.4,.650,2.2,135,6-9,2.1,8.3,6.86,6.0
2.6,.245,0.6,1.4,.577,0.8,57,5-7,1.3,2.1,1.91,0.4
6.9,.532,3.6,4.7,.798,3.7,97,6-6,2.4,11.0,-2.59,3.1
