?Rk,Player,Class,Season,Pos,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM,Drafted
1,Anthony Davis,1,11-Dec,F,Kentucky,SEC,40,1281,35.1,0.654,0.628,11.6,25.6,19,7.5,2.5,13.7,8.6,18.8,550,139,80.7,5.9,4.1,9.9,7.8,10.8,18.7,1
2,Frank Kaminsky,4,2014-15,C,Wisconsin,Big Ten,39,1311,34.4,0.628,0.59,6,25.7,16.1,18.4,1.7,4.5,9.8,28.6,691,129.6,92.6,6.9,2.9,9.8,9.5,5.8,15.3,1
3,Kemba Walker,3,10-Nov,G,Connecticut,Big East,41,1543,29.9,0.543,0.478,3.9,11.5,7.9,28,3.1,0.5,9.5,32.4,930,121.2,98.9,7.3,2.4,9.7,10.2,2.7,12.9,1
4,Brandon Clarke,3,2018-19,F,Gonzaga,WCC,37,1040,37.2,0.699,0.693,13.9,19.6,17.1,12.3,2.3,11.3,11.3,23.9,603,137.9,84,5.5,3.2,8.8,8.9,10,18.9,1
5,Thomas Walkup,4,2015-16,G,Stephen F. Austin,Southland,34,1002,34.8,0.657,0.602,9.2,18.6,13.8,30.7,4.1,1.8,11,25.7,623,137.9,86.8,5.8,2.9,8.7,9.3,4.7,14.1,0
6,Trey Burke,2,2012-13,G,Michigan,Big Ten,39,1378,28.7,0.569,0.53,1.9,9.6,5.7,37.3,2.8,1.5,11.9,28.3,776,123.4,100,6.7,1.8,8.6,9.9,2.3,12.2,1
7,Matt Rafferty,4,2018-19,F,Furman,Southern,33,1101,34.2,0.661,0.626,9.6,21.5,15.7,25.8,4.5,3.6,13.5,23.5,612,134.4,88.3,5.6,3,8.6,6.6,6.4,13,0
8,Jimmer Fredette,4,10-Nov,G,Brigham Young,MWC,37,1323,30.9,0.594,0.533,2,8.3,5.2,28.8,2.1,0.1,12.7,37.8,986,118,100,6.6,1.9,8.5,10.2,-0.7,9.5,1
9,Jock Landale,3,2017-18,C,Saint Mary's (CA),WCC,36,1200,33.7,0.668,0.644,12.6,26.7,20.2,13.5,0.7,3.2,12.9,30.3,721,129.4,98.5,6.3,2.2,8.5,6.9,2.5,9.4,0
10,Nate Wolters,4,2012-13,G,South Dakota State,Summit,33,1256,32,0.604,0.549,3.7,15.4,9.5,34.3,2.8,0.4,11.2,29.8,750,126.9,101,7,1.6,8.5,9.3,-0.3,9,1
11,Delon Wright,4,2014-15,G,Utah,Pac-12,35,1165,29.2,0.619,0.549,4,13.7,9.3,33,4,3.2,14.2,22.8,558,129.8,87.7,5.3,3.1,8.4,8.8,7.4,16.2,1
12,Norris Cole,4,10-Nov,G,Cleveland State,Horizon,36,1285,30,0.558,0.483,2.5,16.5,9.5,37,3.7,0.3,12.2,32.1,788,117.7,92.8,5.6,2.7,8.3,8,2.7,10.7,1
13,Kenneth Faried,4,10-Nov,F,Morehead State,OVC,35,1216,34.7,0.619,0.623,20,31.4,25.6,7.4,3.4,8.8,15.8,24.5,588,121,84,4.7,3.6,8.3,4,5.9,9.9,1
14,Mike Muscala,4,2012-13,F,Bucknell,Patriot,34,1079,35.7,0.575,0.513,11.8,31.1,21.8,18.5,1,7.8,9.5,31.6,624,121,84.5,5.3,3,8.3,5.7,6,11.7,1
15,Jared Sullinger,1,10-Nov,F,Ohio State,Big Ten,37,1172,30.3,0.591,0.545,14.1,26,20.1,7.4,2,2,9.9,27,615,126,89.6,5.4,2.9,8.3,5.6,3.5,9.1,1
16,Jameel Warney,4,2015-16,F,Stony Brook,AEC,33,1086,36.4,0.634,0.63,15.3,21.4,18.4,10.6,1.7,9.7,7.8,25.6,606,132.7,88.6,5.3,2.9,8.3,5.7,5.7,11.4,0
17,Zion Williamson,1,2018-19,F,Duke,ACC,33,990,40.8,0.702,0.708,12.7,18,15.5,14.9,3.9,5.8,12.8,28.6,663,133.1,87.4,5.5,2.8,8.3,12.8,7.2,20,1
18,Ja Morant,2,2018-19,G,Murray State,OVC,33,1207,31.6,0.612,0.553,3.9,12.7,8.6,51.8,2.7,2.3,20.5,33.3,913,119.3,95.8,5.8,2.4,8.2,7.9,2,9.9,1
19,Nigel Williams-Goss,3,2016-17,G,Gonzaga,WCC,38,1248,25.2,0.594,0.533,2.2,15.7,9.8,25.6,2.9,0.2,13.1,24.6,660,122.2,86.4,4.5,3.6,8.1,6.3,5.5,11.8,1
20,Damian Lillard,3,11-Dec,G,Weber State,Big Sky,32,1105,34,0.635,0.562,1.9,15.8,9,27.1,2.5,0.7,10.7,33,746,128.4,101.6,6.7,1.4,8,10.3,-1.4,8.8,1
21,Doug McDermott,3,2012-13,F,Creighton,MVC,36,1138,32.8,0.672,0.623,7.1,22.4,15.4,12.4,0.4,0.2,13,34.3,711,124.6,98.8,6.2,1.7,7.9,9.3,-0.5,8.7,1
22,Shabazz Napier,4,2013-14,G,Connecticut,AAC,40,1404,25.5,0.591,0.517,3.4,15,9.7,30.8,3.2,1,15.8,27.5,745,118.9,94.9,4.9,3.1,7.9,8.2,4.1,12.3,1
23,Alec Peters,3,2015-16,F,Valparaiso,Horizon,37,1186,27.2,0.651,0.607,8.8,19.5,14.3,9,1.3,1,10.8,24.3,605,131.5,92.4,5.1,2.8,7.9,6.8,1.7,8.5,1
25,Derrick Williams,2,10-Nov,F,Arizona,Pac-10,38,1141,32.8,0.69,0.65,11.8,21.9,17,8.7,1.9,2.3,15.7,28.9,675,128.8,97.3,6,1.9,7.9,9.2,2.6,11.8,0
