url,name,fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
/cbb/players/menghe-anyam-1.html,Menghe a'Nyam,2.1,.414,0.9,1.2,.529,0.7,41,6-5,2.2,2.4,-4.15,3.0
/cbb/players/jordan-aaberg-1.html,Jordan Aaberg,2.3,.619,1.5,0.7,.788,0.6,115,6-9,1.6,3.5,-3.07,2.3
/cbb/players/karl-aaker-1.html,Karl Aaker,4.0,.346,1.4,0.6,.611,0.4,92,6-5,2.3,4.1,1.37,2.0
/cbb/players/steve-aaker-1.html,Steve Aaker,6.1,.415,2.5,2.3,.500,1.2,52,6-5,3.0,6.2,3.05,5.1
/cbb/players/waine-aalto-1.html,Waine Aalto,2.4,.542,1.3,1.0,.500,0.5,10,5-10,1.1,3.1,1.63,1.5
/cbb/players/mike-aaman-2.html,Mike Aaman,6.5,.473,3.1,2.8,.641,1.8,107,6-8,2.4,7.9,-2.84,5.7
/cbb/players/craig-aamot-1.html,Craig Aamot,0.9,.425,0.4,0.5,.792,0.4,45,6-2,0.2,1.3,2.02,0.8
/cbb/players/art-aaron-1.html,Art Aaron,9.9,.453,4.5,3.0,.673,2.0,108,6-8,2.4,11.1,7.74,3.5
/cbb/players/carlton-aaron-1.html,Carlton Aaron,7.3,.542,3.9,3.8,.486,1.9,93,6-9,2.8,9.8,0.32,6.9
/cbb/players/david-aaron-1.html,David Aaron,0.7,.500,0.4,0.7,.600,0.4,82,6-5,0.5,1.1,1.42,1.0
/cbb/players/jordan-aaron-1.html,Jordan Aaron,12.3,.373,4.6,3.9,.838,3.3,63,5-10,2.6,14.6,-0.35,3.3
/cbb/players/kris-aaron-1.html,Kris Aaron,0.5,.500,0.3,0.0,,0.0,4,6-5,0.8,0.5,8.86,1.3
/cbb/players/leslie-aaron-1.html,Leslie Aaron,1.2,.400,0.5,1.1,.655,0.7,26,,0.7,1.7,-3.91,1.1
/cbb/players/michael-aaron-1.html,Michael Aaron,7.5,.493,3.7,3.2,.618,2.0,64,6-5,0.0,9.4,0.10,5.0
/cbb/players/nate-aaron-1.html,Nate Aaron,1.7,.368,0.6,0.7,.875,0.6,11,6-2,,2.4,-2.07,1.3
/cbb/players/patrick-aaron-1.html,Patrick Aaron,1.6,.477,0.8,0.7,.526,0.4,28,6-5,0.4,2.0,8.72,1.1
/cbb/players/shaddean-aaron-1.html,Shaddean Aaron,8.4,.459,3.9,2.7,.745,2.0,105,6-5,,10.6,-7.85,4.0
/cbb/players/shaqquan-aaron-1.html,Shaqquan Aaron,5.0,.417,2.1,1.3,.624,0.8,127,6-7,1.6,5.7,6.66,2.7
/cbb/players/troy-aaron-1.html,Troy Aaron,6.1,.387,2.4,1.9,.642,1.2,91,6-1,2.0,6.6,-2.67,2.6
/cbb/players/joe-aase-1.html,Joe Aase,1.0,.333,0.3,0.1,.500,0.0,24,6-8,1.3,0.8,-3.73,1.0
/cbb/players/pardie-abadee-1.html,Pardie Abadee,1.0,.000,0.0,0.0,,0.0,1,6-3,0.0,0.0,-4.47,0.0
/cbb/players/brian-abadie-1.html,Brian Abadie,1.0,.000,0.0,0.0,,0.0,1,5-11,0.0,0.0,2.11,0.0
/cbb/players/ronell-abaekobe-1.html,Ronell Abaekobe,0.1,1.000,0.1,0.6,.500,0.3,7,6-6,0.1,0.6,-3.03,0.0
/cbb/players/eli-abaev-1.html,Eli Abaev,6.0,.476,2.9,3.2,.565,1.8,48,6-8,2.5,7.6,-5.64,7.6
