url,name,fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
/cbb/players/amadou-ba-1.html,Amadou Ba,0.3,.571,0.2,0.2,.250,0.0,24,6-10,0.0,0.4,6.77,0.3
/cbb/players/ba-cameron-1.html,Cameron Ba,3.9,.362,1.4,0.8,.650,0.5,24,6-3,1.1,4.4,-3.64,2.4
/cbb/players/ousmane-ba-1.html,Ousmane Ba,0.3,.167,0.1,0.4,.125,0.1,19,6-11,1.6,0.2,-3.95,1.0
/cbb/players/ousmane-ba-2.html,Ousmane Ba,0.9,.360,0.3,0.6,.375,0.2,28,,0.1,0.9,-10.64,0.9
/cbb/players/pape-ba-1.html,Pape Ba,7.5,.471,3.5,2.7,.591,1.6,87,6-8,2.5,8.7,-9.94,5.7
/cbb/players/tamsir-ba-1.html,Tamsir Ba,1.2,.469,0.5,0.3,.692,0.2,42,6-9,1.0,1.3,-0.56,1.4
/cbb/players/tom-baack-1.html,Tom Baack,15.2,.462,7.0,4.0,.832,3.3,75,6-5,2.2,17.3,2.64,5.2
/cbb/players/nana-baafi-1.html,Nana Baafi,0.4,.167,0.1,0.1,.500,0.1,15,6-7,0.6,0.2,-6.11,0.6
/cbb/players/eugene-baah-1.html,Eugene Baah,2.9,.381,1.1,0.6,.697,0.4,53,6-5,0.8,3.1,-2.49,1.7
/cbb/players/donald-bab-1.html,Donald Bab,2.4,.279,0.7,1.8,.533,1.0,59,6-4,2.2,2.3,-4.05,3.4
/cbb/players/olu-babalola-1.html,Olu Babalola,5.6,.373,2.1,2.4,.698,1.7,108,6-6,2.1,6.4,7.62,3.4
/cbb/players/chris-babb-1.html,Chris Babb,6.2,.377,2.3,1.2,.733,0.9,130,6-5,1.1,7.2,6.37,3.0
/cbb/players/fred-babb-1.html,Fred Babb,2.8,.355,1.0,2.3,.598,1.4,55,,1.6,3.4,3.46,1.5
/cbb/players/jaylen-babb-harrison-1.html,Jaylen Babb-Harrison,5.1,.402,2.1,0.9,.887,0.8,69,6-4,1.0,6.1,-3.59,2.1
/cbb/players/luke-babbitt-1.html,Luke Babbitt,13.6,.480,6.5,5.8,.893,5.2,68,6-9,2.2,19.4,1.98,8.1
/cbb/players/chris-babbs-1.html,Chris Babbs,0.7,.500,0.3,1.0,.667,0.7,3,,0.0,1.3,4.62,0.7
/cbb/players/ken-babbs-1.html,Ken Babbs,1.4,.333,0.5,0.5,.545,0.3,24,6-3,0.7,1.2,-0.52,0.8
/cbb/players/_-babbs-1.html,_ Babbs,,,2.2,,,1.3,15,,,5.7,-8.09,
/cbb/players/frank-babcock-1.html,Frank Babcock,2.2,.404,0.9,0.9,.605,0.6,47,6-1,1.1,2.3,-1.62,1.0
/cbb/players/greg-babcock-1.html,Greg Babcock,4.4,.587,2.6,3.2,.684,2.2,117,6-10,2.4,7.4,1.09,5.2
/cbb/players/hank-babcock-1.html,Hank Babcock,5.0,.350,1.8,0.8,.333,0.3,4,,0.3,3.8,0.37,0.8
/cbb/players/jerry-babcock-1.html,Jerry Babcock,2.0,.419,0.8,2.4,.528,1.3,52,6-4,2.1,3.0,2.01,3.7
/cbb/players/john-babcock-1.html,John Babcock,2.9,.304,0.9,0.0,,0.0,8,,1.4,1.8,-20.44,1.1
/cbb/players/rich-babcock-1.html,Rich Babcock,1.8,.385,0.7,1.1,.859,1.0,76,5-11,0.5,2.3,0.87,0.5
/cbb/players/tom-babcock-1.html,Tom Babcock,4.7,.475,2.2,2.2,.728,1.6,98,6-7,2.4,6.0,-6.22,2.7
/cbb/players/_-babcock-2.html,_ Babcock,,,1.1,1.1,.524,0.6,19,,1.8,2.7,,
/cbb/players/frank-baber-1.html,Frank Baber,0.0,,0.0,0.0,,0.0,1,6-6,1.0,0.0,3.43,0.0
/cbb/players/jim-babers-1.html,Jim Babers,8.5,.452,3.8,5.0,.752,3.8,90,,3.4,11.4,-8.53,4.7
/cbb/players/harvey-babetch-1.html,Harvey Babetch,7.8,.359,2.8,4.6,.676,3.1,96,,2.0,8.7,3.53,2.0
/cbb/players/frank-babic-1.html,Frank Babic,3.0,.358,1.1,1.6,.536,0.8,44,6-3,2.0,3.0,-9.68,4.3
