url,name,fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
/cbb/players/danny-faaborg-1.html,Danny Faaborg,3.4,.386,1.3,0.7,.720,0.5,115,6-5,,3.9,-2.00,1.7
/cbb/players/_-fabain-2.html,_ Fabain,,,5.5,6.0,.639,3.8,6,,5.8,14.8,-6.74,
/cbb/players/al-faber-1.html,Al Faber,10.5,.459,4.8,3.8,.650,2.4,79,6-10,3.4,12.1,-5.77,10.3
/cbb/players/bob-faber-1.html,Bob Faber,0.2,4.750,1.1,0.2,.750,0.2,17,,0.4,2.4,3.13,
/cbb/players/dennis-faber-1.html,Dennis Faber,0.9,.000,0.0,0.2,.667,0.2,13,,0.0,0.2,2.59,0.2
/cbb/players/krys-faber-1.html,Krys Faber,3.0,.491,1.5,1.5,.642,0.9,119,6-10,2.4,3.9,6.64,3.7
/cbb/players/patrick-faber-1.html,Patrick Faber,3.4,.511,1.7,2.3,.781,1.8,28,6-6,2.2,5.2,-6.74,2.3
/cbb/players/paul-faber-1.html,Paul Faber,0.7,.500,0.3,0.8,.857,0.7,9,6-9,,1.3,-8.09,1.3
/cbb/players/tom-faber-1.html,Tom Faber,8.9,.525,4.7,2.4,.636,1.5,53,6-10,1.8,10.9,-7.82,5.4
/cbb/players/al-fabian-1.html,Al Fabian,4.8,.340,1.6,1.7,.471,0.8,30,,2.4,4.1,,
/cbb/players/bud-fabian-1.html,Bud Fabian,1.2,.455,0.6,0.6,.600,0.3,9,,0.4,1.4,-1.25,0.7
/cbb/players/chris-fabian-1.html,Chris Fabian,0.9,.333,0.3,0.7,.556,0.4,13,,0.3,1.0,4.09,0.4
/cbb/players/joe-fabian-1.html,Joe Fabian,1.8,.421,0.8,2.2,.535,1.2,32,6-7,1.1,2.7,2.19,2.1
/cbb/players/michael-fabiyi-1.html,Michael Fabiyi,0.9,.533,0.5,0.5,.667,0.4,17,6-3,0.4,1.3,-6.21,0.7
/cbb/players/tony-fabozzi-1.html,Tony Fabozzi,,,0.9,1.0,.640,0.7,24,5-8,0.5,2.5,,
/cbb/players/_-fabozzi-1.html,_ Fabozzi,,,3.3,2.4,.606,1.4,28,,1.5,8.1,,
/cbb/players/brian-fabre-1.html,Brian Fabre,0.3,.500,0.2,0.0,,0.0,6,5-10,0.0,0.3,-5.66,0.2
/cbb/players/brian-fabrizius-1.html,Brian Fabrizius,0.2,.500,0.1,0.0,,0.0,9,6-11,0.2,0.3,-1.32,0.0
/cbb/players/luke-fabrizius-1.html,Luke Fabrizius,4.2,.384,1.6,0.3,.613,0.2,116,6-9,1.2,4.7,3.72,1.5
/cbb/players/kentan-facey-1.html,Kentan Facey,3.5,.515,1.8,1.3,.698,0.9,123,6-9,2.1,4.6,6.43,4.6
/cbb/players/jordan-faciane-1.html,Jordan Faciane,1.7,.364,0.6,0.4,.800,0.3,13,6-2,0.5,1.8,-6.06,1.2
/cbb/players/fred-facka-1.html,Fred Facka,0.7,.323,0.2,0.2,.500,0.1,47,6-4,0.6,0.5,2.96,0.6
/cbb/players/bill-fackler-1.html,Bill Fackler,1.0,.222,0.2,0.4,.750,0.3,9,6-4,0.4,0.8,-1.07,0.6
/cbb/players/ray-faczan-1.html,Ray Faczan,6.9,.443,3.0,2.7,.570,1.5,66,,2.6,7.6,-11.63,6.5
/cbb/players/austin-fadal-1.html,Austin Fadal,3.7,.297,1.1,0.6,.625,0.4,27,6-4,1.2,2.9,-3.09,1.3
/cbb/players/mike-fadden-1.html,Mike Fadden,7.1,.354,2.5,2.0,.640,1.3,55,,2.2,6.3,-7.76,5.8
/cbb/players/reid-fader-1.html,Reid Fader,1.9,.321,0.6,1.3,.411,0.5,42,6-0,0.8,1.7,-5.85,1.4
/cbb/players/lewis-fadipe-1.html,Lewis Fadipe,1.9,.486,0.9,1.3,.500,0.6,93,6-10,2.2,2.5,1.87,2.8
/cbb/players/mike-faer-1.html,Mike Faer,1.9,.323,0.6,0.5,.600,0.3,33,6-0,1.2,1.5,2.00,0.7
/cbb/players/george-faerber-1.html,George Faerber,7.8,.584,4.6,3.6,.686,2.4,77,6-5,3.3,11.6,5.97,8.4
