url,name,fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
/cbb/players/arnie-gaarde-1.html,Arnie Gaarde,3.4,.405,1.4,1.5,.593,0.9,39,5-10,1.1,3.6,3.35,1.3
/cbb/players/john-gaball-1.html,John Gaball,0.8,.417,0.3,2.0,.750,1.5,16,5-11,0.6,2.1,,0.7
/cbb/players/chris-gabbard-1.html,Chris Gabbard,0.6,.214,0.1,0.4,.900,0.4,24,6-3,0.3,0.8,2.81,0.4
/cbb/players/hugh-gabbard-1.html,Hugh Gabbard,7.0,.404,2.8,3.0,.672,2.0,21,6-5,2.4,7.7,2.09,6.4
/cbb/players/mike-gabbard-1.html,Mike Gabbard,0.2,.500,0.1,0.2,.500,0.1,12,6-0,0.3,0.3,-3.15,0.0
/cbb/players/stephen-gabbard-1.html,Stephen Gabbard,2.3,.250,0.6,0.3,1.000,0.3,7,6-4,0.7,1.6,-5.18,1.0
/cbb/players/scott-gabbert-1.html,Scott Gabbert,1.1,.286,0.3,0.2,1.000,0.2,19,6-3,0.3,1.1,0.43,0.2
/cbb/players/j-gabbey-1.html,J. Gabbey,6.0,.273,1.6,3.2,.514,1.6,22,6-5,2.9,4.9,0.45,5.7
/cbb/players/john-gabbey-1.html,John Gabbey,2.1,.250,0.5,0.6,.400,0.2,17,6-5,0.8,1.3,-0.95,2.3
/cbb/players/jalen-gabbidon-1.html,Jalen Gabbidon,4.3,.423,1.8,1.6,.763,1.2,61,6-5,2.3,5.6,-0.37,3.0
/cbb/players/travis-gabbidon-1.html,Travis Gabbidon,10.4,.408,4.2,4.8,.716,3.5,46,6-7,2.1,13.0,-3.56,6.2
/cbb/players/jim-gabel-1.html,Jim Gabel,0.0,,0.0,0.0,,0.0,2,,1.0,0.0,2.67,2.0
/cbb/players/isaiah-gable-1.html,Isaiah Gable,5.1,.419,2.1,1.0,.726,0.7,76,6-7,1.9,6.2,-4.85,2.5
/cbb/players/james-gabler-1.html,James Gabler,5.3,.341,1.8,2.0,.718,1.4,62,6-1,1.7,5.1,-0.06,
/cbb/players/randy-gabler-1.html,Randy Gabler,2.3,.408,0.9,0.8,.558,0.4,56,6-9,1.9,2.4,-6.41,1.9
/cbb/players/bill-gabor-1.html,Bill Gabor,,,5.6,5.9,.652,3.8,23,,3.4,15.0,,
