url,name,fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
/cbb/players/roland-horvath-1.html,Roland H'Orvath,5.1,.503,2.6,2.5,.649,1.6,62,6-4,2.7,6.8,2.21,3.3
/cbb/players/hal-haabestad-1.html,Hal Haabestad,21.9,.324,7.1,8.4,.699,5.8,25,6-1,2.0,20.0,-2.27,
/cbb/players/kevin-haadtvedt-1.html,Kevin Haadtvedt,0.5,.200,0.1,0.3,1.000,0.3,10,,0.6,0.5,3.66,1.0
/cbb/players/dick-haag-1.html,Dick Haag,8.4,.457,3.8,4.7,.574,2.7,80,6-4,2.0,10.4,2.51,9.7
/cbb/players/ed-haag-1.html,Ed Haag,,,2.4,2.4,.731,1.8,69,6-3,2.6,6.6,0.09,
/cbb/players/_-haag-1.html,_ Haag,1.9,.615,1.1,0.3,.500,0.1,7,,1.1,3.9,-1.08,0.3
/cbb/players/brian-haak-1.html,Brian Haak,0.8,.352,0.3,0.3,.737,0.2,65,6-0,0.6,1.0,4.04,0.6
/cbb/players/bill-haaker-1.html,Bill Haaker,2.3,.198,0.5,0.4,.529,0.2,39,6-2,0.9,1.2,2.07,1.1
/cbb/players/dale-haaland-1.html,Dale Haaland,6.6,.572,3.8,4.1,.596,2.4,56,6-8,3.1,10.0,-2.00,6.7
/cbb/players/samuel-haanpaa-1.html,Samuel Haanpaa,7.5,.437,3.3,2.7,.760,2.1,54,6-8,1.4,11.1,-0.01,3.4
/cbb/players/jeff-haar-1.html,Jeff Haar,6.9,.474,3.3,3.5,.672,2.3,97,6-4,0.5,9.0,-1.41,4.0
/cbb/players/bill-haarlow-1.html,Bill Haarlow,6.3,.436,2.7,2.3,.771,1.7,31,6-3,1.8,7.2,-5.89,6.0
/cbb/players/bob-haarlow-1.html,Bob Haarlow,8.3,.461,3.8,2.3,.633,1.5,103,6-2,2.4,9.1,-4.32,4.6
/cbb/players/bob-haarlow-2.html,Bob Haarlow,5.3,.244,1.3,1.8,.673,1.2,30,6-5,1.2,3.8,,
/cbb/players/john-haarlow-1.html,John Haarlow,10.6,.489,5.2,3.0,.742,2.2,76,6-7,1.6,12.6,-1.50,7.3
/cbb/players/dale-haarman-1.html,Dale Haarman,11.3,.465,5.2,4.3,.749,3.2,54,6-6,2.3,13.7,2.41,6.1
/cbb/players/joe-haarman-1.html,Joe Haarman,0.0,,0.0,0.0,,0.0,1,6-7,1.0,0.0,9.81,2.0
/cbb/players/matt-haarms-1.html,Matt Haarms,5.7,.572,3.3,2.3,.674,1.5,127,7-3,2.3,8.2,9.68,4.5
/cbb/players/james-haarsma-1.html,James Haarsma,6.2,.487,3.0,3.0,.706,2.1,118,6-7,2.8,8.6,0.98,5.3
/cbb/players/anders-haas-1.html,Anders Haas,2.5,.340,0.9,0.6,.846,0.5,21,6-1,0.5,3.0,-5.22,0.6
/cbb/players/august-haas-1.html,August Haas,4.3,.383,1.6,1.3,.534,0.7,67,6-1,2.3,4.5,-3.21,2.4
/cbb/players/bob-haas-1.html,Bob Haas,1.3,.348,0.4,0.4,.571,0.2,18,,0.4,1.1,2.35,0.5
/cbb/players/david-haas-1.html,David Haas,3.3,.368,1.2,1.0,.750,0.8,50,5-10,1.7,3.2,-5.61,1.1
/cbb/players/isaac-haas-1.html,Isaac Haas,6.9,.589,4.0,4.5,.689,3.1,139,7-2,2.1,11.2,8.15,4.6
/cbb/players/jason-haas-1.html,Jason Haas,1.6,.301,0.5,0.7,.879,0.7,122,6-2,0.9,1.7,7.26,0.8
/cbb/players/mitch-haas-1.html,Mitch Haas,1.2,.513,0.6,0.4,.640,0.3,63,6-7,0.5,1.6,8.57,0.5
/cbb/players/richard-haas-1.html,Richard Haas,2.0,.500,1.0,0.8,.556,0.4,12,,1.1,2.4,-7.96,1.0
/cbb/players/tom-haas-1.html,Tom Haas,0.5,.500,0.3,0.0,,0.0,4,6-0,0.8,0.5,6.54,0.8
/cbb/players/bronson-haase-1.html,Bronson Haase,,,,,,,,,,,4.11,
/cbb/players/dale-haase-1.html,Dale Haase,3.8,.352,1.3,0.8,.639,0.5,43,,1.9,3.2,3.71,2.4
/cbb/players/don-haase-1.html,Don Haase,9.1,.404,3.7,6.2,.585,3.6,82,6-5,3.4,11.0,3.69,11.5
/cbb/players/felipe-haase-1.html,Felipe Haase,6.8,.444,3.0,1.6,.763,1.2,107,6-9,2.2,8.7,4.09,5.1
/cbb/players/jerod-haase-1.html,Jerod Haase,8.3,.422,3.5,3.9,.736,2.9,131,6-3,1.5,11.3,8.12,3.3
/cbb/players/john-haase-1.html,John Haase,7.9,.448,3.5,1.6,.701,1.1,80,6-4,0.8,9.2,-5.18,2.5
/cbb/players/steve-haase-1.html,Steve Haase,3.2,.384,1.2,1.8,.800,1.4,62,6-4,1.0,4.2,1.50,1.4
/cbb/players/ziga-habat-1.html,Ziga Habat,0.2,1.000,0.2,0.4,1.000,0.4,5,6-4,0.4,0.8,-5.26,0.2
/cbb/players/mansa-habeeb-1.html,Mansa Habeeb,3.2,.446,1.4,2.3,.691,1.6,58,6-3,1.8,4.6,-0.05,1.7
/cbb/players/quadir-habeeb-1.html,Quadir Habeeb,3.4,.401,1.4,0.9,.423,0.4,55,6-10,2.2,3.1,-3.09,2.8
/cbb/players/larry-habegger-1.html,Larry Habegger,3.4,.412,1.4,1.6,.683,1.1,79,6-7,2.5,3.8,4.14,3.5
/cbb/players/rich-habegger-1.html,Rich Habegger,4.4,.481,2.1,2.5,.595,1.5,62,6-6,2.8,5.7,6.42,5.9
/cbb/players/jerome-habel-1.html,Jerome Habel,7.9,.596,4.7,2.7,.526,1.4,29,6-10,2.2,10.9,3.90,6.2
/cbb/players/mark-habell-1.html,Mark Habell,1.4,.091,0.1,1.5,.583,0.9,8,,1.4,1.1,-1.36,1.8
/cbb/players/kyle-haber-1.html,Kyle Haber,1.9,.375,0.7,0.6,.591,0.4,37,6-7,0.6,2.2,-2.96,1.2
/cbb/players/fred-haberecht-1.html,Fred Haberecht,7.3,.443,3.2,2.2,.656,1.4,43,6-8,2.1,7.9,7.13,6.3
/cbb/players/brian-haberer-1.html,Brian Haberer,1.3,.200,0.3,0.1,.000,0.0,16,6-3,0.0,0.6,7.28,0.6
/cbb/players/miles-haberer-1.html,Miles Haberer,0.0,,0.0,0.0,,0.0,4,6-0,0.0,0.0,3.03,0.0
/cbb/players/joe-haberl-1.html,Joe Haberl,2.0,.208,0.4,1.9,.609,1.2,12,6-3,1.0,2.0,-5.32,3.0
/cbb/players/john-haberle-1.html,John Haberle,2.3,.443,1.0,1.0,.357,0.4,27,,2.1,2.4,,
/cbb/players/norman-habermann-1.html,Norman Habermann,1.7,.229,0.4,0.7,.368,0.2,29,6-1,0.5,1.0,-2.76,1.2
/cbb/players/xavier-habersham-1.html,Xavier Habersham,3.3,.436,1.5,0.5,.632,0.3,70,6-6,1.6,4.1,-0.59,1.6
/cbb/players/terry-habig-1.html,Terry Habig,11.6,.521,6.0,4.3,.811,3.5,73,6-2,3.0,15.6,-0.01,3.7
/cbb/players/omar-habwe-1.html,Omar Habwe,4.8,.411,2.0,2.0,.727,1.5,123,6-6,1.8,6.2,-5.19,3.3
/cbb/players/mohamed-hachad-1.html,Mohamed Hachad,6.9,.471,3.2,2.2,.547,1.2,111,6-5,2.4,8.3,6.29,3.8
/cbb/players/rui-hachimura-1.html,Rui Hachimura,7.8,.579,4.5,3.7,.746,2.8,102,6-8,1.6,12.1,3.91,4.4
/cbb/players/bob-hachman-1.html,Bob Hachman,2.6,.423,1.1,0.7,.500,0.4,37,6-7,1.6,2.6,2.75,2.5
/cbb/players/dale-hackbart-1.html,Dale Hackbart,5.1,.294,1.5,2.3,.435,1.0,10,6-2,1.8,4.0,7.87,3.5
/cbb/players/kris-hackbusch-1.html,Kris Hackbusch,1.3,.207,0.3,0.2,.250,0.0,22,6-4,0.0,0.6,1.02,0.3
/cbb/players/albert-hacker-1.html,Albert Hacker,7.4,.530,3.9,2.7,.630,1.7,27,6-10,3.3,9.6,-4.52,5.2
/cbb/players/jerry-hacker-1.html,Jerry Hacker,2.0,.591,1.2,2.6,.986,2.6,56,6-1,1.1,4.9,2.30,3.2
/cbb/players/brent-hackett-1.html,Brent Hackett,8.1,.360,2.9,2.3,.703,1.6,122,6-3,2.0,9.0,2.20,1.8
/cbb/players/daniel-hackett-1.html,Daniel Hackett,5.9,.435,2.6,3.6,.775,2.8,101,6-5,2.4,8.7,8.54,3.6
/cbb/players/drew-hackett-1.html,Drew Hackett,1.7,.222,0.4,0.7,.667,0.5,21,6-2,0.9,1.4,-0.81,0.8
/cbb/players/dwayne-hackett-1.html,Dwayne Hackett,6.1,.372,2.3,1.2,.732,0.9,59,6-1,0.4,7.4,7.59,1.4
/cbb/players/lewis-hackett-1.html,Lewis Hackett,0.8,.000,0.0,0.0,,0.0,4,,0.0,0.0,2.89,0.0
/cbb/players/mark-hackett-1.html,Mark Hackett,6.7,.405,2.7,1.2,.770,0.9,50,6-1,1.3,6.3,2.46,2.4
/cbb/players/mike-hackett-1.html,Mike Hackett,10.8,.549,5.9,5.1,.603,3.0,101,6-5,2.5,14.9,0.12,8.5
/cbb/players/mike-hackett-2.html,Mike Hackett,5.4,.422,2.3,1.6,,,27,6-6,3.3,,,8.2
/cbb/players/richard-hackett-1.html,Richard Hackett,6.1,.400,2.5,2.2,.779,1.7,40,6-2,2.6,6.6,-2.36,3.0
/cbb/players/rudy-hackett-1.html,Rudy Hackett,12.4,.551,6.8,5.4,.654,3.5,87,6-9,2.8,17.2,-0.99,11.4
/cbb/players/_-hackett-1.html,_ Hackett,1.0,.000,0.0,3.0,1.000,3.0,1,,0.0,2.0,-12.24,0.0
/cbb/players/landon-hackim-1.html,Landon Hackim,9.8,.424,4.2,2.4,.794,1.9,119,5-10,1.2,12.5,0.48,1.4
