url,name,fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
/cbb/players/ibrahim-jaaber-1.html,Ibrahim Jaaber,9.8,.497,4.9,3.5,.700,2.5,114,6-2,2.1,13.3,-2.01,3.8
/cbb/players/jacob-jaacks-1.html,Jacob Jaacks,6.4,.486,3.1,4.4,.617,2.7,60,6-8,3.2,9.5,11.63,5.8
/cbb/players/tuukka-jaakkola-1.html,Tuukka Jaakkola,3.6,.497,1.8,1.8,.615,1.1,89,6-10,2.1,4.7,-2.18,2.6
/cbb/players/mark-jaakson-1.html,Mark Jaakson,0.6,.222,0.1,0.3,1.000,0.3,14,6-8,0.6,0.7,-2.25,0.4
/cbb/players/s-jabali-1.html,S Jabali,0.6,.333,0.2,1.6,.625,1.0,5,,0.2,1.6,4.86,0.2
/cbb/players/artan-jabbar-1.html,Artan Jabbar,1.4,.154,0.2,0.2,.000,0.0,9,5-11,0.0,0.7,-2.79,0.4
/cbb/players/ishaq-jabbar-1.html,Ishaq Jabbar,1.5,.000,0.0,0.0,,0.0,2,6-0,0.0,0.0,-12.46,0.0
/cbb/players/mahamoud-jabbi-1.html,Mahamoud Jabbi,6.9,.480,3.3,1.3,.738,1.0,62,6-7,2.8,8.1,-4.83,7.3
/cbb/players/ishmail-jabbie-1.html,Ishmail Jabbie,1.5,.433,0.7,0.9,.711,0.6,44,6-3,0.7,2.1,-5.53,0.9
/cbb/players/david-jabedo-1.html,David Jabedo,0.5,.250,0.1,0.3,1.000,0.3,8,6-4,0.6,0.5,-2.80,0.4
/cbb/players/john-jablonski-1.html,John Jablonski,3.4,.494,1.7,1.3,.581,0.7,74,6-8,1.8,4.1,-2.80,3.4
/cbb/players/mark-jablonski-1.html,Mark Jablonski,0.7,.375,0.3,0.5,.333,0.2,12,,0.4,0.7,-4.22,1.0
/cbb/players/khari-jabrielallen-1.html,Khari Jabriel Allen,5.9,.291,1.7,1.5,.816,1.2,33,6-4,1.8,5.7,-8.79,1.6
/cbb/players/al-jabs-1.html,Al Jabs,3.2,.281,0.9,1.3,.538,0.7,10,,1.9,2.5,-3.57,3.9
/cbb/players/mike-jaccar-1.html,Mike Jaccar,10.1,.433,4.4,2.6,.732,1.9,43,6-1,2.7,10.6,-0.66,3.0
/cbb/players/boban-jacdonmi-1.html,Boban Jacdonmi,3.3,.524,1.8,1.5,.639,0.9,49,6-9,1.7,4.4,0.76,2.9
/cbb/players/jim-jachym-1.html,Jim Jachym,1.1,.308,0.3,0.3,1.000,0.3,12,,0.4,1.0,-8.91,0.5
/cbb/players/vlad-jacimovic-1.html,Vlad Jacimovic,0.5,.000,0.0,1.3,.200,0.3,4,,0.3,0.3,3.36,1.0
/cbb/players/aaron-jack-1.html,Aaron Jack,4.4,.548,2.4,2.9,.635,1.8,90,6-8,3.1,6.7,4.61,5.4
/cbb/players/bobby-jack-3.html,Bobby Jack,12.1,.487,5.9,4.3,.747,3.2,81,6-5,2.2,15.0,2.32,5.8
/cbb/players/dick-jack-2.html,Dick Jack,4.5,.413,1.9,1.9,.674,1.3,23,6-4,1.4,5.0,-11.77,5.0
/cbb/players/donovon-jack-1.html,Donovon Jack,3.5,.465,1.6,1.4,.634,0.9,117,6-9,2.6,4.5,7.64,2.8
/cbb/players/fabian-jack-1.html,Fabian Jack,6.8,.368,2.5,4.2,.646,2.7,50,5-11,,8.3,-8.14,2.5
/cbb/players/greg-jack-4.html,Greg Jack,1.6,.439,0.7,0.6,.625,0.4,42,6-6,0.8,1.7,5.66,1.5
/cbb/players/jalen-jack-4.html,Jalen Jack,1.5,.333,0.5,0.0,,0.0,2,6-4,0.5,1.0,4.31,0.5
/cbb/players/jarrett-jack-1.html,Jarrett Jack,8.4,.478,4.0,4.5,.796,3.6,101,6-3,2.0,12.5,9.64,4.5
/cbb/players/jimmy-jack-1.html,Jimmy Jack,4.6,.366,1.7,3.3,.655,2.2,50,6-0,,5.8,-12.33,1.9
/cbb/players/joseph-jack-1.html,Joseph Jack,3.5,.409,1.4,2.1,.665,1.4,97,6-9,,4.4,-11.84,3.7
/cbb/players/kadeem-jack-1.html,Kadeem Jack,8.1,.455,3.7,3.0,.633,1.9,111,6-9,2.3,9.4,6.61,5.3
/cbb/players/maceo-jack-1.html,Maceo Jack,7.7,.405,3.1,1.4,.864,1.2,107,6-5,1.7,9.1,0.92,2.7
/cbb/players/mateo-jack-1.html,Mateo Jack,0.3,.000,0.0,0.0,,0.0,3,6-2,0.3,0.0,-0.50,0.3
/cbb/players/nathanael-jack-1.html,Nathanael Jack,2.8,.376,1.1,0.3,.667,0.2,39,6-5,0.9,3.1,5.06,0.7
