url,name,fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
/cbb/players/amath-mbaye-1.html,Amath M'Baye,8.0,.468,3.7,3.0,.660,2.0,84,6-9,2.7,9.7,4.75,4.9
/cbb/players/chien-hao-ma-1.html,Chien-Hao Ma,1.9,.462,0.9,0.3,.000,0.0,7,6-7,0.3,2.3,-0.24,0.9
/cbb/players/kane-ma-1.html,Kane Ma,0.3,.333,0.1,0.0,,0.0,12,6-0,0.0,0.2,11.78,0.1
/cbb/players/harvey-maack-1.html,Harvey Maack,9.4,.422,4.0,3.3,.686,2.3,32,5-11,2.4,10.2,-3.92,2.9
/cbb/players/richard-maack-1.html,Richard Maack,8.2,.299,2.5,2.0,.851,1.7,24,,1.2,6.6,-0.80,2.5
/cbb/players/charlese-maag-1.html,Charlese Maag,11.7,.440,5.2,2.0,.780,1.5,42,6-4,0.5,13.8,2.65,3.7
/cbb/players/ryan-maag-1.html,Ryan Maag,1.0,.000,0.0,0.0,,0.0,1,6-0,0.0,0.0,3.62,0.0
/cbb/players/charles-maas-1.html,Charles Maas,7.8,.339,2.7,2.2,.684,1.5,43,6-1,2.3,6.8,,
/cbb/players/ryan-maas-1.html,Ryan Maas,1.2,.321,0.4,0.1,.667,0.1,24,6-1,0.1,1.0,-2.79,0.5
/cbb/players/chase-maasdorp-1.html,Chase Maasdorp,0.4,.286,0.1,0.3,.200,0.1,19,6-0,0.2,0.3,8.99,0.2
/cbb/players/craig-maass-1.html,Craig Maass,4.2,.479,2.0,1.5,.519,0.8,86,6-5,0.2,4.8,-1.36,1.8
/cbb/players/tom-maayan-1.html,Tom Maayan,1.9,.361,0.7,0.7,.414,0.3,43,6-2,2.1,1.9,5.76,1.6
/cbb/players/nick-mabbutt-1.html,Nick Mabbutt,2.1,.294,0.6,0.5,.000,0.0,8,6-10,1.8,1.8,-2.88,2.1
/cbb/players/mike-maben-1.html,Mike Maben,1.0,.348,0.4,0.3,.833,0.2,22,,0.2,1.0,0.35,0.6
/cbb/players/ron-maben-1.html,Ron Maben,5.8,.603,3.5,1.5,.702,1.1,56,6-6,2.4,8.1,-2.09,5.5
/cbb/players/scott-mabey-1.html,Scott Mabey,1.5,.318,0.5,0.8,.708,0.6,29,6-8,0.1,1.3,3.75,1.3
/cbb/players/leroy-mabins-1.html,Leroy Mabins,0.6,.320,0.2,0.4,.333,0.1,40,6-9,0.4,0.5,3.29,0.8
/cbb/players/tony-mabrey-1.html,Tony Mabrey,2.5,.407,1.0,0.3,.667,0.2,11,6-3,0.3,2.2,-0.29,0.5
/cbb/players/guy-mabry-1.html,Guy Mabry,2.1,.841,1.8,1.2,.417,0.5,30,6-0,1.1,4.0,2.13,
/cbb/players/halsey-mabry-1.html,Halsey Mabry,1.5,.592,0.9,1.0,.574,0.6,46,6-8,1.1,2.4,-4.50,1.3
/cbb/players/thomas-mabry-1.html,Thomas Mabry,1.1,.400,0.4,0.9,.727,0.6,37,5-11,0.8,1.5,8.32,0.3
/cbb/players/nehemiah-mabson-1.html,Nehemiah Mabson,3.3,.412,1.4,1.5,.489,0.7,31,6-6,2.3,3.8,-5.30,1.7
