url,name,fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
/cbb/players/chase-paar-1.html,Chase Paar,3.7,.542,2.0,1.5,.615,0.9,51,6-9,2.3,5.0,-0.68,4.4
/cbb/players/derek-paben-1.html,Derek Paben,3.4,.418,1.4,0.8,.833,0.6,16,6-7,1.3,4.5,2.51,0.9
/cbb/players/carl-pacacha-1.html,Carl Pacacha,8.9,.396,3.5,1.9,.647,1.2,27,6-0,1.7,8.3,3.86,2.4
/cbb/players/bob-pace-1.html,Bob Pace,5.5,.473,2.6,1.6,.649,1.0,47,6-0,1.9,6.3,-3.87,2.1
/cbb/players/carryl-pace-1.html,Carryl Pace,1.4,.455,0.6,0.8,.667,0.5,8,,1.1,1.8,-5.62,1.6
/cbb/players/curtis-pace-1.html,Curtis Pace,5.4,.447,2.4,1.4,.541,0.7,54,6-5,2.3,5.6,-4.87,4.8
/cbb/players/darrell-pace-1.html,Darrell Pace,1.2,.286,0.3,0.6,.600,0.3,18,6-3,0.6,1.0,-8.05,0.7
/cbb/players/darryl-pace-1.html,Darryl Pace,2.5,.480,1.2,0.2,.500,0.1,10,6-9,1.3,2.5,-1.54,1.6
/cbb/players/denny-pace-1.html,Denny Pace,5.3,.401,2.1,1.8,.664,1.2,65,6-4,2.1,5.4,5.50,3.0
/cbb/players/dick-pace-1.html,Dick Pace,,,1.0,0.0,,0.0,4,,0.3,2.0,,
/cbb/players/gene-pace-1.html,Gene Pace,1.2,.529,0.6,0.3,.500,0.1,14,6-7,0.8,1.4,2.19,1.1
/cbb/players/jeremy-pace-1.html,Jeremy Pace,0.0,,0.0,0.4,.000,0.0,5,,0.0,0.0,-7.82,0.4
/cbb/players/joe-pace-1.html,Joe Pace,11.0,.508,5.6,4.4,.644,2.8,60,,,14.0,-3.20,12.6
/cbb/players/josh-pace-1.html,Josh Pace,6.2,.529,3.3,1.3,.506,0.7,129,6-5,1.4,7.3,7.34,3.8
/cbb/players/keegan-pace-1.html,Keegan Pace,0.2,.000,0.0,0.0,,0.0,5,6-0,0.0,0.0,-0.44,0.2
/cbb/players/lester-pace-1.html,Lester Pace,4.5,.464,2.1,1.5,.550,0.8,98,6-7,2.4,5.0,5.31,4.3
/cbb/players/mark-pace-1.html,Mark Pace,1.8,.286,0.5,0.0,,0.0,4,,0.3,1.0,7.86,1.0
/cbb/players/matt-pace-1.html,Matt Pace,0.4,.333,0.1,0.0,,0.0,8,5-10,0.6,0.4,-1.04,0.3
/cbb/players/nick-pace-1.html,Nick Pace,2.7,.446,1.2,1.3,.663,0.9,69,6-10,,3.2,-0.37,2.0
/cbb/players/preston-pace-1.html,Preston Pace,4.1,.532,2.2,2.4,.466,1.1,31,6-5,1.6,5.4,1.24,4.3
/cbb/players/rashad-pace-1.html,Rashad Pace,0.9,.667,0.6,0.3,.000,0.0,7,6-1,0.1,1.3,-0.31,0.4
/cbb/players/scott-pace-1.html,Scott Pace,0.5,.429,0.2,0.3,.250,0.1,15,5-11,0.5,0.5,-5.92,0.8
/cbb/players/terrance-pace-1.html,Terrance Pace,1.9,.404,0.8,1.2,.625,0.8,60,6-7,1.6,2.3,-8.37,2.0
/cbb/players/tim-pace-1.html,Tim Pace,1.8,.412,0.7,0.6,.727,0.4,19,6-5,0.8,2.3,1.25,0.7
/cbb/players/tommy-pace-1.html,Tommy Pace,1.6,.462,0.7,1.0,.561,0.6,41,6-6,1.0,2.0,2.93,2.6
/cbb/players/gil-pacey-1.html,Gil Pacey,1.4,.643,0.9,0.4,.500,0.2,10,,0.2,2.0,6.40,1.2
/cbb/players/luis-pacheco-1.html,Luis Pacheco,0.0,,0.0,0.0,,0.0,1,6-8,1.0,0.0,-1.23,0.0
/cbb/players/georgie-pacheco-ortiz-1.html,Georgie Pacheco-Ortiz,6.6,.440,2.9,2.3,.877,2.0,142,6-1,1.3,9.1,-5.88,2.5
/cbb/players/aj-pacher-1.html,A.J. Pacher,4.9,.488,2.4,2.0,.701,1.4,133,6-10,2.6,6.6,-0.56,3.2
/cbb/players/andy-pack-1.html,Andy Pack,2.7,.311,0.9,0.6,.658,0.4,60,6-4,0.7,2.6,-2.80,1.6
/cbb/players/charley-pack-1.html,Charley Pack,5.7,.328,1.9,2.5,.723,1.8,45,5-9,2.2,5.5,1.99,2.0
/cbb/players/devin-pack-1.html,Devin Pack,2.4,.344,0.8,0.5,.653,0.4,91,6-1,0.7,2.4,-10.29,0.7
/cbb/players/jack-pack-1.html,Jack Pack,3.4,.301,1.0,0.8,.760,0.6,30,6-2,1.1,2.7,-3.75,0.8
/cbb/players/jon-pack-1.html,Jon Pack,2.6,.544,1.4,1.6,.517,0.8,114,6-11,1.7,3.6,-6.71,3.4
/cbb/players/nijel-pack-1.html,Nijel Pack,10.9,.436,4.8,1.5,.816,1.2,33,6-0,1.8,13.3,3.22,3.6
/cbb/players/richaud-pack-1.html,Richaud Pack,5.9,.413,2.4,3.8,.778,3.0,83,6-4,1.5,8.8,-1.27,3.3
/cbb/players/robert-pack-1.html,Robert Pack,9.7,.476,4.6,4.9,.742,3.6,57,6-2,,13.4,5.60,2.8
/cbb/players/tom-pack-1.html,Tom Pack,2.0,.532,1.0,1.3,.484,0.6,24,6-4,1.1,2.7,1.51,2.5
/cbb/players/wayne-pack-1.html,Wayne Pack,14.9,.461,6.9,4.2,.716,3.0,73,6-0,2.4,16.8,-5.00,3.4
/cbb/players/_-pack-1.html,_ Pack,,,2.0,,,2.0,22,,,6.1,1.67,
/cbb/players/_-pack-2.html,_ Pack,4.1,.278,1.1,1.4,.700,1.0,28,5-9,1.6,3.4,,
/cbb/players/tom-packee-1.html,Tom Packee,0.5,.000,0.0,2.0,.500,1.0,2,6-5,0.0,1.0,5.02,0.5
/cbb/players/billy-packer-1.html,Billy Packer,12.7,.466,5.9,3.6,.819,2.9,89,5-9,1.9,14.8,2.86,2.4
/cbb/players/dick-packer-1.html,Dick Packer,6.1,.396,2.4,0.9,.645,0.6,71,6-1,1.3,5.4,-7.01,1.5
/cbb/players/george-packer-1.html,George Packer,0.9,.167,0.1,0.4,.667,0.3,7,6-10,0.3,0.6,-0.09,0.6
/cbb/players/herb-packer-1.html,Herb Packer,0.5,.000,0.0,0.0,,0.0,2,,0.5,0.0,-1.05,0.5
/cbb/players/jalen-packer-1.html,Jalen Packer,0.6,.500,0.3,0.5,.889,0.4,19,6-2,0.5,1.1,-1.39,0.6
