url,name,fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
/cbb/players/marty-waalkes-1.html,Marty Waalkes,5.4,.227,1.2,0.4,.667,0.3,14,6-4,1.3,3.0,0.78,2.9
/cbb/players/sam-waardenburg-1.html,Sam Waardenburg,4.2,.433,1.8,1.5,.716,1.1,95,6-10,1.9,5.3,6.64,4.2
/cbb/players/derek-wabbington-1.html,Derek Wabbington,5.3,.493,2.6,2.3,.492,1.2,53,6-9,2.7,6.4,3.87,4.2
/cbb/players/fallon-wacasey-1.html,Fallon Wacasey,1.4,.340,0.5,0.6,.652,0.4,37,6-8,1.0,1.3,2.63,1.4
/cbb/players/stan-wachels-1.html,Stan Wachels,1.0,.500,0.5,0.5,.333,0.2,6,6-3,0.3,1.2,-0.69,1.0
/cbb/players/kenneth-wachira-1.html,Kenneth Wachira,0.2,.333,0.1,0.0,,0.0,19,6-7,0.6,0.1,-9.12,0.2
/cbb/players/jason-wachob-1.html,Jason Wachob,2.5,.451,1.1,1.1,.660,0.8,93,6-9,1.9,3.1,-6.53,2.1
/cbb/players/mike-wachob-1.html,Mike Wachob,5.5,.438,2.4,2.0,.720,1.4,59,6-3,1.9,6.3,-3.68,4.4
/cbb/players/stan-wacholz-1.html,Stan Wacholz,0.0,,0.0,0.0,,0.0,1,,0.0,0.0,,0.0
/cbb/players/kiril-wachsmann-1.html,Kiril Wachsmann,5.2,.503,2.6,2.2,.679,1.5,120,6-8,2.6,6.7,-2.42,5.6
/cbb/players/andy-wachter-1.html,Andy Wachter,0.4,.500,0.2,0.0,,0.0,5,5-11,0.0,0.4,0.99,0.0
/cbb/players/bob-wachter-1.html,Bob Wachter,7.3,.261,1.9,1.8,.500,0.9,19,6-0,3.4,4.7,,
/cbb/players/richard-wackar-1.html,Richard Wackar,1.6,.313,0.5,0.6,.833,0.5,10,6-4,1.4,1.5,-4.16,3.3
/cbb/players/david-wacker-1.html,David Wacker,1.7,.557,1.0,1.5,.665,1.0,123,6-10,1.8,2.9,2.27,2.7
/cbb/players/mike-wacker-1.html,Mike Wacker,8.8,.571,5.0,4.0,.711,2.8,70,6-8,2.5,12.9,3.84,7.5
/cbb/players/bret-wackerly-1.html,Bret Wackerly,1.9,.288,0.5,0.5,.714,0.3,31,5-10,0.7,1.6,-3.48,1.1
/cbb/players/mark-wadach-1.html,Mark Wadach,8.1,.411,3.3,2.0,.657,1.3,83,6-2,2.3,8.0,-0.14,6.4
/cbb/players/adam-waddell-1.html,Adam Waddell,4.9,.507,2.5,3.5,.590,2.1,124,6-10,2.6,7.0,2.79,3.9
/cbb/players/chad-waddell-1.html,Chad Waddell,0.3,.333,0.1,0.0,,0.0,11,6-1,0.0,0.2,-3.78,0.1
/cbb/players/charles-waddell-1.html,Charles Waddell,1.3,.448,0.6,0.7,.733,0.5,22,,0.5,1.7,7.35,0.8
/cbb/players/devin-waddell-1.html,Devin Waddell,0.6,.263,0.2,0.2,.455,0.1,66,6-5,1.0,0.4,7.12,0.7
/cbb/players/evie-waddell-1.html,Evie Waddell,6.9,.403,2.8,1.6,.429,0.7,9,6-3,2.4,6.2,0.26,2.4
/cbb/players/gary-waddell-1.html,Gary Waddell,6.8,.463,3.2,2.2,.768,1.7,72,6-8,2.1,8.0,2.88,4.6
/cbb/players/ken-waddell-1.html,Ken Waddell,1.4,.600,0.8,0.9,.500,0.4,18,6-4,0.2,2.1,-2.24,0.9
/cbb/players/larry-waddell-1.html,Larry Waddell,4.0,.342,1.4,0.5,.667,0.3,19,6-2,0.9,3.1,6.33,0.6
/cbb/players/matt-waddell-1.html,Matt Waddell,7.1,.454,3.2,2.4,.826,1.9,127,6-4,1.9,9.2,8.96,2.8
/cbb/players/phil-waddell-1.html,Phil Waddell,5.7,.439,2.5,1.3,.833,1.1,75,6-0,0.9,6.1,-3.74,1.7
/cbb/players/qavotstaraj-waddell-1.html,Qavotstaraj Waddell,3.1,.545,1.7,1.2,.406,0.5,54,6-11,2.4,3.8,-5.64,4.2
/cbb/players/ray-waddell-1.html,Ray Waddell,0.3,.600,0.2,0.4,.667,0.3,15,5-9,0.1,0.8,6.52,0.5
/cbb/players/cody-waddey-1.html,Cody Waddey,0.5,.375,0.2,0.5,.500,0.3,33,,0.3,0.7,-5.52,0.3
/cbb/players/tim-waddington-1.html,Tim Waddington,0.4,.000,0.0,1.2,.667,0.8,5,6-5,0.2,0.8,5.55,0.2
/cbb/players/kenny-waddle-1.html,Kenny Waddle,10.4,.389,4.1,7.5,.680,5.1,20,6-4,2.9,13.2,-1.66,9.0
/cbb/players/dan-waddleton-1.html,Dan Waddleton,3.7,.333,1.2,1.6,.443,0.7,60,5-11,0.7,3.2,1.54,2.1
/cbb/players/george-waddleton-1.html,George Waddleton,12.5,.368,4.6,5.0,.661,3.3,74,5-10,2.6,12.5,-1.57,4.5
/cbb/players/austin-waddoups-1.html,Austin Waddoups,1.7,.370,0.6,0.3,.400,0.1,16,6-2,1.1,1.8,-5.48,0.9
/cbb/players/cliff-waddy-1.html,Cliff Waddy,6.2,.493,3.1,1.9,.807,1.5,112,6-5,1.1,7.7,-3.64,2.8
/cbb/players/daniel-waddy-1.html,Daniel Waddy,3.9,.351,1.4,2.0,.635,1.3,99,6-2,1.8,4.4,-1.29,2.2
/cbb/players/aaron-wade-1.html,Aaron Wade,5.1,.436,2.2,1.8,.665,1.2,116,6-7,2.1,6.5,-4.85,3.0
/cbb/players/arthur-wade-1.html,Arthur Wade,2.9,.368,1.1,0.9,.622,0.6,40,6-4,2.3,3.2,-10.18,1.6
/cbb/players/bj-wade-1.html,B.J. Wade,8.6,.390,3.4,2.2,.714,1.5,52,6-7,2.9,9.6,4.12,4.5
/cbb/players/benton-wade-1.html,Benton Wade,10.2,.587,6.0,5.6,.582,3.2,58,6-7,,15.2,-5.75,8.8
/cbb/players/bob-wade-2.html,Bob Wade,5.7,.423,2.4,1.4,.633,0.9,35,,2.4,5.7,3.95,4.4
/cbb/players/bob-wade-3.html,Bob Wade,4.1,.698,2.9,3.4,.637,2.2,50,,2.4,7.9,4.80,
/cbb/players/boo-wade-1.html,Boo Wade,4.2,.436,1.8,1.4,.701,1.0,63,6-3,1.5,5.0,7.87,2.6
/cbb/players/brandon-wade-1.html,Brandon Wade,1.4,.195,0.3,0.4,.692,0.3,30,6-1,1.1,0.9,5.31,0.6
/cbb/players/brent-wade-1.html,Brent Wade,1.3,.421,0.5,0.9,.615,0.5,30,6-1,0.6,1.6,3.33,0.7
/cbb/players/butch-wade-1.html,Butch Wade,4.9,.468,2.3,1.9,.504,1.0,121,6-8,2.4,5.6,7.68,5.6
/cbb/players/calvin-wade-1.html,Calvin Wade,9.1,.452,4.1,2.3,.673,1.6,49,5-10,1.9,9.8,-1.78,1.7
/cbb/players/calvin-wade-2.html,Calvin Wade,6.3,.466,3.0,1.3,.554,0.7,44,6-5,2.4,6.6,1.30,5.8
/cbb/players/cameo-wade-1.html,Cameo Wade,3.2,.324,1.0,1.2,.462,0.6,21,6-3,,2.8,-10.21,1.1
/cbb/players/carlton-wade-1.html,Carlton Wade,7.4,.430,3.2,2.2,.708,1.5,30,5-11,,7.9,-9.30,1.2
/cbb/players/chuck-wade-1.html,Chuck Wade,8.0,.415,3.3,2.4,.715,1.7,71,6-4,1.5,8.4,4.27,3.0
/cbb/players/clyde-wade-1.html,Clyde Wade,1.0,.429,0.4,0.4,.667,0.3,54,6-0,0.4,1.3,4.70,0.4
