url,name,fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
/cbb/players/mushon-yaakosi-1.html,Mushon Ya'akosi,4.7,.510,2.4,2.7,.431,1.2,76,6-8,3.0,5.9,2.53,5.7
/cbb/players/john-yablonski-1.html,John Yablonski,1.0,.268,0.3,0.4,.762,0.3,56,5-10,0.4,1.0,8.74,0.5
/cbb/players/tom-yachinich-1.html,Tom Yachinich,13.9,.459,6.4,3.2,.585,1.8,26,6-7,3.5,14.6,,11.6
/cbb/players/clarence-yackey-1.html,Clarence Yackey,6.7,.373,2.5,3.2,.660,2.1,78,6-5,2.6,7.1,2.10,11.1
/cbb/players/blake-yackley-1.html,Blake Yackley,2.8,.463,1.3,0.8,.652,0.5,29,6-5,1.5,3.7,,2.9
/cbb/players/yosef-yacob-1.html,Yosef Yacob,6.1,.355,2.2,2.5,.736,1.8,91,6-0,1.6,7.3,-5.45,1.3
/cbb/players/achraf-yacoubou-1.html,Ash Yacoubou,6.0,.409,2.5,1.6,.594,0.9,121,6-4,1.8,6.5,5.52,3.6
/cbb/players/ko-yada-1.html,Ko Yada,1.2,.234,0.3,0.1,.400,0.0,52,6-3,0.8,0.8,-4.75,0.4
/cbb/players/jason-yadao-1.html,Jason Yadao,0.3,.500,0.2,0.0,,0.0,6,6-4,0.0,0.3,2.77,0.2
/cbb/players/paul-yaden-1.html,Paul Yaden,0.3,.000,0.0,0.0,,0.0,3,6-7,0.3,0.0,7.76,1.0
/cbb/players/eyal-yaffe-1.html,Eyal Yaffe,2.0,.435,0.9,0.0,1.000,0.0,34,6-3,0.1,1.8,-5.61,0.3
/cbb/players/dave-yager-1.html,Dave Yager,2.1,.378,0.8,0.8,.643,0.5,18,6-0,1.6,2.1,-7.11,0.8
/cbb/players/mykhailo-yagodin-1.html,Mykhailo Yagodin,4.0,.370,1.5,0.8,.750,0.6,34,6-5,1.2,4.4,-4.04,1.4
/cbb/players/con-yagodzinski-1.html,Con Yagodzinski,4.0,.344,1.4,2.4,.368,0.9,8,6-5,1.5,3.6,5.08,3.9
/cbb/players/bob-yahne-1.html,Bob Yahne,6.4,.481,3.1,2.9,.747,2.1,29,,1.4,8.3,-3.78,3.2
/cbb/players/michael-yahnke-1.html,Michael Yahnke,0.0,,0.0,0.0,,0.0,1,6-7,,0.0,-4.44,0.0
/cbb/players/scott-yahnke-1.html,Scott Yahnke,1.6,.357,0.6,0.7,.500,0.4,17,6-8,,1.5,-2.99,1.0
/cbb/players/griffin-yaklich-1.html,Griffin Yaklich,0.9,.429,0.4,0.5,.000,0.0,8,6-6,0.4,0.8,-3.42,0.5
/cbb/players/kirill-yakovlev-1.html,Kirill Yakovlev,4.1,.363,1.5,0.8,.625,0.5,39,6-9,0.3,4.3,-5.92,1.9
/cbb/players/yusef-yakubu-1.html,Yusef Yakubu,0.7,.643,0.5,0.4,.286,0.1,19,6-7,2.3,1.1,-8.48,2.1
/cbb/players/kassoum-yakwe-1.html,Kassoum Yakwe,3.4,.447,1.5,2.1,.558,1.1,96,6-7,2.6,4.1,7.84,3.4
/cbb/players/bart-yam-1.html,Bart Yam,0.9,.333,0.3,0.1,.000,0.0,7,,0.6,0.6,-4.02,1.6
/cbb/players/steve-yamin-1.html,Steve Yamin,1.0,.000,0.0,0.0,,0.0,1,6-6,1.0,0.0,3.73,1.0
/cbb/players/jeffrey-yan-1.html,Jeffrey Yan,0.0,,0.0,4.0,.500,2.0,1,5-9,0.0,2.0,-2.44,0.0
/cbb/players/jeffrey-yan-2.html,Jeffrey Yan,0.4,.273,0.1,0.4,.727,0.3,28,6-9,0.4,0.5,1.44,0.4
/cbb/players/bruce-yance-1.html,Bruce Yance,,,,,,,,,,,7.27,
/cbb/players/gordon-yancey-1.html,Gordon Yancey,1.3,.368,0.5,0.7,.455,0.3,15,6-3,,1.3,-8.07,0.9
/cbb/players/jake-yancey-1.html,Jake Yancey,3.7,.575,2.2,2.7,.554,1.5,71,6-10,2.9,5.8,-2.35,4.4
/cbb/players/terry-yancey-1.html,Terry Yancey,9.0,.491,4.4,3.0,.659,2.0,56,6-3,2.8,11.9,-3.82,2.1
/cbb/players/jim-yanchar-1.html,Jim Yanchar,0.4,.667,0.3,0.0,,0.0,7,6-5,0.1,0.6,1.52,0.3
/cbb/players/taylor-yanchar-1.html,Taylor Yanchar,1.2,.667,0.8,1.6,.375,0.6,5,6-11,0.6,2.2,-3.84,1.2
/cbb/players/steve-yancoskie-1.html,Steve Yancoskie,1.5,.396,0.6,0.9,.636,0.6,35,,2.2,1.8,-7.03,0.9
/cbb/players/art-yancy-1.html,Art Yancy,5.2,.429,2.2,2.2,.561,1.2,64,6-4,2.4,5.7,-2.22,5.8
/cbb/players/gordon-yancy-1.html,Gordon Yancy,0.0,,0.0,0.0,,0.0,2,,0.5,0.0,-4.82,0.0
/cbb/players/kendal-yancy-1.html,Kendal Yancy,3.8,.421,1.6,1.4,.626,0.9,127,6-3,1.2,4.5,10.67,2.3
/cbb/players/levi-yancy-1.html,Levi Yancy,1.5,.389,0.6,0.4,1.000,0.4,24,6-8,1.3,1.6,-5.66,1.6
/cbb/players/kin-yanders-1.html,Kin Yanders,4.0,.442,1.8,1.0,.700,0.7,51,,0.6,4.4,-2.17,2.0
/cbb/players/robert-yanders-1.html,Robert Yanders,8.2,.418,3.4,2.8,.835,2.3,59,5-11,1.8,10.4,1.10,2.8
