url,name,fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
/cbb/players/marvin-zaandam-1.html,Marvin Zaandam,0.4,.167,0.1,0.1,.500,0.1,15,6-8,0.2,0.3,-2.23,0.3
/cbb/players/henry-zabierik-1.html,Henry Zabierik,,,,,,,,,,,,
/cbb/players/kevin-zabo-1.html,Kevin Zabo,7.0,.398,2.8,2.0,.754,1.5,86,6-2,2.3,7.9,0.29,2.0
/cbb/players/alec-zaccardo-1.html,Alec Zaccardo,0.3,.500,0.2,0.0,,0.0,6,6-0,0.2,0.3,3.57,0.2
/cbb/players/dan-zachary-1.html,Dan Zachary,5.1,.446,2.3,2.5,.797,2.0,53,,3.1,6.5,0.83,2.2
/cbb/players/danny-zachary-1.html,Danny Zachary,0.3,.333,0.1,0.6,.500,0.3,10,5-11,0.4,0.5,9.97,0.3
/cbb/players/michael-zachary-1.html,Michael Zachary,0.6,.364,0.2,0.0,,0.0,17,6-3,0.2,0.5,-8.57,0.4
/cbb/players/randy-zachary-1.html,Randy Zachary,5.9,.412,2.4,2.0,.749,1.5,115,5-10,1.6,7.8,1.33,1.7
/cbb/players/richard-zacher-1.html,Richard Zacher,1.0,1.000,1.0,0.0,,0.0,1,6-4,0.0,2.0,-0.22,1.0
/cbb/players/nick-zachery-1.html,Nick Zachery,11.1,.418,4.6,2.3,.772,1.8,83,6-3,1.9,13.9,-2.76,2.7
/cbb/players/john-zachritz-1.html,John Zachritz,0.0,,0.0,0.0,,0.0,8,,0.4,0.0,-4.72,0.9
/cbb/players/scott-zack-1.html,Scott Zack,0.8,.444,0.4,0.4,.750,0.3,11,6-7,1.4,1.0,6.46,1.3
/cbb/players/steve-zack-1.html,Steve Zack,5.3,.470,2.5,2.0,.679,1.3,123,6-11,2.4,6.3,3.74,6.9
/cbb/players/jaeden-zackery-1.html,Jaeden Zackery,7.8,.488,3.8,2.5,.630,1.5,11,6-2,2.1,10.5,-1.90,2.5
/cbb/players/bill-zadel-1.html,Bill Zadel,2.9,.400,1.2,0.8,.500,0.4,19,6-4,1.6,2.7,-4.07,3.7
/cbb/players/gene-zadzilka-1.html,Gene Zadzilka,2.0,.250,0.5,0.3,.250,0.1,16,6-1,0.3,1.1,,
/cbb/players/manny-zafires-1.html,Manny Zafires,0.7,.250,0.2,0.0,,0.0,6,5-11,0.0,0.3,7.14,0.0
/cbb/players/petrolsav-zafirov-1.html,Petrolsav Zafirov,1.8,.271,0.5,0.2,.200,0.0,27,6-8,1.3,1.2,-5.36,0.6
/cbb/players/todd-zafirovski-1.html,Todd Zafirovski,0.4,.286,0.1,0.2,.250,0.1,20,6-9,0.3,0.3,8.68,0.3
/cbb/players/bill-zagar-1.html,Bill Zagar,0.8,.167,0.1,0.5,.500,0.3,8,,0.1,0.5,6.96,0.5
/cbb/players/mike-zagardo-1.html,Mike Zagardo,8.7,.590,5.1,4.4,.751,3.3,105,6-10,2.5,13.5,-0.82,7.8
/cbb/players/ron-zager-1.html,Ron Zager,8.3,.402,3.3,3.1,.675,2.1,38,,2.0,8.8,5.76,2.1
/cbb/players/chuck-zagozdon-1.html,Chuck Zagozdon,0.9,.429,0.4,0.6,.429,0.3,24,6-2,0.6,1.0,3.52,0.5
/cbb/players/kyle-zaharias-1.html,Kyle Zaharias,2.6,.448,1.2,1.2,.511,0.6,81,6-9,2.4,2.9,-7.72,3.2
/cbb/players/nick-zaharias-1.html,Nick Zaharias,1.0,.459,0.5,0.8,.816,0.7,61,6-7,0.9,1.6,-1.58,1.0
/cbb/players/adam-zahn-1.html,Adam Zahn,2.2,.444,1.0,0.9,.575,0.5,101,6-8,1.7,2.5,6.68,2.0
/cbb/players/alan-zahn-1.html,Alan Zahn,4.6,.455,2.1,1.8,.728,1.3,101,6-7,2.2,5.5,2.01,3.7
/cbb/players/andrew-zahn-1.html,Andrew Zahn,0.6,.667,0.4,0.3,.500,0.1,16,6-9,0.7,0.9,12.49,0.9
/cbb/players/_-zahn-1.html,_ Zahn,,,1.6,,,2.1,7,,,5.3,,
/cbb/players/andrew-zahora-1.html,Andrew Zahora,1.0,.000,0.0,0.0,,0.0,3,6-7,0.3,0.0,-4.04,0.3
/cbb/players/bob-zajac-1.html,Bob Zajac,1.5,.318,0.5,0.8,.515,0.4,43,6-2,0.2,1.4,-5.02,1.0
/cbb/players/craig-zajac-1.html,Craig Zajac,0.0,,0.0,0.0,,0.0,3,6-7,0.3,0.0,3.46,0.0
/cbb/players/ed-zajac-1.html,Ed Zajac,2.5,.463,1.2,1.2,.588,0.7,43,6-10,2.4,3.0,-7.82,3.5
/cbb/players/jon-zajac-1.html,Jon Zajac,5.7,.453,2.6,1.8,.537,0.9,117,6-7,,6.2,0.11,4.7
/cbb/players/richie-zajac-1.html,Richie Zajac,2.1,.409,0.9,1.5,.667,1.0,31,6-4,0.1,2.8,-7.01,1.1
/cbb/players/bob-zak-1.html,Bob Zak,3.1,.558,1.7,0.6,.625,0.4,14,6-6,1.1,3.8,-7.89,1.6
/cbb/players/dave-zak-1.html,Dave Zak,1.2,.227,0.3,1.1,.429,0.5,19,6-2,1.2,1.1,2.02,1.6
/cbb/players/jim-zak-1.html,Jim Zak,2.1,.333,0.7,0.9,.595,0.5,41,6-4,1.1,2.0,1.63,2.0
/cbb/players/mike-zak-1.html,Mike Zak,5.4,.340,1.9,1.8,.633,1.1,27,,,5.7,-8.90,1.4
/cbb/players/ted-zak-1.html,Ted Zak,2.6,.469,1.2,2.1,.513,1.1,19,,1.9,3.5,-1.32,5.0
/cbb/players/john-zakariassen-1.html,John Zakariassen,0.0,,0.0,1.0,.000,0.0,1,,0.0,0.0,3.25,1.0
/cbb/players/pavel-zakharov-1.html,Pavel Zakharov,1.1,.459,0.5,0.7,.591,0.4,33,7-0,0.7,1.5,2.04,0.8
/cbb/players/max-zakheim-1.html,Max Zakheim,1.0,.333,0.3,0.7,.500,0.3,3,5-11,0.0,1.3,-1.72,1.0
/cbb/players/mike-zaklan-1.html,Mike Zaklan,3.4,.421,1.4,1.7,.730,1.2,59,,1.8,4.1,-2.97,1.9
/cbb/players/casey-zakowski-1.html,Casey Zakowski,3.9,.395,1.5,0.8,.556,0.5,11,,0.6,3.5,-7.69,1.4
/cbb/players/steve-zakula-1.html,Steve Zakula,1.1,.368,0.4,1.2,.667,0.8,17,6-2,,1.6,-1.44,0.9
/cbb/players/matt-zalauskas-1.html,Matt Zalauskas,1.9,.390,0.7,1.3,.414,0.5,22,6-9,0.8,2.0,-5.61,1.4
/cbb/players/jim-zalenka-1.html,Jim Zalenka,5.4,.418,2.3,1.6,.662,1.0,97,6-7,,5.5,-1.73,3.1
/cbb/players/matt-zaleski-1.html,Matt Zaleski,6.7,.396,2.7,0.7,.632,0.5,94,6-1,1.3,6.9,-5.72,1.7
/cbb/players/bob-zaletal-1.html,Bob Zaletal,1.4,.435,0.6,0.6,.600,0.4,16,6-1,1.2,1.6,2.02,0.9
/cbb/players/joe-zaletel-1.html,Joe Zaletel,3.4,.447,1.5,1.5,.569,0.9,48,6-7,,3.9,7.47,2.6
/cbb/players/eric-zalewski-1.html,Eric Zalewski,0.1,.000,0.0,0.2,.000,0.0,9,6-0,0.1,0.0,11.13,0.2
/cbb/players/tom-zaliagiris-1.html,Tom Zaliagiris,4.0,.487,1.9,1.4,.587,0.8,100,6-5,1.4,4.7,8.04,1.3
/cbb/players/george-zalucki-1.html,George Zalucki,4.1,.472,1.9,1.4,.516,0.7,44,6-6,2.5,4.6,-2.01,6.0
/cbb/players/paulius-zalys-1.html,Paulius Zalys,7.1,.474,3.4,2.0,.689,1.4,120,6-7,2.3,8.7,-5.12,4.5
/cbb/players/mark-zamat-1.html,Mark Zamat,9.9,.447,4.4,2.0,.760,1.5,38,6-3,2.2,10.3,-5.25,3.2
/cbb/players/george-zambetti-1.html,George Zambetti,7.8,.455,3.5,3.0,.606,1.8,52,6-5,2.8,8.9,0.74,4.7
/cbb/players/ryan-zambie-1.html,Ryan Zambie,0.1,.000,0.0,0.3,.000,0.0,8,6-3,0.1,0.0,-3.91,0.4
/cbb/players/steve-zambo-1.html,Steve Zambo,12.4,.437,5.4,3.2,.725,2.3,16,,3.1,13.2,-7.08,2.6
/cbb/players/joe-zamborsky-1.html,Joe Zamborsky,2.3,.143,0.3,0.7,1.000,0.7,3,6-1,1.3,1.3,-2.89,0.3
/cbb/players/rod-zamor-1.html,Rod Zamor,6.1,.474,2.9,2.3,.645,1.5,55,6-5,1.9,7.4,-3.53,2.7
/cbb/players/adrian-zamora-1.html,Adrian Zamora,2.6,.424,1.1,1.1,.576,0.6,60,6-9,2.1,2.9,-4.54,3.2
/cbb/players/jojo-zamora-1.html,JoJo Zamora,5.9,.433,2.6,1.2,.769,0.9,67,6-2,1.3,7.2,0.97,1.5
/cbb/players/robert-zamora-1.html,Robert Zamora,1.0,.600,0.6,1.0,.600,0.6,5,6-3,1.0,1.8,0.35,1.0
/cbb/players/paolo-zamorano-1.html,Paolo Zamorano,0.6,.333,0.2,0.0,,0.0,14,6-3,0.4,0.6,0.00,0.0
/cbb/players/brian-zamore-1.html,Brian Zamore,1.1,.333,0.4,1.0,.505,0.5,103,6-8,1.7,1.2,-8.74,2.0
/cbb/players/alex-zampier-1.html,Alex Zampier,8.6,.397,3.4,3.1,.816,2.5,108,6-3,1.9,10.6,-4.58,2.3
/cbb/players/john-zampier-1.html,John Zampier,0.1,3.000,0.4,0.0,,0.6,38,6-0,0.1,1.4,0.73,1.1
/cbb/players/davide-zanbon-1.html,Davide Zanbon,3.0,.338,1.0,0.9,.625,0.6,27,,1.0,2.7,-1.60,2.2
/cbb/players/allyn-zanchi-1.html,Allyn Zanchi,0.5,.667,0.3,0.6,.429,0.3,12,6-9,0.9,0.9,-4.64,1.0
/cbb/players/dan-zanderson-1.html,Dan Zanderson,0.0,,0.0,0.0,,0.0,3,6-4,,0.0,-2.16,0.3
/cbb/players/len-zandy-1.html,Len Zandy,13.2,.420,5.6,2.7,.778,2.1,72,6-6,3.0,13.2,-4.22,6.8
/cbb/players/gene-zane-1.html,Gene Zane,2.2,.500,1.1,0.4,.500,0.2,9,6-2,0.8,2.4,,
/cbb/players/stewart-zane-1.html,Stewart Zane,1.0,.500,0.5,0.2,.500,0.1,12,,0.5,1.1,4.73,1.3
/cbb/players/stewart-zane-2.html,Stewart Zane,1.7,.400,0.7,0.3,.000,0.0,3,,1.0,1.3,-6.48,1.0
/cbb/players/matt-zaney-1.html,Matt Zaney,0.3,.500,0.1,0.5,.250,0.1,8,6-6,0.3,0.4,-3.01,0.6
/cbb/players/eugene-zang-1.html,Eugene Zang,3.4,.059,0.2,0.0,,0.0,5,5-9,0.6,0.4,,
/cbb/players/michael-zangari-1.html,Michael Zangari,3.8,.454,1.7,1.7,.675,1.2,123,6-9,2.1,4.7,0.66,3.4
/cbb/players/george-zaninovich-1.html,George Zaninovich,1.8,.355,0.6,0.4,.500,0.2,17,6-3,0.4,1.8,-5.38,0.6
/cbb/players/george-zaninovich-2.html,George Zaninovich,4.6,.337,1.6,2.5,.570,1.4,56,6-2,2.4,4.6,5.01,3.4
/cbb/players/nura-zanna-1.html,Nura Zanna,4.7,.543,2.5,3.0,.505,1.5,128,6-7,3.4,6.6,-5.17,6.1
/cbb/players/talib-zanna-1.html,Talib Zanna,5.5,.553,3.0,3.4,.650,2.2,135,6-9,2.1,8.3,6.86,6.0
/cbb/players/rudy-zannini-1.html,Rudy Zannini,2.6,.245,0.6,1.4,.577,0.8,57,5-7,1.3,2.1,1.91,0.4
/cbb/players/craig-zanon-1.html,Craig Zanon,6.9,.532,3.6,4.7,.798,3.7,97,6-6,2.4,11.0,-2.59,3.1
/cbb/players/rick-zanon-1.html,Rick Zanon,1.7,.438,0.7,1.2,.578,0.7,38,6-0,0.9,2.1,-2.04,0.7
/cbb/players/scott-zanon-1.html,Scott Zanon,7.9,.453,3.6,2.6,.801,2.1,103,6-0,1.1,10.5,-1.49,1.7
/cbb/players/pete-van-zant-1.html,Pete van Zant,1.4,.364,0.5,0.5,.250,0.1,8,,0.5,1.1,3.45,0.6
/cbb/players/john-zanzalari-1.html,John Zanzalari,6.0,.491,2.9,2.3,.622,1.4,67,6-6,2.1,7.3,-2.36,4.7
