fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
0.3,.571,0.2,0.2,.250,0.0,24,6-10,0.0,0.4,6.77,0.3
3.9,.362,1.4,0.8,.650,0.5,24,6-3,1.1,4.4,-3.64,2.4
0.3,.167,0.1,0.4,.125,0.1,19,6-11,1.6,0.2,-3.95,1.0
0.9,.360,0.3,0.6,.375,0.2,28,,0.1,0.9,-10.64,0.9
7.5,.471,3.5,2.7,.591,1.6,87,6-8,2.5,8.7,-9.94,5.7
1.2,.469,0.5,0.3,.692,0.2,42,6-9,1.0,1.3,-0.56,1.4
15.2,.462,7.0,4.0,.832,3.3,75,6-5,2.2,17.3,2.64,5.2
0.4,.167,0.1,0.1,.500,0.1,15,6-7,0.6,0.2,-6.11,0.6
2.9,.381,1.1,0.6,.697,0.4,53,6-5,0.8,3.1,-2.49,1.7
2.4,.279,0.7,1.8,.533,1.0,59,6-4,2.2,2.3,-4.05,3.4
5.6,.373,2.1,2.4,.698,1.7,108,6-6,2.1,6.4,7.62,3.4
6.2,.377,2.3,1.2,.733,0.9,130,6-5,1.1,7.2,6.37,3.0
2.8,.355,1.0,2.3,.598,1.4,55,,1.6,3.4,3.46,1.5
5.1,.402,2.1,0.9,.887,0.8,69,6-4,1.0,6.1,-3.59,2.1
13.6,.480,6.5,5.8,.893,5.2,68,6-9,2.2,19.4,1.98,8.1
0.7,.500,0.3,1.0,.667,0.7,3,,0.0,1.3,4.62,0.7
1.4,.333,0.5,0.5,.545,0.3,24,6-3,0.7,1.2,-0.52,0.8
,,2.2,,,1.3,15,,,5.7,-8.09,
2.2,.404,0.9,0.9,.605,0.6,47,6-1,1.1,2.3,-1.62,1.0
4.4,.587,2.6,3.2,.684,2.2,117,6-10,2.4,7.4,1.09,5.2
5.0,.350,1.8,0.8,.333,0.3,4,,0.3,3.8,0.37,0.8
2.0,.419,0.8,2.4,.528,1.3,52,6-4,2.1,3.0,2.01,3.7
2.9,.304,0.9,0.0,,0.0,8,,1.4,1.8,-20.44,1.1
1.8,.385,0.7,1.1,.859,1.0,76,5-11,0.5,2.3,0.87,0.5
4.7,.475,2.2,2.2,.728,1.6,98,6-7,2.4,6.0,-6.22,2.7
,,1.1,1.1,.524,0.6,19,,1.8,2.7,,
0.0,,0.0,0.0,,0.0,1,6-6,1.0,0.0,3.43,0.0
8.5,.452,3.8,5.0,.752,3.8,90,,3.4,11.4,-8.53,4.7
7.8,.359,2.8,4.6,.676,3.1,96,,2.0,8.7,3.53,2.0
3.0,.358,1.1,1.6,.536,0.8,44,6-3,2.0,3.0,-9.68,4.3
4.4,.345,1.5,1.0,.698,0.7,121,6-5,1.6,4.6,-2.89,2.1
10.3,.468,4.8,3.8,.667,2.6,80,7-0,3.2,12.2,-3.31,7.5
10.3,.410,4.2,1.9,.734,1.4,42,,0.9,9.9,-8.47,6.7
2.9,.343,1.0,1.0,.758,0.7,34,6-3,1.8,2.7,3.55,1.9
2.7,.450,1.2,1.5,.652,1.0,15,6-3,2.0,3.4,-7.42,2.5
1.9,.410,0.8,1.6,.662,1.0,41,6-0,0.4,2.6,1.50,1.0
10.3,.511,5.3,4.7,.595,2.8,26,6-9,3.7,13.3,0.03,9.7
,,,,.379,,,6-2,,,,
4.2,.421,1.8,2.8,.729,2.0,71,5-10,1.7,5.6,-4.97,1.2
12.1,.471,5.7,3.3,.594,2.0,82,6-4,2.3,13.5,-2.47,3.7
6.3,.400,2.5,1.3,.718,0.9,131,6-8,1.7,7.9,-4.65,1.8
8.9,.464,4.1,3.2,.769,2.4,63,6-3,2.1,10.7,-1.16,2.7
1.5,.344,0.5,0.2,.250,0.0,22,6-5,,1.3,-2.84,0.7
0.6,.286,0.2,0.0,,0.0,12,6-1,0.1,0.4,-2.46,0.0
2.0,.000,0.0,0.0,,0.0,1,6-9,4.0,0.0,-0.63,2.0
3.8,.366,1.4,2.1,.643,1.3,100,6-7,2.4,4.3,10.09,4.0
3.3,.443,1.5,1.4,.482,0.7,120,6-6,2.0,3.7,6.86,3.0
10.9,.449,4.9,2.7,.804,2.2,41,6-3,2.6,12.0,-8.28,4.2
8.0,.248,2.0,3.1,.633,2.0,47,6-1,3.6,5.9,-4.66,
7.4,.556,4.1,3.7,.692,2.6,68,6-0,1.5,10.8,-5.53,2.3
2.0,.250,0.5,0.0,,0.0,2,,0.0,0.0,3.93,1.0
,,5.4,6.6,.637,4.2,22,,1.5,15.0,,
1.2,.351,0.4,0.4,.364,0.1,31,6-4,0.3,1.1,1.07,0.6
5.5,.487,2.7,2.8,.675,1.9,42,6-3,1.3,7.3,-1.81,1.8
2.5,.400,1.0,1.3,.586,0.8,22,6-4,0.4,2.8,-0.39,1.7
3.0,.229,0.7,0.9,.571,0.5,16,5-10,1.0,1.9,-6.28,0.9
15.8,.400,6.3,8.9,.669,5.9,33,6-5,3.0,18.6,7.00,10.1
6.2,.364,2.2,3.5,.597,2.1,69,6-3,2.0,6.6,-1.37,5.5
6.2,.543,3.4,2.5,.797,2.0,118,6-10,2.7,8.9,-1.07,3.6
1.4,.407,0.6,0.5,.500,0.3,19,6-7,0.7,1.4,-5.31,1.3
3.0,.539,1.6,1.9,.690,1.3,120,7-0,1.7,4.6,3.89,3.3
5.2,.560,2.9,3.5,.613,2.1,122,7-2,2.2,7.9,5.88,5.4
2.5,.446,1.1,1.0,.444,0.5,26,6-2,1.0,2.9,2.82,2.3
1.9,.545,1.1,0.7,.500,0.3,75,7-2,0.8,2.5,6.12,1.7
10.6,.425,4.5,3.0,.818,2.4,50,6-0,2.2,11.4,2.84,3.6
0.5,.000,0.0,0.5,.000,0.0,2,,1.5,0.0,-0.92,0.0
2.0,.000,0.0,2.0,1.000,2.0,1,,1.0,2.0,-2.46,0.0
11.7,.468,5.5,5.8,.729,4.2,73,6-3,2.8,15.1,-1.80,5.1
2.7,.377,1.0,1.0,.595,0.6,43,6-9,1.2,2.5,-4.91,2.6
2.3,.444,1.0,0.0,,0.0,4,,1.0,2.0,-4.39,1.5
0.6,.250,0.1,0.3,1.000,0.3,7,5-10,0.0,0.6,7.52,0.4
1.9,.432,0.8,0.5,.567,0.3,60,6-6,0.9,1.9,-6.79,1.4
1.4,.487,0.7,1.0,.786,0.8,27,6-1,0.9,2.2,-6.46,1.1
0.6,.000,0.0,0.8,.750,0.6,5,6-2,0.6,0.6,-2.59,0.2
1.0,.421,0.4,0.6,.273,0.2,19,6-4,0.6,1.0,-6.53,0.4
9.6,.452,4.3,3.2,.556,1.8,54,6-8,2.4,10.5,-5.05,5.4
13.5,.449,6.1,4.2,.733,3.1,69,6-7,1.9,16.5,8.52,5.0
10.2,.464,4.7,2.8,.625,1.7,87,6-3,2.6,11.2,4.43,6.3
5.3,.355,1.9,1.8,.739,1.3,61,6-3,,5.7,3.19,2.3
3.2,.443,1.4,1.5,.682,1.0,87,6-9,1.0,3.9,7.94,3.8
5.6,.420,2.4,2.3,.686,1.6,37,6-1,1.6,6.3,6.01,3.3
1.0,.167,0.2,1.2,.857,1.0,6,6-0,0.5,1.3,-5.91,0.5
8.1,.411,3.3,1.7,.743,1.2,108,6-0,1.0,8.7,1.66,2.5
6.1,.469,2.9,0.9,.286,0.3,8,6-2,1.8,6.0,-1.04,1.4
1.1,.400,0.4,0.4,.417,0.2,28,6-7,1.1,1.0,-0.02,0.8
