fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
1.7,.388,0.7,0.9,.667,0.6,40,6-9,1.5,1.9,-0.61,1.3
,,2.6,,,0.9,34,,,6.1,7.22,
4.8,.453,2.2,0.7,.839,0.6,77,6-10,0.9,5.8,-1.27,2.5
0.7,.591,0.4,0.6,.632,0.4,30,7-0,0.6,1.3,-1.20,1.1
0.5,.778,0.4,0.2,.333,0.1,17,6-4,0.4,0.9,2.85,0.5
8.2,.423,3.5,2.7,.846,2.3,132,6-3,2.3,10.7,-5.00,3.7
6.5,.382,2.5,2.8,.706,2.0,61,5-10,2.4,7.7,-1.79,1.3
2.8,.481,1.3,1.8,.520,1.0,67,6-4,1.9,3.6,0.65,5.9
5.3,.391,2.1,1.3,.592,0.8,59,6-5,2.3,5.8,-6.75,3.6
11.0,.397,4.4,6.5,.647,4.2,74,6-5,3.4,12.9,-0.92,11.9
13.8,.451,6.2,5.7,.632,3.6,66,6-7,2.6,16.0,2.96,13.7
13.2,.399,5.3,5.2,.747,3.9,82,6-1,2.3,14.4,6.65,5.0
1.6,.233,0.4,0.4,.571,0.2,19,6-0,1.2,0.9,1.47,0.9
8.3,.409,3.4,1.8,.661,1.2,106,6-4,1.4,9.0,-11.23,2.4
4.6,.482,2.2,1.9,.543,1.0,61,6-5,2.3,5.4,-5.04,2.8
4.3,.460,2.0,1.8,.763,1.4,76,6-1,1.1,5.3,0.58,0.9
1.3,.300,0.4,0.2,.333,0.1,15,6-1,1.0,0.9,-7.12,0.2
0.7,.250,0.2,0.0,,0.0,6,6-3,0.0,0.3,-4.23,0.2
12.2,.457,5.6,4.6,.658,3.0,76,6-3,2.4,14.1,,5.6
7.1,.363,2.6,0.8,.718,0.6,49,6-4,,6.8,-7.12,1.5
2.5,.377,0.9,1.4,.763,1.0,28,6-4,1.0,3.1,-7.22,1.6
5.0,.453,2.3,2.0,.636,1.3,94,6-7,2.1,6.2,-6.34,3.3
11.9,.366,4.4,3.2,.758,2.4,65,5-11,2.3,11.1,5.92,3.4
1.1,.375,0.4,0.4,.667,0.3,7,6-1,,1.3,-10.72,0.9
,,1.3,1.1,.500,0.6,28,,1.7,3.1,,
6.0,.420,2.5,1.6,.684,1.1,24,6-0,2.3,6.1,-2.71,2.2
7.9,.639,5.0,3.8,.592,2.2,129,6-7,3.2,12.3,-0.85,9.8
4.1,.498,2.1,1.8,.626,1.1,52,6-5,2.0,5.2,4.87,3.0
2.7,.500,1.3,1.4,.471,0.7,12,6-8,1.7,3.3,-0.28,2.1
11.6,.409,4.8,3.8,.725,2.8,116,6-2,2.3,14.2,-6.81,3.3
0.3,.000,0.0,0.0,,0.0,7,,0.0,0.0,2.85,0.1
1.4,.296,0.4,0.4,.750,0.3,20,6-4,0.9,1.3,-3.76,1.0
7.8,.419,3.3,2.6,.682,1.8,102,6-4,1.0,8.5,-11.15,2.7
6.3,.392,2.5,3.9,.748,2.9,39,6-4,2.6,7.8,6.57,3.9
3.9,.443,1.7,0.7,.564,0.4,54,6-3,1.3,3.9,-0.19,0.9
10.0,.500,5.0,5.6,.607,3.4,5,,7.0,13.4,-6.11,8.2
6.3,.566,3.6,3.7,.642,2.4,65,6-5,2.5,9.8,3.69,6.5
4.8,.407,2.0,2.2,.680,1.5,117,6-1,1.7,5.6,8.21,2.1
0.7,.167,0.1,0.4,.750,0.3,9,6-0,0.1,0.6,8.90,0.2
4.9,.430,2.1,0.8,.651,0.5,54,6-3,1.6,5.4,0.34,1.6
1.6,.308,0.5,0.0,,0.0,8,6-5,0.8,1.4,0.82,1.3
11.4,.388,4.4,4.3,.792,3.4,59,6-3,2.7,13.6,,3.3
6.5,.590,3.9,2.8,.663,1.9,63,6-0,2.1,9.6,4.15,6.9
0.5,.000,0.0,1.0,.000,0.0,2,6-4,0.0,0.0,-0.83,1.5
3.8,.426,1.6,1.4,.649,0.9,116,6-2,1.2,4.6,5.41,1.4
3.0,.538,1.6,1.5,.660,1.0,63,6-6,2.4,4.2,-8.59,3.1
1.1,.500,0.6,1.0,.640,0.7,49,7-0,1.5,1.8,5.65,1.8
9.3,.512,4.7,2.1,.789,1.7,51,6-1,1.8,11.2,5.43,2.8
,,0.2,,,0.3,10,6-4,,0.7,5.47,
2.5,.408,1.0,2.0,.593,1.2,30,6-1,1.6,3.2,-1.88,1.3
8.1,.509,4.1,3.8,.578,2.2,119,6-8,2.4,10.4,6.94,6.3
10.8,.416,4.5,3.2,.668,2.1,132,6-0,1.9,12.5,2.41,3.8
0.0,,0.0,0.0,,0.0,1,6-1,0.0,0.0,5.01,0.0
8.9,.371,3.3,3.0,.821,2.4,121,6-0,1.7,10.9,-0.15,1.9
4.3,.433,1.9,1.1,.872,1.0,125,6-5,1.2,6.0,7.55,1.6
6.1,.439,2.7,2.1,.700,1.5,121,6-8,2.0,6.9,3.25,4.1
0.3,.333,0.1,0.3,.667,0.2,10,6-1,0.0,0.5,7.53,0.1
0.9,.412,0.4,0.3,.400,0.1,20,6-5,0.2,0.9,5.64,0.3
5.4,.543,2.9,4.0,.734,2.9,131,6-6,2.3,9.0,3.28,4.9
1.8,.478,0.8,1.0,.846,0.8,13,5-8,0.5,2.8,-10.26,1.1
1.2,.615,0.7,0.4,.500,0.2,11,6-10,0.6,1.7,4.84,2.2
11.1,.548,6.1,6.0,.732,4.4,112,6-9,1.8,16.5,2.94,11.8
4.2,.388,1.6,2.5,.755,1.9,58,5-10,2.4,5.6,-9.32,3.1
11.5,.501,5.8,3.1,.638,2.0,94,6-3,,13.3,-7.63,2.7
3.3,.328,1.1,1.1,.638,0.7,53,6-5,0.7,3.3,-0.78,2.2
0.3,.333,0.1,0.1,.000,0.0,9,,1.1,0.2,-8.68,0.2
6.2,.405,2.5,4.9,.696,3.4,77,6-5,2.4,8.5,1.66,5.3
0.3,.429,0.1,0.0,,0.0,24,6-3,0.1,0.4,-2.13,0.1
2.7,.462,1.3,1.5,.583,0.9,24,6-5,0.8,3.5,-7.83,2.2
0.1,1.000,0.1,0.0,,0.0,7,6-10,0.1,0.3,-3.72,0.3
5.0,.317,1.6,0.4,.619,0.2,57,5-10,0.8,4.6,-0.47,1.1
0.5,.000,0.0,0.0,,0.0,4,6-7,0.0,0.0,7.96,0.0
5.4,.385,2.1,0.9,.727,0.7,24,6-0,1.0,4.8,5.48,1.2
,,,,,,,,,,3.99,
2.5,.400,1.0,0.5,1.000,0.5,2,,1.0,2.5,,4.0
11.9,.356,4.2,6.0,.662,4.0,49,6-2,1.1,12.4,2.80,4.0
2.3,.326,0.8,1.3,.440,0.6,20,6-0,0.6,2.1,3.54,0.5
2.3,.341,0.8,0.6,.273,0.2,18,6-2,1.2,1.7,4.28,0.9
4.0,.364,1.5,1.6,.556,0.9,11,6-1,1.5,3.8,-4.83,1.4
1.5,.443,0.6,0.4,.789,0.3,54,6-1,0.7,2.1,6.10,1.2
2.1,.304,0.6,1.7,.649,1.1,22,6-1,1.2,2.4,4.33,2.3
1.7,.400,0.7,0.7,.736,0.5,75,6-7,0.9,1.9,7.55,0.8
1.1,.381,0.4,0.7,.538,0.4,19,5-10,0.5,1.2,-2.25,0.4
2.4,1.274,3.1,0.6,1.714,1.1,67,6-3,0.9,7.3,-1.93,6.0
,,0.5,0.0,,0.0,4,6-3,0.3,1.0,,
12.0,.454,5.4,4.2,.709,2.9,72,,1.7,13.8,-8.43,5.3
2.0,.326,0.6,0.8,.706,0.5,22,6-5,1.4,1.8,-3.01,1.8
2.4,.286,0.7,1.4,.563,0.8,23,,1.3,2.2,6.07,
1.0,1.000,1.0,0.0,,0.0,1,5-10,0.0,2.0,6.44,0.0
0.6,.294,0.2,0.3,.750,0.2,27,6-4,,0.6,-9.25,0.5
14.6,.436,6.4,9.2,.729,6.7,77,6-7,3.4,19.5,4.65,12.4
13.2,.412,5.4,5.0,.660,3.3,72,6-3,2.6,14.2,7.85,9.5
1.9,.200,0.4,1.6,.769,1.3,16,6-0,0.2,2.0,1.16,
1.8,.297,0.5,0.6,.385,0.2,21,6-4,,1.3,-8.26,0.9
3.5,.571,2.0,0.0,,0.0,2,6-8,0.0,5.0,-2.95,1.0
7.5,.415,3.1,2.0,.644,1.3,29,6-10,,8.1,-5.14,6.1
0.6,.750,0.4,0.6,.500,0.3,7,6-7,0.9,1.1,5.73,1.3
3.5,.434,1.5,2.0,.672,1.3,118,5-11,0.6,4.4,8.89,1.7
11.0,.398,4.4,3.8,.685,2.6,129,6-6,2.5,12.7,7.16,3.6
2.4,.457,1.1,1.4,.621,0.8,97,6-8,1.6,3.0,-7.25,1.7
1.1,.395,0.4,1.3,.630,0.8,35,5-9,0.9,1.7,7.00,0.7
5.4,.474,2.5,1.1,.690,0.8,132,6-7,1.8,6.6,7.39,4.5
0.5,.600,0.3,0.0,,0.0,10,6-0,,0.6,-0.49,0.2
3.7,.474,1.8,2.1,.680,1.4,111,6-10,2.3,4.9,8.99,4.8
8.3,.484,4.0,2.1,.693,1.4,92,6-7,2.3,9.5,1.80,6.7
3.2,.532,1.7,1.5,.604,0.9,98,6-9,1.1,4.3,3.89,2.8
,,0.0,0.0,,0.0,1,,1.0,0.0,-2.27,
4.5,.224,1.0,2.5,.625,1.5,13,6-6,2.3,3.5,-2.90,4.5
2.5,.225,0.6,0.3,.800,0.3,16,,0.6,1.6,-9.82,0.8
