fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
0.6,.250,0.2,0.3,.556,0.2,26,7-1,0.3,0.5,-9.00,0.2
3.2,.235,0.8,1.7,.571,1.0,21,6-0,0.9,2.5,,
,,1.0,1.5,.688,1.0,22,,,3.0,,
3.3,.333,1.1,1.4,.630,0.9,19,6-0,1.3,3.1,-16.65,1.6
0.3,.000,0.0,0.0,,0.0,3,,0.3,0.0,2.71,0.0
0.2,.400,0.1,0.1,.500,0.0,27,6-9,0.2,0.2,10.74,0.4
2.5,.504,1.3,1.2,.623,0.8,108,6-7,1.7,3.3,-4.58,3.0
4.5,.401,1.8,1.1,.806,0.9,112,5-10,1.2,5.8,-5.82,1.2
7.8,.368,2.9,1.7,.796,1.3,129,5-9,1.1,8.9,-5.54,1.6
2.5,.420,1.1,1.6,.656,1.1,113,5-9,,3.2,-0.80,1.0
8.5,.490,4.2,4.4,.682,3.0,110,6-8,3.3,11.3,7.62,6.5
0.2,.000,0.0,0.4,1.000,0.4,10,,0.3,0.4,4.45,0.4
9.6,.428,4.1,2.4,.840,2.0,63,6-1,2.3,10.3,4.16,2.1
2.9,.382,1.1,1.2,.558,0.7,69,6-3,1.7,2.9,3.42,2.1
3.5,.233,0.8,1.2,.524,0.6,17,5-11,1.2,2.3,,
0.3,.500,0.1,1.1,.500,0.6,7,6-9,0.3,0.9,8.81,1.1
1.9,.366,0.7,0.4,.714,0.3,37,6-7,0.8,1.8,-2.50,1.4
0.8,.571,0.4,0.3,.333,0.1,9,6-3,0.4,1.0,-12.05,0.8
4.1,.616,2.6,2.5,.582,1.4,27,6-5,2.4,6.6,0.84,6.7
2.6,.581,1.5,1.5,.486,0.7,24,6-6,1.8,3.7,3.68,3.1
7.2,.604,4.3,2.7,.581,1.5,89,6-11,3.0,10.2,-4.82,7.1
2.1,.557,1.2,1.5,.432,0.6,135,6-10,2.5,3.0,9.12,3.4
6.7,.477,3.2,3.8,.595,2.3,127,6-9,3.0,8.7,8.47,6.1
3.6,.435,1.6,2.6,.485,1.3,51,6-8,2.0,4.4,2.22,4.6
2.2,.455,1.0,2.4,.500,1.2,5,6-7,1.8,3.2,-9.85,2.8
1.3,.432,0.6,0.5,.490,0.2,103,6-11,1.1,1.4,-3.47,1.7
3.5,.428,1.5,2.5,.434,1.1,125,6-9,2.5,4.0,3.53,4.3
