fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
9.8,.497,4.9,3.5,.700,2.5,114,6-2,2.1,13.3,-2.01,3.8
6.4,.486,3.1,4.4,.617,2.7,60,6-8,3.2,9.5,11.63,5.8
3.6,.497,1.8,1.8,.615,1.1,89,6-10,2.1,4.7,-2.18,2.6
0.6,.222,0.1,0.3,1.000,0.3,14,6-8,0.6,0.7,-2.25,0.4
0.6,.333,0.2,1.6,.625,1.0,5,,0.2,1.6,4.86,0.2
1.4,.154,0.2,0.2,.000,0.0,9,5-11,0.0,0.7,-2.79,0.4
1.5,.000,0.0,0.0,,0.0,2,6-0,0.0,0.0,-12.46,0.0
6.9,.480,3.3,1.3,.738,1.0,62,6-7,2.8,8.1,-4.83,7.3
1.5,.433,0.7,0.9,.711,0.6,44,6-3,0.7,2.1,-5.53,0.9
0.5,.250,0.1,0.3,1.000,0.3,8,6-4,0.6,0.5,-2.80,0.4
3.4,.494,1.7,1.3,.581,0.7,74,6-8,1.8,4.1,-2.80,3.4
0.7,.375,0.3,0.5,.333,0.2,12,,0.4,0.7,-4.22,1.0
5.9,.291,1.7,1.5,.816,1.2,33,6-4,1.8,5.7,-8.79,1.6
3.2,.281,0.9,1.3,.538,0.7,10,,1.9,2.5,-3.57,3.9
10.1,.433,4.4,2.6,.732,1.9,43,6-1,2.7,10.6,-0.66,3.0
3.3,.524,1.8,1.5,.639,0.9,49,6-9,1.7,4.4,0.76,2.9
1.1,.308,0.3,0.3,1.000,0.3,12,,0.4,1.0,-8.91,0.5
0.5,.000,0.0,1.3,.200,0.3,4,,0.3,0.3,3.36,1.0
4.4,.548,2.4,2.9,.635,1.8,90,6-8,3.1,6.7,4.61,5.4
12.1,.487,5.9,4.3,.747,3.2,81,6-5,2.2,15.0,2.32,5.8
4.5,.413,1.9,1.9,.674,1.3,23,6-4,1.4,5.0,-11.77,5.0
3.5,.465,1.6,1.4,.634,0.9,117,6-9,2.6,4.5,7.64,2.8
6.8,.368,2.5,4.2,.646,2.7,50,5-11,,8.3,-8.14,2.5
