fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
2.5,.493,1.2,1.7,.462,0.8,56,6-8,1.8,3.2,-2.75,5.4
5.3,.424,2.3,2.5,.757,1.9,93,6-8,2.1,7.4,-3.38,3.8
5.5,.392,2.1,1.4,.656,0.9,44,6-4,1.1,5.9,4.71,3.3
4.6,.435,2.0,2.2,.523,1.1,98,6-10,2.3,5.1,7.98,5.2
0.6,.600,0.4,0.7,.167,0.1,17,6-8,1.4,0.8,-1.47,1.8
1.0,.556,0.5,0.4,.214,0.1,66,7-0,1.8,1.2,-3.69,1.7
1.1,.649,0.7,1.0,.413,0.4,72,7-1,1.4,1.8,1.00,1.8
0.0,,0.0,0.0,,0.0,1,6-8,1.0,0.0,-8.82,1.0
4.5,.479,2.1,1.5,.769,1.2,60,6-9,2.4,5.4,2.77,3.6
1.9,.412,0.8,2.1,.421,0.9,9,6-6,2.9,2.4,-5.57,2.0
6.1,.410,2.5,1.8,.762,1.4,122,6-3,2.0,7.6,6.50,2.3
7.4,.418,3.1,2.2,.661,1.4,77,,3.1,7.6,-1.40,4.9
6.9,.380,2.6,2.1,.671,1.4,114,6-4,1.5,7.7,-1.96,2.8
7.0,.498,3.5,3.9,.724,2.8,71,6-10,2.4,10.3,9.38,5.3
1.9,.434,0.8,1.5,.484,0.7,44,6-5,2.0,2.3,-0.83,2.8
1.0,.444,0.4,0.6,.400,0.2,9,6-9,2.4,1.1,-8.76,2.1
4.0,.471,1.9,1.5,.581,0.9,48,6-8,2.2,4.9,-4.05,3.1
8.5,.378,3.2,4.7,.727,3.4,44,6-4,2.1,10.3,1.37,3.0
1.3,.393,0.5,0.2,.500,0.1,21,6-4,0.5,1.5,7.79,0.6
0.8,.200,0.2,0.3,.000,0.0,20,6-4,0.9,0.3,-4.00,0.5
7.7,.400,3.1,5.5,.715,4.0,45,6-1,2.2,10.8,7.33,3.5
3.2,.468,1.5,1.9,.479,0.9,63,6-7,2.0,3.9,-4.72,2.8
4.7,.354,1.7,1.7,.789,1.3,112,6-0,1.2,5.9,-8.99,1.6
3.2,.405,1.3,1.7,.758,1.3,53,6-4,1.2,4.2,-2.46,2.0
,,4.5,3.8,.699,2.6,30,,3.3,11.7,,
4.8,.386,1.8,1.8,.678,1.2,67,6-1,1.7,4.9,5.81,1.4
5.8,.513,3.0,1.1,.718,0.8,77,6-1,1.4,7.6,-4.30,1.6
0.8,.286,0.2,0.0,,0.0,9,6-5,0.4,0.4,-2.31,1.2
