fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
2.4,.143,0.3,1.0,.636,0.6,23,,2.3,1.3,6.28,
2.6,.390,1.0,1.0,.853,0.8,76,6-1,0.9,3.7,5.72,1.4
1.3,.200,0.3,0.9,.571,0.5,8,,0.5,1.0,8.44,0.9
2.1,.479,1.0,0.9,.739,0.7,77,,1.5,2.7,2.70,1.5
4.6,.333,1.5,0.9,.667,0.6,30,,1.3,3.7,-12.96,3.0
0.0,,0.0,0.4,1.000,0.4,5,,0.2,0.4,5.35,0.2
0.7,.000,0.0,0.7,.500,0.3,3,,0.3,0.3,-7.51,
0.3,.400,0.1,0.0,,0.0,17,6-5,0.1,0.2,8.15,0.2
8.3,.555,4.6,3.8,.690,2.6,107,6-8,,11.8,-4.04,7.0
,,3.3,4.9,.571,2.8,33,,2.1,9.5,,
,,0.8,1.7,.548,0.9,25,,0.1,2.4,,
5.5,.431,2.4,1.5,.676,1.0,99,6-3,0.6,6.2,4.81,1.9
4.1,.444,1.8,2.5,.689,1.7,85,,2.0,5.4,3.32,2.4
6.2,.288,1.8,2.3,.628,1.4,19,,1.4,5.0,-0.72,4.4
,,0.9,1.2,.636,0.8,18,6-3,0.9,2.6,,
,,0.2,,,0.3,10,,,0.7,,
4.4,.388,1.7,2.5,.643,1.6,46,,2.3,5.0,-2.89,1.9
6.4,.388,2.5,2.8,.722,2.0,102,6-4,1.5,8.1,-1.09,3.8
5.3,.516,2.7,1.7,.661,1.1,36,6-11,3.0,6.6,8.84,3.1
0.8,.333,0.3,1.3,.400,0.5,4,,0.0,1.0,-0.12,
0.3,.000,0.0,0.7,.800,0.6,7,,0.7,0.6,0.49,0.4
0.6,.000,0.0,0.0,,0.0,8,6-5,0.1,0.0,-7.09,0.3
2.7,.391,1.1,1.1,.637,0.7,107,6-9,1.6,2.8,-3.90,2.6
0.9,.333,0.3,1.6,.636,1.0,7,6-6,1.7,1.6,-7.62,1.0
0.6,.235,0.1,0.1,.750,0.1,27,6-2,0.2,0.4,-5.68,0.3
11.4,.284,3.2,1.9,.653,1.3,77,5-9,2.3,7.8,-1.81,2.1
2.3,.511,1.2,1.6,.716,1.1,60,6-1,1.2,3.5,3.79,1.7
2.5,.320,0.8,1.5,.600,0.9,10,6-4,1.4,2.5,,1.3
0.4,.167,0.1,0.7,.500,0.3,15,,0.2,0.5,-4.69,0.6
4.2,.469,2.0,2.2,.721,1.6,100,6-5,0.8,5.6,-7.40,3.3
15.4,.474,7.3,6.4,.643,4.1,69,6-5,3.4,18.7,0.76,10.9
1.3,.111,0.1,0.3,.500,0.1,7,6-11,0.4,0.4,-1.19,0.6
0.3,.000,0.0,0.0,,0.0,3,6-2,0.0,0.0,1.62,0.0
2.3,.309,0.7,0.8,.708,0.6,29,6-9,0.6,2.3,0.53,2.1
3.4,.426,1.5,1.5,.554,0.8,49,6-2,2.4,3.8,-6.88,1.5
0.2,.333,0.1,0.0,,0.0,16,6-10,0.3,0.1,-0.64,0.3
5.8,.439,2.5,2.1,.633,1.3,93,6-7,3.2,6.9,-0.71,3.9
9.8,.490,4.8,4.2,.618,2.6,62,6-6,2.9,12.2,6.26,9.3
0.7,.500,0.3,0.0,,0.0,6,,0.0,0.7,-1.35,0.2
2.4,.290,0.7,0.8,.300,0.2,13,6-6,0.8,1.6,1.80,2.5
3.4,.331,1.1,0.6,.714,0.4,48,,0.7,2.7,3.70,1.0
2.6,.507,1.3,1.5,.405,0.6,82,6-7,1.1,3.2,4.27,2.4
4.1,.432,1.8,1.4,.669,1.0,117,6-0,2.3,4.6,1.99,2.2
1.8,.469,0.8,0.6,.500,0.3,18,5-10,0.4,1.9,3.19,0.7
7.1,.561,4.0,4.5,.769,3.5,80,6-9,,11.4,-5.05,6.3
5.8,.433,2.5,1.0,.667,0.6,60,6-7,0.1,5.7,-2.11,3.6
3.1,.430,1.3,1.4,.667,1.0,58,6-3,1.5,3.7,-0.52,2.4
1.9,.536,1.0,0.8,.667,0.5,15,5-10,0.8,2.5,-1.00,0.5
8.2,.529,4.4,1.7,.644,1.1,51,6-3,,10.1,-5.01,3.2
14.7,.454,6.7,4.4,.660,2.9,89,6-10,2.6,16.3,2.19,14.2
4.1,.513,2.1,3.1,.633,1.9,111,6-7,2.3,6.1,-5.45,5.5
9.3,.416,3.9,2.8,.744,2.1,104,6-3,1.6,11.5,7.61,3.8
,,,,,,,,,,1.49,
8.5,.433,3.7,2.0,.833,1.6,135,6-2,1.8,10.9,8.94,3.0
0.6,.333,0.2,1.2,.500,0.6,5,5-11,,1.0,3.05,0.2
3.9,.488,1.9,1.7,.617,1.1,104,6-9,1.6,4.9,-4.44,2.8
4.0,.403,1.6,0.5,.480,0.2,97,6-7,2.1,4.4,-1.14,3.5
6.8,.352,2.4,2.4,.582,1.4,46,5-10,1.0,6.2,-2.76,1.8
4.5,.442,2.0,1.3,.620,0.8,85,6-7,1.6,4.8,3.24,3.5
0.3,.000,0.0,0.0,,0.0,3,6-4,0.3,0.0,0.78,0.0
2.1,.308,0.6,0.3,.571,0.2,25,,,1.9,1.94,0.8
7.7,.371,2.8,3.1,.555,1.7,69,6-2,1.9,7.4,0.34,
9.1,.471,4.3,2.3,.722,1.7,110,6-5,1.9,11.9,-1.29,5.4
12.3,.448,5.5,4.6,.654,3.0,58,6-6,2.7,14.1,0.05,8.5
8.0,.396,3.2,2.3,.774,1.8,54,6-5,2.3,8.1,-1.73,2.5
2.9,.467,1.4,2.5,.825,2.0,62,6-0,2.1,4.8,-1.73,1.9
1.7,.548,0.9,0.2,.000,0.0,18,6-8,1.6,1.9,-8.49,2.2
6.5,.444,2.9,2.7,.677,1.9,71,6-7,2.3,7.6,2.40,7.2
0.3,1.000,0.3,0.0,,0.0,6,,0.0,0.7,-2.66,0.3
7.7,.460,3.5,1.8,.634,1.1,69,6-6,2.0,8.3,-2.33,4.7
10.4,.448,4.6,2.4,.607,1.4,77,6-6,2.4,10.8,-2.28,6.6
0.9,.429,0.4,0.8,1.000,0.8,8,6-1,0.3,1.6,-5.96,0.1
13.2,.404,5.3,4.2,.784,3.3,39,6-5,3.0,13.9,-0.19,6.6
8.5,.437,3.7,2.5,.678,1.7,74,6-6,2.8,9.1,-1.46,4.1
4.3,.342,1.5,1.0,.652,0.7,63,6-0,1.9,3.6,1.24,1.5
