fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
0.5,.000,0.0,0.3,1.000,0.3,6,5-11,0.5,0.3,-2.97,0.0
0.1,.000,0.0,0.0,,0.0,7,6-6,0.3,0.0,10.95,0.1
6.7,.411,2.7,2.5,.753,1.9,113,6-8,2.8,7.8,3.84,5.0
4.3,.385,1.7,0.9,.554,0.5,100,6-3,1.7,4.4,3.37,2.6
0.9,.167,0.1,0.4,.667,0.3,7,5-10,0.3,0.6,7.16,0.1
8.1,.545,4.4,4.0,.614,2.5,119,6-8,2.6,11.4,-3.61,7.6
5.4,.423,2.3,1.0,.781,0.8,31,6-4,2.3,7.0,,2.7
9.3,.368,3.4,2.6,.794,2.0,102,5-7,1.6,10.8,-11.43,2.0
1.9,.479,0.9,1.2,.546,0.7,88,6-7,0.3,2.5,-8.78,2.2
0.4,.273,0.1,0.1,.500,0.1,27,6-2,0.2,0.4,-5.15,0.2
3.9,.408,1.6,1.1,.563,0.6,45,,1.8,3.8,0.07,3.9
8.5,.428,3.6,3.7,.723,2.7,100,6-6,1.4,11.0,5.78,4.5
0.0,,0.0,0.0,,0.0,1,6-0,0.0,0.0,-3.09,0.0
0.2,.750,0.2,0.2,.500,0.1,17,6-6,0.1,0.5,9.31,0.2
14.2,.465,6.6,5.4,.730,3.9,42,,2.8,17.2,-5.44,5.2
,,5.2,,,2.7,20,,,13.1,,
4.3,.398,1.7,1.2,.827,1.0,62,6-1,0.7,4.5,2.21,0.8
3.3,.441,1.4,1.7,.674,1.1,54,6-5,1.2,4.0,-5.73,3.6
7.5,.378,2.8,2.2,.690,1.5,97,5-11,,8.0,-4.21,2.0
4.1,.345,1.4,0.7,.609,0.5,117,6-6,1.2,3.7,4.21,1.9
0.5,.000,0.0,0.3,.000,0.0,6,,0.3,0.0,5.69,0.2
2.3,.556,1.3,0.0,,0.0,4,6-0,0.5,2.8,-5.13,0.8
2.9,.391,1.2,0.9,.561,0.5,106,6-10,,2.8,5.73,2.9
0.8,.500,0.4,0.3,.500,0.1,8,6-4,0.3,0.9,-5.19,0.6
0.0,,0.0,0.0,,0.0,3,,0.0,0.0,-0.98,0.0
6.4,.470,3.0,2.2,.526,1.1,36,6-8,,7.2,4.75,4.2
0.4,.000,0.0,0.3,1.000,0.3,18,6-5,0.3,0.3,3.27,0.5
6.9,.397,2.7,2.9,.660,1.9,99,6-6,2.2,8.4,6.41,3.9
2.2,.497,1.1,1.4,.691,1.0,69,6-3,0.4,3.2,-2.67,0.9
1.3,.577,0.8,0.6,.583,0.4,20,6-6,0.8,1.9,-0.59,1.3
3.5,.356,1.3,0.6,.733,0.4,53,6-1,0.8,3.5,-7.37,1.3
6.3,.411,2.6,4.4,.667,3.0,23,5-11,3.1,8.2,-0.29,5.0
9.5,.443,4.2,3.4,.709,2.4,55,6-3,2.1,10.9,-4.17,2.3
5.7,.434,2.5,2.8,.660,1.9,50,6-5,3.4,6.8,1.57,5.2
3.2,.414,1.3,2.3,.639,1.4,54,6-4,1.6,4.1,3.26,3.4
6.0,.458,2.7,1.7,.640,1.1,51,6-2,2.6,6.6,1.57,2.4
2.1,.366,0.8,0.4,.769,0.3,95,6-5,1.0,2.3,-2.53,1.7
9.6,.438,4.2,3.1,.822,2.5,70,6-1,1.8,12.7,0.65,6.1
1.4,.381,0.5,1.0,.733,0.7,15,6-2,0.4,1.8,-5.39,0.5
2.0,.667,1.3,0.3,.000,0.0,3,,0.7,2.7,-6.51,7.3
3.4,.421,1.4,1.7,.435,0.7,50,6-2,2.5,3.6,-5.75,2.4
0.2,.500,0.1,0.1,.000,0.0,26,6-3,0.1,0.2,9.22,0.1
1.9,.436,0.8,1.2,.689,0.8,53,6-8,2.1,2.6,-4.47,1.8
5.1,.356,1.8,0.9,.490,0.4,57,5-7,1.5,4.8,9.15,2.2
1.9,.491,0.9,0.8,.542,0.4,29,6-8,1.9,2.3,1.43,2.2
9.8,.346,3.4,2.3,.784,1.8,80,5-11,0.9,9.8,-5.37,2.4
8.4,.472,4.0,1.4,.739,1.0,51,6-6,1.8,10.5,-3.31,4.1
0.7,.364,0.3,0.5,.533,0.3,31,6-5,0.9,0.8,-4.07,0.7
17.9,.485,8.7,7.2,.733,5.3,118,6-5,,22.9,-7.06,8.6
3.4,.402,1.4,1.0,.539,0.5,104,6-6,2.0,3.5,-8.03,3.2
6.3,.443,2.8,1.9,.688,1.3,50,6-2,2.8,6.9,-2.00,3.5
8.3,.459,3.8,3.5,.733,2.5,68,6-3,2.1,10.1,0.40,2.6
6.3,.428,2.7,1.7,.739,1.3,80,6-9,,7.0,2.60,4.9
3.8,.477,1.8,1.9,.810,1.5,110,6-1,1.9,5.4,-2.53,1.5
3.6,.432,1.6,1.1,.848,0.9,61,6-1,1.0,4.0,-3.25,1.5
0.0,,0.0,1.0,.500,0.5,2,,0.0,0.5,-11.39,0.0
1.9,.380,0.7,1.4,.658,0.9,57,6-6,1.1,2.5,-2.10,2.2
0.2,.000,0.0,0.6,.167,0.1,10,6-6,0.4,0.1,9.41,1.0
8.7,.594,5.1,4.4,.646,2.9,86,7-0,2.7,13.2,2.08,9.0
8.2,.426,3.5,3.0,.802,2.4,111,6-2,1.7,10.5,2.26,2.7
4.2,.410,1.7,3.4,.672,2.3,108,6-2,1.4,6.1,,2.7
6.5,.400,2.6,1.9,.826,1.5,114,6-2,1.6,8.1,1.36,2.7
3.7,.359,1.3,1.0,.686,0.7,119,6-3,1.5,4.0,-1.85,1.8
16.3,.476,7.7,7.7,.713,5.5,78,6-5,2.9,21.0,2.53,12.0
0.8,.404,0.3,0.5,.563,0.3,65,6-8,0.0,0.9,2.57,1.3
3.1,.474,1.5,1.8,.596,1.1,51,6-7,1.0,4.0,6.40,3.1
2.9,.391,1.1,0.3,.000,0.0,8,6-8,,2.4,-4.81,2.0
1.3,.629,0.8,1.4,.486,0.7,27,6-8,1.6,2.3,-7.74,1.6
4.1,.451,1.9,2.4,.663,1.6,122,6-1,2.0,5.5,-6.87,2.4
6.1,.268,1.6,1.7,.630,1.1,27,6-1,1.4,4.3,0.25,2.4
12.5,.400,5.0,3.2,.781,2.5,81,6-3,2.1,12.6,-0.78,2.3
1.0,.318,0.3,0.1,.667,0.1,23,6-0,0.5,0.9,-2.13,0.2
7.7,.463,3.6,3.5,.637,2.2,51,6-5,3.7,9.4,0.95,6.5
7.1,.403,2.9,3.3,.895,2.9,67,6-3,1.7,10.1,8.87,2.9
9.6,.467,4.5,4.5,.491,2.2,77,6-8,2.9,11.3,-3.74,8.2
9.0,.419,3.8,5.1,.684,3.5,54,6-9,3.0,11.0,2.25,8.8
1.4,.410,0.6,0.8,.432,0.4,54,6-7,1.7,1.5,4.98,2.2
4.1,.254,1.1,2.9,.617,1.8,57,5-11,1.4,3.9,-5.83,1.0
10.7,.392,4.2,4.6,.686,3.2,69,6-3,2.2,11.6,6.39,5.5
6.9,.478,3.3,1.9,.649,1.2,109,6-7,,8.3,-6.33,6.6
1.8,.327,0.6,0.7,.571,0.4,57,6-8,0.7,1.7,-6.15,1.6
4.5,.347,1.5,2.4,.769,1.8,11,6-6,2.3,4.9,1.71,3.0
2.6,.338,0.9,1.1,.571,0.6,26,,1.7,2.4,-3.40,1.2
,,0.8,,,0.2,19,,,1.8,,
0.4,.333,0.1,0.3,.500,0.1,21,5-11,0.2,0.5,7.16,0.1
0.0,,0.0,0.0,,0.0,3,,0.0,0.0,-6.67,1.3
7.0,.381,2.7,3.8,.654,2.5,69,6-6,2.8,7.8,-9.56,5.8
1.1,.378,0.4,0.6,.522,0.3,41,6-5,0.7,1.1,-0.78,1.6
,.000,,,.000,,,,,,,
3.0,.364,1.1,0.7,.619,0.4,29,5-10,1.5,2.7,-0.84,1.2
1.9,.418,0.8,0.9,.529,0.5,75,6-6,0.9,2.1,-9.61,1.1
2.0,.292,0.6,0.9,.581,0.5,36,6-2,1.0,1.7,0.67,
11.6,.399,4.6,5.4,.545,2.9,80,6-5,1.5,17.5,-6.41,21.5
0.4,.286,0.1,0.7,.692,0.5,18,6-5,0.5,0.7,4.90,0.7
5.2,.461,2.4,3.2,.698,2.3,46,6-3,1.8,7.1,1.11,6.2
1.0,.333,0.3,0.0,,0.0,3,6-0,0.7,0.7,10.79,1.0
8.0,.443,3.6,1.9,.697,1.4,68,6-1,1.4,9.7,9.85,1.9
10.9,.375,4.1,3.8,.763,2.9,55,6-2,3.2,12.5,3.19,2.6
2.0,.523,1.0,0.5,.583,0.3,22,6-9,2.6,2.4,-0.83,1.8
4.7,.388,1.8,2.3,.610,1.4,18,6-2,2.2,5.1,1.09,3.8
1.9,.368,0.7,0.9,.554,0.5,71,6-6,,2.1,7.77,1.1
2.4,.460,1.1,0.9,.778,0.7,21,,0.8,2.9,,0.4
5.8,.402,2.3,1.6,.659,1.1,53,6-4,2.0,6.0,1.80,1.7
2.5,.400,1.0,2.0,.750,1.5,2,6-0,0.0,3.5,-1.88,0.5
,,,,,,,5-9,,,,
2.1,.292,0.6,1.1,.578,0.6,57,6-7,1.8,2.0,-7.38,2.2
0.1,1.000,0.1,0.0,,0.0,7,5-11,0.0,0.3,-5.34,0.1
5.7,.366,2.1,1.7,.759,1.3,120,6-3,1.6,6.4,1.23,2.0
3.5,.348,1.2,1.1,.591,0.7,20,6-5,1.2,3.1,-3.53,2.1
0.0,,0.0,0.0,,0.0,2,,0.0,0.0,-4.57,0.5
10.3,.368,3.8,2.3,.744,1.7,71,5-11,2.4,9.3,-1.81,2.2
5.0,.396,2.0,1.3,.815,1.1,41,6-0,0.3,6.0,-4.22,1.6
8.9,.446,4.0,2.3,.825,1.9,123,6-2,1.7,11.8,7.42,2.7
3.8,.530,2.0,3.0,.654,2.0,112,6-5,1.7,6.0,1.00,3.3
2.1,.552,1.2,0.6,.467,0.3,27,6-9,1.5,2.6,-4.49,1.8
0.8,.600,0.5,0.3,.714,0.2,26,6-5,0.8,1.2,1.16,0.6
1.2,.324,0.4,0.6,.688,0.4,29,,0.6,1.1,3.09,1.1
1.1,.345,0.4,0.2,.400,0.1,26,6-6,0.8,0.9,-0.64,1.4
3.9,.498,2.0,2.4,.682,1.6,136,6-9,2.7,5.5,-2.64,3.8
4.0,.643,2.6,1.5,1.234,1.8,73,6-2,0.9,7.0,-5.57,1.5
5.9,.436,2.6,2.2,.535,1.2,60,6-0,3.0,6.3,-3.28,7.5
0.6,.250,0.1,0.0,,0.0,7,,0.4,0.3,,
3.0,.500,1.5,0.5,.500,0.3,4,,3.3,3.3,-4.42,4.8
0.3,.333,0.1,0.2,.500,0.1,12,6-5,0.0,0.3,3.59,0.0
8.8,.240,2.1,1.6,.531,0.9,20,,3.8,5.1,,
6.0,.378,2.3,2.1,.680,1.4,59,6-3,1.5,5.9,-7.25,2.1
1.9,.352,0.7,0.8,.690,0.5,73,6-0,0.7,2.3,-7.01,0.6
