fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
2.4,.410,1.0,1.1,.449,0.5,64,6-9,1.5,2.6,6.53,3.0
0.0,,0.0,0.0,,0.0,2,,1.0,0.0,8.31,1.0
7.2,.453,3.3,3.0,.745,2.2,121,6-6,2.3,9.6,0.61,4.7
3.0,.381,1.1,0.6,.500,0.3,7,,0.4,2.6,2.54,0.3
7.4,.457,3.4,3.8,.670,2.5,100,6-6,1.6,9.3,4.09,2.4
7.8,.316,2.5,1.9,.514,1.0,20,,1.9,5.8,-3.78,
2.4,.318,0.8,0.1,1.000,0.1,9,6-7,0.3,1.7,-5.41,2.6
11.6,.446,5.2,4.8,.746,3.5,48,6-3,2.6,13.9,3.08,3.0
0.9,.429,0.4,0.2,.333,0.1,16,6-0,0.6,0.8,0.54,0.2
3.0,.479,1.4,0.8,.800,0.6,32,5-11,1.4,4.4,5.25,2.2
6.3,.385,2.4,3.9,.762,3.0,27,6-0,2.3,7.8,5.15,4.6
0.8,.313,0.3,1.0,.575,0.6,83,6-1,0.9,1.1,-4.38,0.9
2.1,.406,0.9,0.6,.517,0.3,98,6-7,1.8,2.0,-2.93,1.6
1.5,.167,0.3,0.3,.500,0.1,24,6-6,0.4,0.7,-7.40,1.1
3.3,.532,1.8,1.7,.508,0.9,75,6-9,1.4,4.4,1.12,2.7
2.3,.708,1.6,1.3,.500,0.6,63,6-8,2.1,3.9,-1.75,3.6
9.8,.407,4.0,1.8,.709,1.3,125,6-8,2.7,11.2,-4.95,5.1
2.2,.391,0.9,0.6,.625,0.4,52,6-6,0.8,2.6,-1.89,1.0
1.3,.565,0.7,1.0,.632,0.7,55,6-9,0.7,2.1,-2.27,1.3
0.8,.143,0.1,0.0,,0.0,9,5-11,0.6,0.2,2.46,0.6
6.7,.411,2.8,3.5,.717,2.5,52,6-0,1.9,8.0,-8.06,2.6
9.2,.520,4.8,4.6,.715,3.3,27,6-4,2.6,12.8,,3.7
1.5,.299,0.5,0.4,.842,0.4,44,6-4,0.9,1.5,-6.55,1.1
1.0,.355,0.4,0.4,.333,0.1,30,6-10,1.5,0.9,-4.40,1.0
2.7,.333,0.9,2.0,.643,1.3,21,,1.8,3.1,5.95,2.9
0.0,,0.0,0.0,,0.0,4,6-5,0.0,0.0,-4.78,0.0
4.4,.449,2.0,2.0,.761,1.5,66,6-4,1.3,5.5,1.81,3.5
1.5,.300,0.5,0.3,.500,0.2,13,5-7,0.0,1.1,0.03,0.2
1.5,.167,0.3,0.0,,0.0,8,,0.4,0.5,-11.77,0.1
0.9,.500,0.5,0.5,.444,0.2,19,,0.6,1.2,11.72,1.6
3.1,1.138,3.5,3.2,.610,2.0,75,6-2,1.8,9.0,0.10,
8.2,.632,5.2,4.2,.729,3.1,74,6-10,3.0,13.5,4.67,9.4
2.0,.521,1.0,1.2,.333,0.4,105,7-0,1.9,2.5,-1.74,3.2
2.0,.450,0.9,0.3,.667,0.2,10,,0.5,2.0,6.12,
0.6,.200,0.1,0.6,.600,0.4,8,6-1,0.5,0.8,-0.60,0.9
5.7,.418,2.4,3.3,.609,2.0,104,6-8,3.3,6.8,-11.34,4.1
1.4,.429,0.6,1.2,.478,0.6,20,6-8,1.3,1.8,3.59,1.5
,,0.9,0.5,.571,0.3,13,6-5,1.5,2.2,5.23,
13.1,.436,5.7,5.4,.597,3.2,24,6-7,3.3,15.0,0.13,7.8
0.0,,0.0,0.0,,0.0,1,,0.0,0.0,-2.36,0.0
1.0,.000,0.0,0.0,,0.0,1,6-0,0.0,0.0,-7.37,0.0
6.3,.346,2.2,1.1,.660,0.7,43,,1.3,5.0,-1.90,
1.8,.571,1.0,1.0,.500,0.5,4,,0.3,2.5,-0.96,1.3
3.3,.412,1.4,0.7,.500,0.3,98,6-8,1.6,3.7,-4.16,2.2
5.2,.355,1.8,1.7,.699,1.2,103,5-9,1.5,5.3,0.42,2.2
4.5,.381,1.7,2.4,.685,1.6,53,6-6,2.6,5.0,-4.55,5.1
1.2,.550,0.6,0.5,.625,0.3,17,6-6,0.5,1.6,-2.68,1.3
0.4,.000,0.0,0.0,,0.0,5,6-6,0.0,0.0,-0.82,0.0
10.8,.346,3.7,12.6,.648,8.1,62,,3.2,15.6,-3.68,9.5
6.0,.504,3.0,4.5,.735,3.3,136,7-0,2.3,9.3,3.36,5.0
3.5,.496,1.7,0.9,.621,0.5,34,6-8,,4.0,0.44,3.2
14.1,.427,6.0,5.8,.749,4.3,124,6-2,2.2,17.9,-1.05,4.3
6.9,.514,3.6,2.1,.663,1.4,77,6-1,2.8,8.7,-7.50,3.0
3.8,.445,1.7,1.4,.669,1.0,94,6-7,,4.4,6.27,3.2
10.9,.434,4.7,5.8,.699,4.1,92,6-6,3.2,13.8,-5.45,5.0
4.5,.466,2.1,1.0,.538,0.5,13,6-2,2.2,4.7,5.10,2.4
9.8,.544,5.3,4.3,.739,3.2,82,6-6,2.8,13.8,2.05,7.0
0.4,.000,0.0,0.4,.500,0.2,11,5-10,0.4,0.2,-3.20,0.0
0.0,,0.0,0.0,,0.0,1,6-2,0.0,0.0,2.34,0.0
4.9,.389,1.9,3.2,.655,2.1,27,,,6.2,-2.03,2.9
0.6,.000,0.0,0.3,.000,0.0,7,6-1,,0.0,5.65,0.1
3.9,.490,1.9,1.1,.516,0.6,27,6-9,3.2,4.4,-2.34,3.7
1.3,.250,0.3,0.4,.727,0.3,25,6-4,0.6,1.0,2.96,0.9
0.9,.250,0.2,0.4,1.000,0.4,18,6-7,0.3,0.9,-2.46,1.7
5.9,.391,2.3,1.7,.673,1.1,124,6-3,1.6,6.6,-2.52,3.1
8.3,.530,4.4,2.9,.653,1.9,86,6-6,2.5,10.6,2.49,6.3
0.2,.100,0.0,0.2,.500,0.1,43,6-0,0.2,0.1,-6.44,0.3
