fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
5.4,.227,1.2,0.4,.667,0.3,14,6-4,1.3,3.0,0.78,2.9
4.2,.433,1.8,1.5,.716,1.1,95,6-10,1.9,5.3,6.64,4.2
5.3,.493,2.6,2.3,.492,1.2,53,6-9,2.7,6.4,3.87,4.2
1.4,.340,0.5,0.6,.652,0.4,37,6-8,1.0,1.3,2.63,1.4
1.0,.500,0.5,0.5,.333,0.2,6,6-3,0.3,1.2,-0.69,1.0
0.2,.333,0.1,0.0,,0.0,19,6-7,0.6,0.1,-9.12,0.2
2.5,.451,1.1,1.1,.660,0.8,93,6-9,1.9,3.1,-6.53,2.1
5.5,.438,2.4,2.0,.720,1.4,59,6-3,1.9,6.3,-3.68,4.4
0.0,,0.0,0.0,,0.0,1,,0.0,0.0,,0.0
5.2,.503,2.6,2.2,.679,1.5,120,6-8,2.6,6.7,-2.42,5.6
0.4,.500,0.2,0.0,,0.0,5,5-11,0.0,0.4,0.99,0.0
7.3,.261,1.9,1.8,.500,0.9,19,6-0,3.4,4.7,,
1.6,.313,0.5,0.6,.833,0.5,10,6-4,1.4,1.5,-4.16,3.3
1.7,.557,1.0,1.5,.665,1.0,123,6-10,1.8,2.9,2.27,2.7
8.8,.571,5.0,4.0,.711,2.8,70,6-8,2.5,12.9,3.84,7.5
1.9,.288,0.5,0.5,.714,0.3,31,5-10,0.7,1.6,-3.48,1.1
8.1,.411,3.3,2.0,.657,1.3,83,6-2,2.3,8.0,-0.14,6.4
4.9,.507,2.5,3.5,.590,2.1,124,6-10,2.6,7.0,2.79,3.9
0.3,.333,0.1,0.0,,0.0,11,6-1,0.0,0.2,-3.78,0.1
1.3,.448,0.6,0.7,.733,0.5,22,,0.5,1.7,7.35,0.8
0.6,.263,0.2,0.2,.455,0.1,66,6-5,1.0,0.4,7.12,0.7
6.9,.403,2.8,1.6,.429,0.7,9,6-3,2.4,6.2,0.26,2.4
6.8,.463,3.2,2.2,.768,1.7,72,6-8,2.1,8.0,2.88,4.6
1.4,.600,0.8,0.9,.500,0.4,18,6-4,0.2,2.1,-2.24,0.9
4.0,.342,1.4,0.5,.667,0.3,19,6-2,0.9,3.1,6.33,0.6
7.1,.454,3.2,2.4,.826,1.9,127,6-4,1.9,9.2,8.96,2.8
5.7,.439,2.5,1.3,.833,1.1,75,6-0,0.9,6.1,-3.74,1.7
3.1,.545,1.7,1.2,.406,0.5,54,6-11,2.4,3.8,-5.64,4.2
0.3,.600,0.2,0.4,.667,0.3,15,5-9,0.1,0.8,6.52,0.5
0.5,.375,0.2,0.5,.500,0.3,33,,0.3,0.7,-5.52,0.3
0.4,.000,0.0,1.2,.667,0.8,5,6-5,0.2,0.8,5.55,0.2
10.4,.389,4.1,7.5,.680,5.1,20,6-4,2.9,13.2,-1.66,9.0
3.7,.333,1.2,1.6,.443,0.7,60,5-11,0.7,3.2,1.54,2.1
12.5,.368,4.6,5.0,.661,3.3,74,5-10,2.6,12.5,-1.57,4.5
1.7,.370,0.6,0.3,.400,0.1,16,6-2,1.1,1.8,-5.48,0.9
6.2,.493,3.1,1.9,.807,1.5,112,6-5,1.1,7.7,-3.64,2.8
3.9,.351,1.4,2.0,.635,1.3,99,6-2,1.8,4.4,-1.29,2.2
5.1,.436,2.2,1.8,.665,1.2,116,6-7,2.1,6.5,-4.85,3.0
2.9,.368,1.1,0.9,.622,0.6,40,6-4,2.3,3.2,-10.18,1.6
8.6,.390,3.4,2.2,.714,1.5,52,6-7,2.9,9.6,4.12,4.5
10.2,.587,6.0,5.6,.582,3.2,58,6-7,,15.2,-5.75,8.8
5.7,.423,2.4,1.4,.633,0.9,35,,2.4,5.7,3.95,4.4
4.1,.698,2.9,3.4,.637,2.2,50,,2.4,7.9,4.80,
4.2,.436,1.8,1.4,.701,1.0,63,6-3,1.5,5.0,7.87,2.6
1.4,.195,0.3,0.4,.692,0.3,30,6-1,1.1,0.9,5.31,0.6
1.3,.421,0.5,0.9,.615,0.5,30,6-1,0.6,1.6,3.33,0.7
4.9,.468,2.3,1.9,.504,1.0,121,6-8,2.4,5.6,7.68,5.6
9.1,.452,4.1,2.3,.673,1.6,49,5-10,1.9,9.8,-1.78,1.7
6.3,.466,3.0,1.3,.554,0.7,44,6-5,2.4,6.6,1.30,5.8
3.2,.324,1.0,1.2,.462,0.6,21,6-3,,2.8,-10.21,1.1
7.4,.430,3.2,2.2,.708,1.5,30,5-11,,7.9,-9.30,1.2
8.0,.415,3.3,2.4,.715,1.7,71,6-4,1.5,8.4,4.27,3.0
1.0,.429,0.4,0.4,.667,0.3,54,6-0,0.4,1.3,4.70,0.4
7.2,.412,3.0,2.7,.830,2.3,54,6-5,,8.6,-4.95,4.4
9.3,.458,4.3,3.4,.635,2.1,111,6-5,3.2,10.7,-2.77,5.9
8.7,.498,4.3,3.2,.711,2.3,126,6-10,2.3,12.0,9.55,5.4
6.4,.374,2.4,1.6,.773,1.2,89,6-2,1.7,7.3,-5.09,2.8
5.6,.349,2.0,1.6,.701,1.1,131,5-8,2.2,5.8,0.36,2.2
1.8,.386,0.7,0.9,.778,0.7,49,6-0,0.9,2.1,1.11,0.6
3.4,.328,1.1,0.8,.676,0.5,87,6-6,2.0,3.5,1.04,3.0
8.1,.349,2.8,1.2,.706,0.8,29,6-2,2.4,8.2,5.29,2.4
14.8,.494,7.3,6.2,.745,4.6,65,6-4,2.4,19.7,6.03,6.5
4.8,.440,2.1,1.6,.739,1.2,128,6-3,1.8,6.1,7.20,2.3
10.3,.486,5.0,3.2,.756,2.4,52,6-3,1.3,12.4,1.03,3.1
0.4,.250,0.1,0.2,.500,0.1,9,,,0.3,0.67,0.3
7.7,.418,3.2,3.7,.659,2.4,68,6-1,2.6,8.8,-2.54,5.8
1.7,.409,0.7,1.2,.750,0.9,13,6-3,0.8,2.4,-10.17,1.9
2.7,.414,1.1,0.6,.679,0.4,50,6-6,0.7,3.0,-2.07,1.9
3.7,.561,2.1,1.4,.390,0.6,29,6-7,2.2,4.7,2.20,3.5
5.3,.503,2.7,1.5,.578,0.9,55,6-5,2.3,6.4,-0.56,4.3
15.0,.497,7.5,4.3,.837,3.6,24,,2.3,18.5,,2.5
11.7,.436,5.1,2.3,.741,1.7,24,6-2,1.3,11.8,0.46,2.4
1.4,.289,0.4,0.3,.500,0.1,28,6-1,0.3,1.3,4.91,0.4
7.0,.426,3.0,1.3,.595,0.8,33,6-4,0.1,6.7,-8.85,4.1
9.0,.462,4.2,4.1,.768,3.2,67,6-4,1.9,12.7,-7.65,4.8
8.8,.409,3.6,2.9,.703,2.0,119,6-1,,9.6,-0.52,2.6
1.5,.438,0.6,0.5,.667,0.4,11,6-6,0.3,1.6,4.51,1.3
3.3,.333,1.1,1.0,.727,0.7,55,6-2,1.2,2.9,3.26,1.5
8.6,.455,3.9,2.9,.715,2.1,127,6-6,1.8,10.5,4.24,4.0
12.0,.593,7.1,7.7,.525,4.0,58,6-4,,18.3,-6.06,9.1
2.4,.530,1.3,1.4,.564,0.8,27,6-8,1.8,3.4,-3.98,3.6
4.5,.413,1.9,2.0,.783,1.6,126,6-2,2.1,6.3,4.13,1.3
2.6,.438,1.2,1.6,.729,1.1,82,5-11,2.4,3.6,4.77,2.3
0.4,.000,0.0,0.2,.500,0.1,11,6-0,0.0,0.1,-4.88,0.1
3.2,.452,1.5,0.9,.667,0.6,58,6-3,1.7,3.5,-4.32,1.4
0.3,.000,0.0,0.3,.000,0.0,6,6-8,0.7,0.0,-2.25,1.3
3.0,.508,1.5,2.1,.699,1.5,62,6-7,2.9,4.5,3.97,4.0
3.0,.410,1.2,1.1,.710,0.8,110,6-8,1.6,3.3,-0.74,2.3
8.7,.486,4.2,5.5,.713,3.9,89,6-6,3.7,12.5,-5.19,6.0
4.8,.418,2.0,2.9,.631,1.8,115,6-6,2.0,5.9,4.07,3.8
5.1,.318,1.6,0.7,.805,0.6,55,6-2,1.5,5.1,-0.43,1.9
2.0,.370,0.7,1.1,.731,0.8,23,5-10,1.5,2.4,-6.97,0.7
3.4,.484,1.6,1.1,.593,0.7,73,6-7,0.8,3.9,-0.82,2.2
6.8,.543,3.7,3.4,.616,2.1,48,6-3,2.4,9.5,-4.88,6.3
12.3,.461,5.6,4.5,.774,3.5,77,6-7,2.2,16.2,-0.87,5.5
3.3,.302,1.0,2.4,.710,1.7,13,5-9,,3.5,-11.21,0.5
2.6,.400,1.1,0.5,.833,0.4,34,6-2,0.9,2.6,-3.10,0.6
2.1,.368,0.8,0.8,.571,0.4,9,5-11,0.7,2.1,6.91,0.3
5.8,.441,2.5,1.3,.521,0.7,91,6-6,1.5,6.4,3.17,4.5
2.5,.300,0.8,0.5,.300,0.2,20,6-1,1.7,1.8,0.97,1.0
1.0,1.000,1.0,2.0,.500,1.0,1,6-4,0.0,3.0,-9.64,0.0
1.2,.568,0.7,1.2,.614,0.8,36,6-10,1.1,2.2,-1.75,1.5
9.3,.388,3.6,2.8,.764,2.1,128,6-4,1.7,11.3,8.29,3.8
1.0,.500,0.5,1.0,.500,0.5,4,,0.5,1.5,-7.93,0.8
4.6,.279,1.3,1.6,.820,1.3,32,5-5,1.6,4.5,-0.28,1.8
4.3,.421,1.8,1.5,.729,1.1,56,6-0,0.8,5.0,-0.74,1.8
9.5,.469,4.5,4.3,.680,2.9,112,6-6,3.0,12.3,-3.44,7.3
0.2,.000,0.0,0.0,,0.0,6,6-7,0.2,0.0,-4.52,0.3
13.3,.388,5.2,4.7,.675,3.2,75,6-3,2.0,13.5,0.01,8.6
3.0,.348,1.0,1.5,.522,0.8,47,6-4,1.7,2.9,-5.86,3.9
1.0,.400,0.4,1.1,.364,0.4,10,,0.5,1.2,,
0.9,.143,0.1,0.0,,0.0,8,6-2,0.0,0.3,2.11,0.4
6.3,.496,3.1,2.3,.849,2.0,109,6-1,0.4,8.3,-2.44,2.4
4.2,.401,1.7,2.2,.598,1.3,41,6-7,1.7,4.7,1.94,2.7
1.7,.400,0.7,0.9,.250,0.2,9,6-7,0.9,1.6,5.69,1.9
2.8,.214,0.6,0.3,.333,0.1,10,6-4,1.9,1.4,-6.95,1.7
0.3,1.000,0.3,0.0,,0.0,3,,0.7,0.7,-0.71,0.0
8.7,.405,3.5,1.9,.669,1.3,61,6-5,1.4,10.1,8.65,2.2
7.2,.394,2.8,3.1,.564,1.8,25,6-4,,7.4,3.09,5.8
2.7,.451,1.2,1.2,.718,0.9,65,6-10,2.0,3.3,5.20,2.4
8.5,.460,3.9,5.4,.491,2.6,40,6-7,3.1,10.4,-11.70,10.4
6.5,.431,2.8,3.3,.636,2.1,63,6-4,2.8,7.7,-8.72,8.7
4.0,.366,1.5,1.2,.633,0.7,51,,2.3,3.6,4.18,2.8
0.9,.339,0.3,0.5,.655,0.3,60,6-3,0.5,1.2,-3.05,0.6
0.7,.158,0.1,0.0,,0.0,26,6-2,0.1,0.3,-3.09,0.3
2.5,.460,1.2,1.1,.631,0.7,98,6-9,1.3,3.0,0.78,2.4
2.2,.373,0.8,0.8,.721,0.6,102,6-8,1.3,2.4,-1.19,2.7
6.7,.383,2.6,3.2,.541,1.7,34,6-7,3.5,6.9,0.98,7.0
6.7,.498,3.4,2.6,.466,1.2,68,6-8,1.6,7.9,-3.93,6.5
1.4,.667,1.0,0.3,.833,0.3,54,6-1,1.0,2.2,1.48,
4.3,.383,1.6,4.1,.782,3.2,19,6-4,1.7,6.5,-2.61,4.4
0.4,.600,0.2,0.5,.833,0.4,13,6-0,0.3,1.2,3.21,0.2
0.6,.182,0.1,0.2,.250,0.1,19,6-2,0.4,0.3,5.96,0.1
1.7,.100,0.2,0.3,.500,0.2,6,6-0,0.3,0.5,1.63,1.2
2.5,.267,0.7,2.0,.667,1.3,6,6-3,1.5,2.7,-9.09,1.8
12.0,.510,6.1,2.3,.863,2.0,112,6-3,,14.2,-4.60,2.4
5.7,.381,2.2,1.3,.556,0.7,127,6-2,2.2,6.4,-2.73,3.5
10.7,.457,4.9,4.3,.722,3.1,54,6-5,2.8,13.6,-2.06,7.4
2.2,.547,1.2,1.4,.460,0.7,96,6-7,1.7,3.1,7.79,2.6
1.4,.515,0.7,0.7,.438,0.3,24,,1.3,1.7,-6.05,
4.2,.320,1.3,1.0,.698,0.7,41,6-3,1.8,3.4,-2.97,2.1
