,NBA__3ptapg,NBA__3ptpct,NBA__3ptpg,NBA_efgpct,NBA_fg%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft%,NBA_ft_per_g,NBA_fta_p_g,NBA_g_played,NBA_ppg,NCAA__3ptapg,NCAA__3ptpct,NCAA__3ptpg,NCAA_efgpct,NCAA_fgapg,NCAA_fgpct,NCAA_fgpg,NCAA_ft,NCAA_ftapg,NCAA_ftpg,NCAA_games,NCAA_ppg
0,0.0,.000,0.0,.502,.502,2.4,4.8,.701,0.9,1.3,256,5.7,0.0,,0.0,,5.6,.599,3.3,.728,2.5,1.8,134,8.5
1,,,,,.428,3.5,8.2,.728,2.0,2.8,505,9.0,,,,,16.8,.465,7.8,.645,10.4,6.7,75,22.3
2,0.0,.056,0.0,.559,.559,10.2,18.1,.721,4.3,6.0,1560,24.6,,,,,16.8,.639,10.7,.628,7.9,5.0,88,26.4
3,2.3,.354,0.8,.472,.442,6.0,13.6,.905,1.8,2.0,586,14.6,7.2,.372,2.7,,21.9,.474,10.4,.863,6.4,5.5,64,29.0
4,0.3,.237,0.1,.422,.417,3.1,7.3,.703,1.6,2.2,236,7.8,1.7,.322,0.6,,10.4,.477,4.9,.726,4.4,3.2,87,13.6
5,0.6,.297,0.2,.479,.472,6.5,13.9,.810,4.8,6.0,830,18.1,0.8,.381,0.3,,14.2,.518,7.4,.683,8.9,6.1,28,21.1
6,0.0,.000,0.0,.492,.492,2.3,4.6,.747,1.0,1.4,319,5.6,,,,,4.5,.533,2.4,.689,1.7,1.1,110,5.9
7,,,,,.000,0.0,2.0,,0.0,0.0,1,0.0,,,,,14.3,.358,5.1,.751,3.1,2.3,108,12.7
8,,,,,.237,3.6,15.3,.686,2.3,3.3,56,9.5,,,,,,,,,,,,
9,3.4,.368,1.3,.525,.387,1.8,4.5,.880,0.5,0.6,174,5.3,,,,,,,,,,,,
10,0.3,.276,0.1,.488,.479,2.4,5.1,.514,0.9,1.8,83,5.9,1.3,.325,0.4,,11.9,.493,5.9,.599,6.0,3.6,31,15.8
11,0.8,.320,0.3,.413,.370,1.1,3.1,.500,0.2,0.3,30,2.7,3.3,.411,1.4,,11.2,.457,5.1,.823,3.5,2.9,88,14.5
12,,,,,.222,0.5,2.3,.536,0.5,1.0,28,1.5,,,,,,,,,,,,
13,0.0,.538,0.0,.509,.506,1.4,2.7,.665,0.8,1.2,375,3.6,,,,,12.9,.564,7.3,.696,5.7,4.0,110,18.5
14,,,,,.392,1.3,3.2,.655,0.8,1.3,23,3.3,,,,,,,,,,,,
